freeze_rank,candidate_id,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak,status
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,0,,0.0,,,,0,0,SHADOW_ONLY
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,0,,0.0,,,,0,0,SHADOW_ONLY
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,0,,0.0,,,,0,0,SHADOW_ONLY
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,3,0.3333333333333333,10.691780839300254,3.563926946433418,3.0713043338974924,2.829951298701282,1,1,SHADOW_ONLY
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,0,,0.0,,,,0,0,SHADOW_ONLY
