role,partition,feature,win_n,fail_n,win_median,fail_median,gap_dev,effect_dev,gap_ext,gap_rv,support_same_direction,support_available,material_dev,central_replicated,strong_replicated
CENTRAL,development,parent_loss_R,14,13,0.03141326391060564,0.030534351145038167,0.0008789127655674765,0.020317697525848777,-0.005795823099936377,-0.026659578578269567,2,6,False,False,False
CENTRAL,development,parent_mfe_R,14,13,0.13900780659783393,0.1613157894736836,-0.022307982875849675,0.15311644169793434,0.028971148484006295,0.08516602461851266,3,6,False,False,False
CENTRAL,development,parent_mae_R,14,13,0.1295973077800605,0.1603053435114462,-0.030708035731385697,0.7100931970670528,-0.05563910668273214,-0.04728842734460534,5,6,True,True,True
CENTRAL,development,parent_hold_min,14,13,20.0,20.0,0.0,0.0,-7.5,2.5,0,6,False,False,False
CENTRAL,development,ref_width_pct,14,13,0.03089760586974628,0.033023404937479996,-0.0021257990677337156,0.1365966774914189,-0.033178942353537286,0.02348552187275607,3,6,False,False,False
CENTRAL,development,exit_to_signal_min,14,13,7.5,10.0,-2.5,0.26666666666666666,0.0,-2.5,4,6,False,False,False
CENTRAL,development,signal_to_confirm_min,14,13,10.0,10.0,0.0,0.0,0.0,0.0,0,6,False,False,False
CENTRAL,development,signal_close_R,14,13,0.10137835748910287,0.09315866084425245,0.008219696644850422,0.060949815846822276,0.005721652378265135,-0.0033344985978240593,3,6,False,False,False
CENTRAL,development,confirm_close_R,14,13,0.21556683720045117,0.16030534351145162,0.05526149368899955,0.49684543749698346,0.10920343548987838,0.1109908931846468,5,6,False,False,False
CENTRAL,development,confirm_body_R,14,13,0.02278946491515168,0.062053281351528,-0.039263816436376324,0.4415730604188572,0.029777837204736708,0.12195581911370788,4,6,False,False,False
CENTRAL,development,max_close_R_to_confirm,14,13,0.24105166223627417,0.19512195121951478,0.045929711016759384,0.47003019830302845,0.09690556772738537,0.07948653737414296,5,6,False,False,False
CENTRAL,development,running_mfe_R_to_confirm,14,13,0.3053598095949286,0.2519083969465699,0.053451412648358676,0.6551620250385286,0.09788768299115103,0.04509594130993527,5,6,True,True,True
CENTRAL,development,running_mae_R_to_confirm,14,13,0.08632357986941697,0.11212814645308777,-0.025804566583670807,0.3546158988572975,-0.06934145918070828,-0.07083592334343386,4,6,False,False,False
CENTRAL,development,above_H_frac_to_confirm,14,13,0.9,0.8,0.09999999999999998,0.3157894736842104,0.0,0.09999999999999998,4,6,False,False,False
CENTRAL,development,closes_above_H_to_confirm,14,13,4.0,4.0,0.0,0.0,0.0,0.0,0,6,False,False,False
CENTRAL,development,reentry_R,14,13,0.21695187875169647,0.1645569620253094,0.052394916726387075,0.44984923073028,0.1004141935238938,0.11333347387061113,5,6,False,False,False
CENTRAL,development,preconfirm_30m_return_R,14,13,0.22908757853677464,0.19460688758934566,0.03448069094742898,0.22876065626499756,0.1015841335499583,0.10082938644203773,6,6,False,False,False
CENTRAL,development,preexit_60m_return_R,14,13,0.22393703557138742,0.29113924050633183,-0.06720220493494442,0.3908870911238709,0.12936572018708048,-0.0036045219063581824,4,6,False,False,False
CENTRAL,development,preexit_60m_range_R,14,13,0.5749486652977401,0.6379965457685653,-0.06304788047082521,0.17317622945878122,0.0531469676696808,-0.037457591082408426,4,6,False,False,False
