feature,quantile,threshold
source_to_opposite_structure_range_units,0.25,1.5965015021503175
source_to_opposite_structure_range_units,0.5,1.811340206185567
source_to_opposite_structure_range_units,0.75,1.9376246005088174
approach_start_distance_to_level_range_units,0.25,0.9783782285777651
approach_start_distance_to_level_range_units,0.5,1.0865626087068305
approach_start_distance_to_level_range_units,0.75,1.2472963400236092
reclaim_directional_body_range_units,0.25,0.8238449226499903
reclaim_directional_body_range_units,0.5,0.9387157295465962
reclaim_directional_body_range_units,0.75,1.0729118800400952
reclaim_close_inside_range_units,0.25,0.7865419238005553
reclaim_close_inside_range_units,0.5,0.8515804005869738
reclaim_close_inside_range_units,0.75,1.0144685760613668
time_to_fill_min,0.25,0.0
time_to_fill_min,0.5,15.0
time_to_fill_min,0.75,41.25
directional_improvement_range_units,0.25,0.1858117392012214
directional_improvement_range_units,0.5,0.21471170802976264
directional_improvement_range_units,0.75,0.25546694592127517
initial_risk_range_units,0.25,0.8219547263639353
initial_risk_range_units,0.5,0.9526848118094255
initial_risk_range_units,0.75,1.3102639580060815
structural_target_distance_range_units,0.25,1.0190445372434982
structural_target_distance_range_units,0.5,1.1086000659690294
structural_target_distance_range_units,0.75,1.2279716337452877
structural_reward_r,0.25,0.8024222836602144
structural_reward_r,0.5,1.1656017369727043
structural_reward_r,0.75,1.3528589662436352
