effective_ts,partition,a,b,c,pattern
2020-01-09 20:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-02-02 04:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-02-03 00:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-02-13 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-02-14 08:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-02-15 08:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-02-15 12:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-02-24 12:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-03-17 08:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2020-03-17 12:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2020-03-18 00:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2020-03-18 04:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2020-04-09 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-04-14 04:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2020-04-15 00:00:00+00:00,external,SIDEWAYS,BEAR,SIDEWAYS,SIDEWAYS->BEAR->SIDEWAYS
2020-04-15 04:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2020-05-16 20:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-06-01 00:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-06-04 08:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-06-04 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-06-28 16:00:00+00:00,external,BEAR,SIDEWAYS,BEAR,BEAR->SIDEWAYS->BEAR
2020-07-20 12:00:00+00:00,external,BULL,SIDEWAYS,BULL,BULL->SIDEWAYS->BULL
2020-07-20 16:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
2020-08-03 20:00:00+00:00,external,SIDEWAYS,BULL,SIDEWAYS,SIDEWAYS->BULL->SIDEWAYS
