partition,stress_bps,candidates,accepted,blocked,trades_per_week,n,wins,wr,pf,expectancy,net,max_ls,variant
external,0,167,144,23,1.3789329685362517,144,92,0.6388888888888888,1.6161968195596461,1.2361066990903768,177.99936466901426,3,S10_HYBRID
external,5,167,144,23,1.3789329685362517,144,84,0.5833333333333334,1.3707393900993503,0.8157132405001253,117.46270663201804,4,S10_HYBRID
development,0,288,233,55,1.4881386861313868,233,149,0.6394849785407726,1.384414292414245,0.6613177040087093,154.08702503402927,5,S10_HYBRID
development,5,288,233,55,1.4881386861313868,233,140,0.6008583690987125,1.1244970578196654,0.23738704736396998,55.311182035805004,5,S10_HYBRID
reference_validation,0,120,101,19,1.2295652173913043,101,67,0.6633663366336634,1.38394378529588,0.6399376336499312,64.63370099864305,4,S10_HYBRID
reference_validation,5,120,101,19,1.2295652173913043,101,62,0.6138613861386139,1.1119468316685468,0.20667275970975874,20.873948730685633,5,S10_HYBRID
POOLED_MAJOR,0,575,478,97,1.3930058284762699,478,308,0.6443514644351465,1.462353412822866,0.8299583487482982,396.72009070168656,5,S10_HYBRID
POOLED_MAJOR,5,575,478,97,1.3930058284762699,478,286,0.5983263598326359,1.2043617664969428,0.4051209987416499,193.64783739850867,5,S10_HYBRID
external,0,142,119,23,1.1395348837209303,119,79,0.6638655462184874,1.632909553539684,1.2749361128524987,151.71739742944735,2,S11B_1600_IMMEDIATE_ONLY
external,5,142,119,23,1.1395348837209303,119,73,0.6134453781512605,1.3916405195562171,0.8586506842218483,102.17943142239994,3,S11B_1600_IMMEDIATE_ONLY
development,0,260,205,55,1.3093065693430657,205,134,0.6536585365853659,1.5072071009919965,0.7994893106690969,163.89530868716486,5,S11B_1600_IMMEDIATE_ONLY
development,5,260,205,55,1.3093065693430657,205,125,0.6097560975609756,1.211246621288554,0.37112405428264933,76.08043112794311,5,S11B_1600_IMMEDIATE_ONLY
reference_validation,0,105,86,19,1.0469565217391306,86,61,0.7093023255813954,1.682106305949488,0.9407846806072921,80.90748253222712,3,S11B_1600_IMMEDIATE_ONLY
reference_validation,5,105,86,19,1.0469565217391306,86,56,0.6511627906976745,1.3316212959636797,0.5100953371273662,43.868198992953495,4,S11B_1600_IMMEDIATE_ONLY
POOLED_MAJOR,0,507,410,97,1.1948376353039136,410,274,0.6682926829268293,1.581867523542641,0.9671224113386324,396.5201886488393,5,S11B_1600_IMMEDIATE_ONLY
POOLED_MAJOR,5,507,410,97,1.1948376353039136,410,254,0.6195121951219512,1.294859642544091,0.541775759861699,222.12806154329658,5,S11B_1600_IMMEDIATE_ONLY
