market_state,development_n,development_long_rate,development_short_rate,development_none_rate,development_ambiguous_rate,development_D,development_expansion_rate,development_median_fwd_ret_4h,development_median_max_up_4h,development_median_max_down_4h,validation_2025_n,validation_2025_long_rate,validation_2025_short_rate,validation_2025_none_rate,validation_2025_ambiguous_rate,validation_2025_D,validation_2025_expansion_rate,validation_2025_median_fwd_ret_4h,validation_2025_median_max_up_4h,validation_2025_median_max_down_4h,validation_2026_n,validation_2026_long_rate,validation_2026_short_rate,validation_2026_none_rate,validation_2026_ambiguous_rate,validation_2026_D,validation_2026_expansion_rate,validation_2026_median_fwd_ret_4h,validation_2026_median_max_up_4h,validation_2026_median_max_down_4h,development_expansion_lift_pp,validation_2025_expansion_lift_pp,validation_2026_expansion_lift_pp,classification
EVENT_CONFLICT,61,0.45901639344262296,0.47540983606557374,0.0,0.06557377049180328,-0.016393442622950782,1.0,0.00326010447152969,0.02410261229092292,-0.021303318680256922,20,0.25,0.7,0.0,0.05,-0.44999999999999996,1.0,0.003684392308959783,0.012178619023562764,-0.01634761784189115,8,0.625,0.375,0.0,0.0,0.25,1.0,0.007513318580444128,0.02974753334078084,-0.006226935988516813,0.16209245326037391,0.19146689497716896,0.38451028613811133,UNSTABLE_OR_WEAK
POST_BREAKDOWN_UNWIND_30M,269,0.3903345724907063,0.5464684014869888,0.055762081784386616,0.007434944237918215,-0.15613382899628253,0.9442379182156134,0.0037294248551584808,0.01348117367125412,-0.01479818573326619,198,0.24242424242424243,0.6313131313131313,0.12626262626262627,0.0,-0.38888888888888884,0.8737373737373737,-0.0035265357919317952,0.008050093422381943,-0.016301549957227823,100,0.26,0.5,0.24,0.0,-0.24,0.76,0.0013868152359035602,0.0070025577306184195,-0.0116005086753454,0.10633037147598734,0.06520426871454266,0.14451028613811134,REPLICATED_DIRECTIONAL_STATE;REPLICATED_EXPANSION_STATE
UP_POSITION_BUILD,2283,0.49846692947875604,0.44634253175646077,0.05037231712658782,0.004818221638195357,0.05212439772229527,0.9496276828734121,-0.0003190139076488796,0.015676308500613967,-0.01370987469761642,970,0.5072164948453608,0.41855670103092785,0.06907216494845361,0.005154639175257732,0.08865979381443295,0.9309278350515464,0.0007080585365210057,0.01359867651996216,-0.01227778669040186,442,0.4479638009049774,0.4004524886877828,0.1515837104072398,0.0,0.04751131221719457,0.8484162895927602,-0.0009763537850692727,0.010438014422625375,-0.010176966755718442,0.11172013613378606,0.12239473002871537,0.2329265757308715,REPLICATED_EXPANSION_STATE
UP_UNWIND_LIKE,429,0.4172494172494173,0.5361305361305362,0.039627039627039624,0.006993006993006993,-0.11888111888111891,0.9603729603729604,0.002729885057471293,0.01585527512801188,-0.015296775769418791,172,0.2616279069767442,0.6395348837209303,0.09883720930232558,0.0,-0.37790697674418605,0.9011627906976745,-0.0022531016875728116,0.009017478760984243,-0.016808424481158712,103,0.2815533980582524,0.5631067961165048,0.1553398058252427,0.0,-0.2815533980582524,0.8446601941747574,-0.0012084592145015227,0.007125044531528513,-0.012551923424236944,0.1224654136333343,0.09262968567484342,0.22917048031286869,REPLICATED_DIRECTIONAL_STATE;REPLICATED_EXPANSION_STATE
DOWN_POSITION_BUILD,312,0.5801282051282052,0.3942307692307692,0.02564102564102564,0.0,0.18589743589743596,0.9743589743589743,0.005837590453100838,0.018024639237404716,-0.013132496376045077,191,0.581151832460733,0.33507853403141363,0.08376963350785341,0.0,0.24607329842931935,0.9162303664921466,0.0027916369684011233,0.016034082106893832,-0.011170872983036984,91,0.4725274725274725,0.3626373626373626,0.16483516483516483,0.0,0.10989010989010989,0.8351648351648352,0.0013635800173545931,0.012725884448969271,-0.009273182957393433,0.13645142761934825,0.10769726146931557,0.21967512130294653,REPLICATED_DIRECTIONAL_STATE;REPLICATED_EXPANSION_STATE
DOWN_UNWIND_LIKE,1910,0.4607329842931937,0.4963350785340314,0.03717277486910995,0.005759162303664921,-0.03560209424083771,0.96282722513089,0.0031875804874959,0.015940126920303888,-0.015220178372213677,816,0.40931372549019607,0.5159313725490197,0.06862745098039216,0.006127450980392157,-0.1066176470588236,0.9313725490196079,0.0005788717015831057,0.011991849125289389,-0.014824924124618777,358,0.3407821229050279,0.4776536312849162,0.17597765363128492,0.00558659217877095,-0.13687150837988832,0.8240223463687151,0.0004173289680573511,0.008966699374055143,-0.011800204219955812,0.12491967839126394,0.12283944399677682,0.2085326325068264,REPLICATED_EXPANSION_STATE
HIGHLOC_BUY_BUILD,4105,0.4713763702801462,0.3914738124238733,0.1369062119366626,0.000243605359317905,0.07990255785627287,0.8630937880633374,0.0002976079758936212,0.011660617059891187,-0.009727382791299699,1734,0.45790080738177624,0.3737024221453287,0.16724336793540945,0.0011534025374855825,0.08419838523644751,0.8327566320645905,-0.00023358236829157386,0.010260230466363818,-0.009027483402407666,1098,0.40255009107468126,0.2814207650273224,0.31602914389799636,0.0,0.12112932604735888,0.6839708561020037,0.0005214486899604021,0.008338065301471964,-0.0065641065300084955,0.025186241323711278,0.02422352704175945,0.06848114224011503,UNSTABLE_OR_WEAK
HIGHLOC_BUY_EXHAUSTION_LIKE,854,0.36065573770491804,0.49063231850117095,0.148711943793911,0.0,-0.1299765807962529,0.8512880562060889,-0.0017453931081197194,0.008481687988734499,-0.010828557445144216,654,0.29510703363914376,0.5229357798165137,0.1819571865443425,0.0,-0.22782874617736998,0.8180428134556574,-0.0021847119202136334,0.006867654716210092,-0.011731000679306658,520,0.275,0.38269230769230766,0.3423076923076923,0.0,-0.10769230769230764,0.6576923076923077,-0.0010129645262080822,0.005960411942554811,-0.008324871838446768,0.013380509466462853,0.009509708432826391,0.04220259383041902,REPLICATED_DIRECTIONAL_STATE
HIGHLOC_SELL_ABSORPTION_LIKE,945,0.5100529100529101,0.362962962962963,0.12698412698412698,0.0,0.1470899470899471,0.873015873015873,0.0011084123679543367,0.012367073651043725,-0.009245397864674931,731,0.49794801641586867,0.34610123119015046,0.1545827633378933,0.0013679890560875513,0.1518467852257182,0.8454172366621067,0.0009718802643514657,0.011529379080427837,-0.008442883046237415,389,0.5167095115681234,0.2390745501285347,0.2442159383033419,0.0,0.27763496143958866,0.7557840616966581,0.000903795942960528,0.010612090202766655,-0.006095944871455039,0.03510832627624694,0.03688413163927562,0.14029434783476946,REPLICATED_DIRECTIONAL_STATE
HIGHLOC_SELL_UNWIND_LIKE,3542,0.4333709768492377,0.4189723320158103,0.1470920383963862,0.000564652738565782,0.014398644833427399,0.8529079616036138,-0.00012082131868412782,0.010418873186484268,-0.010437380120407014,1795,0.34540389972144847,0.467966573816156,0.1860724233983287,0.0005571030640668524,-0.1225626740947075,0.8139275766016714,-0.002117251952982402,0.007853608733213058,-0.010436223081170537,1052,0.2880228136882129,0.3593155893536122,0.3526615969581749,0.0,-0.07129277566539927,0.6473384030418251,-0.0003575208253803752,0.0065855119394439,-0.007956691605600474,0.015000414863987732,0.005394471578840321,0.03184868917993644,UNSTABLE_OR_WEAK
