signal,scope,name,eligible_n,signal_n,prevalence,persistent_rate,baseline_persistent_rate,lift,rebreak_rate
RECLAIM_C05,PARTITION,external,202,116,0.5742574257425742,0.3275862068965517,0.2623762376237624,0.06520996927278933,0.6724137931034483
RECLAIM_C05,PARTITION,development,333,181,0.5435435435435435,0.3314917127071823,0.2882882882882883,0.04320342441889402,0.6685082872928176
RECLAIM_C05,PARTITION,reference_validation,194,107,0.5515463917525774,0.3364485981308411,0.31443298969072164,0.02201560844011946,0.6635514018691588
RECLAIM_C05,POOL,POOLED_OOS,396,223,0.5631313131313131,0.33183856502242154,0.2878787878787879,0.04395977714363364,0.6681614349775784
RECLAIM_C05,POOL,POOLED_MAJOR,729,404,0.5541838134430727,0.3316831683168317,0.2880658436213992,0.0436173246954325,0.6683168316831682
RECLAIM_C05,CLOCK,00-04,112,56,0.5,0.2857142857142857,0.2767857142857143,0.008928571428571397,0.7142857142857143
RECLAIM_C05,CLOCK,04-08,112,58,0.5178571428571429,0.29310344827586204,0.23214285714285715,0.06096059113300489,0.7068965517241379
RECLAIM_C05,CLOCK,08-12,127,66,0.5196850393700787,0.3484848484848485,0.3228346456692913,0.025650202815557188,0.6515151515151515
RECLAIM_C05,CLOCK,12-16,157,103,0.6560509554140127,0.33980582524271846,0.267515923566879,0.07228990167583949,0.6601941747572815
RECLAIM_C05,CLOCK,16-20,122,63,0.5163934426229508,0.38095238095238093,0.30327868852459017,0.07767369242779076,0.6190476190476191
RECLAIM_C05,CLOCK,20-00,99,58,0.5858585858585859,0.3275862068965517,0.3333333333333333,-0.005747126436781602,0.6724137931034483
RECLAIM_C10,PARTITION,external,202,52,0.25742574257425743,0.3269230769230769,0.2623762376237624,0.06454683929931454,0.6730769230769231
RECLAIM_C10,PARTITION,development,333,94,0.2822822822822823,0.3723404255319149,0.2882882882882883,0.08405213724362659,0.6276595744680851
RECLAIM_C10,PARTITION,reference_validation,194,49,0.25257731958762886,0.3877551020408163,0.31443298969072164,0.07332211235009467,0.6122448979591837
RECLAIM_C10,POOL,POOLED_OOS,396,101,0.255050505050505,0.3564356435643564,0.2878787878787879,0.06855685568556852,0.6435643564356436
RECLAIM_C10,POOL,POOLED_MAJOR,729,195,0.2674897119341564,0.3641025641025641,0.2880658436213992,0.07603672048116489,0.6358974358974359
RECLAIM_C10,CLOCK,00-04,112,21,0.1875,0.3333333333333333,0.2767857142857143,0.05654761904761901,0.6666666666666667
RECLAIM_C10,CLOCK,04-08,112,24,0.21428571428571427,0.3333333333333333,0.23214285714285715,0.10119047619047616,0.6666666666666667
RECLAIM_C10,CLOCK,08-12,127,31,0.2440944881889764,0.41935483870967744,0.3228346456692913,0.09652019304038612,0.5806451612903225
RECLAIM_C10,CLOCK,12-16,157,62,0.39490445859872614,0.3709677419354839,0.267515923566879,0.1034518183686049,0.6290322580645161
RECLAIM_C10,CLOCK,16-20,122,31,0.2540983606557377,0.3225806451612903,0.30327868852459017,0.019301956636700146,0.6774193548387097
RECLAIM_C10,CLOCK,20-00,99,26,0.26262626262626265,0.38461538461538464,0.3333333333333333,0.05128205128205132,0.6153846153846154
RECLAIM_STRONG_BODY,PARTITION,external,202,113,0.5594059405940595,0.2743362831858407,0.2623762376237624,0.011960045562078303,0.7256637168141593
RECLAIM_STRONG_BODY,PARTITION,development,333,197,0.5915915915915916,0.3197969543147208,0.2882882882882883,0.03150866602643254,0.6802030456852792
RECLAIM_STRONG_BODY,PARTITION,reference_validation,194,136,0.7010309278350515,0.34558823529411764,0.31443298969072164,0.031155245603395998,0.6544117647058824
RECLAIM_STRONG_BODY,POOL,POOLED_OOS,396,249,0.6287878787878788,0.3132530120481928,0.2878787878787879,0.02537422416940488,0.6867469879518072
RECLAIM_STRONG_BODY,POOL,POOLED_MAJOR,729,446,0.6117969821673526,0.31614349775784756,0.2880658436213992,0.02807765413644836,0.6838565022421524
RECLAIM_STRONG_BODY,CLOCK,00-04,112,69,0.6160714285714286,0.2753623188405797,0.2767857142857143,-0.0014233954451345898,0.7246376811594203
RECLAIM_STRONG_BODY,CLOCK,04-08,112,73,0.6517857142857143,0.2602739726027397,0.23214285714285715,0.02813111545988256,0.7397260273972603
RECLAIM_STRONG_BODY,CLOCK,08-12,127,65,0.5118110236220472,0.38461538461538464,0.3228346456692913,0.061780738946093317,0.6153846153846154
RECLAIM_STRONG_BODY,CLOCK,12-16,157,96,0.6114649681528662,0.3333333333333333,0.267515923566879,0.06581740976645434,0.6666666666666667
RECLAIM_STRONG_BODY,CLOCK,16-20,122,80,0.6557377049180327,0.3375,0.30327868852459017,0.034221311475409855,0.6625
RECLAIM_STRONG_BODY,CLOCK,20-00,99,63,0.6363636363636364,0.30158730158730157,0.3333333333333333,-0.031746031746031744,0.6984126984126984
QUICK_RECLAIM,PARTITION,external,202,170,0.8415841584158416,0.2411764705882353,0.2623762376237624,-0.02119976703552709,0.7588235294117647
QUICK_RECLAIM,PARTITION,development,333,279,0.8378378378378378,0.2903225806451613,0.2882882882882883,0.0020342923568730242,0.7096774193548387
QUICK_RECLAIM,PARTITION,reference_validation,194,158,0.8144329896907216,0.3037974683544304,0.31443298969072164,-0.010635521336291254,0.6962025316455696
QUICK_RECLAIM,POOL,POOLED_OOS,396,328,0.8282828282828283,0.27134146341463417,0.2878787878787879,-0.016537324464153735,0.7286585365853658
QUICK_RECLAIM,POOL,POOLED_MAJOR,729,607,0.8326474622770919,0.2800658978583196,0.2880658436213992,-0.007999945763079608,0.7199341021416804
QUICK_RECLAIM,CLOCK,00-04,112,99,0.8839285714285714,0.26262626262626265,0.2767857142857143,-0.01415945165945165,0.7373737373737373
QUICK_RECLAIM,CLOCK,04-08,112,96,0.8571428571428571,0.21875,0.23214285714285715,-0.01339285714285715,0.78125
QUICK_RECLAIM,CLOCK,08-12,127,105,0.8267716535433071,0.3142857142857143,0.3228346456692913,-0.00854893138357704,0.6857142857142857
QUICK_RECLAIM,CLOCK,12-16,157,128,0.8152866242038217,0.265625,0.267515923566879,-0.001890923566878977,0.734375
QUICK_RECLAIM,CLOCK,16-20,122,92,0.7540983606557377,0.30434782608695654,0.30327868852459017,0.0010691375623663735,0.6956521739130435
