clock_min,reference_start_utc,execution_start_utc,execution_end_utc,partition,days,k1_opp0,clean_windows,f15_touches,h2_after_f15_touch_rate,same_bar_confirmations,trades,wins,wr,pf,expectancy,total_net,tp_rate,time_exit_rate,dev_eligible,is_london_baseline
180,03:00,08:30,15:00,development,782,179,128,88,0.7840909090909091,37,37,31,0.8378378378378378,1.6704717258360096,0.48442182456879324,17.92360750904535,0.8108108108108109,0.05405405405405406,True,False
300,05:00,10:30,17:00,development,782,199,143,92,0.7717391304347826,34,34,25,0.7352941176470589,1.6255721050534893,0.5295666952928275,18.005267639956134,0.6764705882352942,0.17647058823529413,True,False
210,03:30,09:00,15:30,development,782,197,141,98,0.7857142857142857,46,46,36,0.782608695652174,1.608052399188575,0.6102987507741083,28.073742535608982,0.7608695652173914,0.10869565217391304,True,False
1200,20:00,01:30+1d,08:00+1d,development,782,114,77,42,0.6904761904761905,19,19,15,0.7894736842105263,3.9934463719694655,2.076875871538039,39.460641559222736,0.7894736842105263,0.10526315789473684,False,False
1320,22:00,03:30+1d,10:00+1d,development,782,154,111,64,0.671875,25,24,14,0.5833333333333334,2.4983323002240203,1.115715464393867,26.777171145452805,0.5833333333333334,0.20833333333333334,False,False
1350,22:30,04:00+1d,10:30+1d,development,782,144,98,65,0.7384615384615385,20,19,10,0.5263157894736842,2.31552835738516,1.1170646985305879,21.22422927208117,0.47368421052631576,0.3684210526315789,False,False
1290,21:30,03:00+1d,09:30+1d,development,782,145,101,57,0.7192982456140351,21,21,12,0.5714285714285714,1.731117829452901,0.8805895834019339,18.492381251440612,0.5714285714285714,0.2857142857142857,False,False
1410,23:30,05:00+1d,11:30+1d,development,782,174,124,78,0.7692307692307693,31,31,20,0.6451612903225806,1.5899376830001979,0.42133443323863445,13.061367430397668,0.5806451612903226,0.2903225806451613,False,False
1230,20:30,02:00+1d,08:30+1d,development,782,133,93,55,0.6545454545454545,28,28,17,0.6071428571428571,1.467474097290371,0.6504272528752966,18.211963080508305,0.6071428571428571,0.21428571428571427,False,False
1020,17:00,22:30,05:00+1d,development,781,90,63,42,0.6428571428571429,17,17,8,0.47058823529411764,1.4031081652921111,0.5052757847755871,8.589688341184981,0.47058823529411764,0.4117647058823529,False,False
120,02:00,07:30,14:00,development,782,178,133,86,0.7441860465116279,26,26,18,0.6923076923076923,1.4020345607965536,0.378954146576984,9.852807811001584,0.6923076923076923,0.15384615384615385,False,False
1050,17:30,23:00,05:30+1d,development,781,94,64,42,0.5,16,16,8,0.5,1.297635546920184,0.2913248174771554,4.661197079634486,0.5,0.375,False,False
1260,21:00,02:30+1d,09:00+1d,development,782,141,94,59,0.6271186440677966,28,28,16,0.5714285714285714,1.2111592943687428,0.30656421129419925,8.583797916237579,0.5,0.35714285714285715,False,False
660,11:00,16:30,23:00,development,782,134,97,60,0.5833333333333334,26,26,16,0.6153846153846154,1.1745174554555022,0.26040024048942645,6.770406252725088,0.5769230769230769,0.3076923076923077,False,False
0,00:00,05:30,12:00,development,782,171,124,78,0.7692307692307693,32,32,20,0.625,1.172523407204389,0.169437190104818,5.421990083354176,0.59375,0.28125,False,False
270,04:30,10:00,16:30,development,782,202,147,99,0.8080808080808081,39,39,29,0.7435897435897436,1.156214155467775,0.17966958690463095,7.007113889280607,0.7435897435897436,0.1794871794871795,False,False
150,02:30,08:00,14:30,development,782,184,140,99,0.7777777777777778,36,35,25,0.7142857142857143,1.1328756800625879,0.15260454583002664,5.3411591040509325,0.6857142857142857,0.11428571428571428,False,False
1080,18:00,23:30,06:00+1d,development,781,105,70,49,0.5714285714285714,34,34,17,0.5,1.129192170779795,0.16525284353509273,5.618596680193153,0.47058823529411764,0.4411764705882353,False,False
330,05:30,11:00,17:30,development,782,197,144,91,0.8021978021978022,37,37,25,0.6756756756756757,1.0488609444632286,0.058076282001268714,2.1488224340469424,0.6486486486486487,0.13513513513513514,False,False
630,10:30,16:00,22:30,development,782,169,122,83,0.7108433734939759,37,37,23,0.6216216216216216,1.032637388084773,0.05663927237439218,2.0956530778525106,0.5405405405405406,0.32432432432432434,False,False
930,15:30,21:00,03:30+1d,development,781,108,83,50,0.72,16,16,8,0.5,0.9515561227701752,-0.09034571216141785,-1.4455313945826855,0.5,0.4375,False,False
1110,18:30,00:00+1d,06:30+1d,development,782,137,98,66,0.6818181818181818,36,36,16,0.4444444444444444,0.8799327456528694,-0.17064495607443883,-6.143218418679798,0.4444444444444444,0.4166666666666667,False,False
570,09:30,15:00,21:30,development,782,169,121,80,0.7625,26,26,14,0.5384615384615384,0.8766750416850657,-0.18634026662339848,-4.844846932208361,0.5,0.38461538461538464,False,False
990,16:30,22:00,04:30+1d,development,781,104,79,49,0.6326530612244898,23,23,10,0.43478260869565216,0.8506002078744127,-0.27300334616939226,-6.279076961896022,0.43478260869565216,0.391304347826087,False,False
600,10:00,15:30,22:00,development,782,166,123,79,0.7088607594936709,37,37,20,0.5405405405405406,0.8285534711557915,-0.3082149000888451,-11.40395130328727,0.4594594594594595,0.43243243243243246,False,False
900,15:00,20:30,03:00+1d,development,781,99,70,44,0.6590909090909091,20,20,9,0.45,0.8119366739271724,-0.34573269441539567,-6.914653888307914,0.45,0.5,False,False
60,01:00,06:30,13:00,development,782,169,122,80,0.75,32,32,18,0.5625,0.8040219482644146,-0.2381964626726712,-7.622286805525478,0.53125,0.25,False,False
