partition,entry_tf,higher_tf,entry_type,higher_state,n,soft_fail_n,hard_fail_n,median_bars_soft_uncensored,median_bars_hard_uncensored,soft_n_at_risk_1,soft_survival_1,hard_n_at_risk_1,hard_survival_1,soft_n_at_risk_2,soft_survival_2,hard_n_at_risk_2,hard_survival_2,soft_n_at_risk_3,soft_survival_3,hard_n_at_risk_3,hard_survival_3,soft_n_at_risk_4,soft_survival_4,hard_n_at_risk_4,hard_survival_4,soft_n_at_risk_6,soft_survival_6,hard_n_at_risk_6,hard_survival_6,soft_n_at_risk_12,soft_survival_12,hard_n_at_risk_12,hard_survival_12,soft_n_at_risk_24,soft_survival_24,hard_n_at_risk_24,hard_survival_24,soft_n_at_risk_48,soft_survival_48,hard_n_at_risk_48,hard_survival_48
development,5m,1h,CROSSOVER_INIT,NEUTRAL,1857,1857,1857,9.0,13.0,1857,0.942380183091007,1857,0.9450726978998385,1857,0.8761443187937533,1857,0.884760366182014,1857,0.8045234248788369,1857,0.8244480344641896,1857,0.7474421109316102,1857,0.7749057619816909,1857,0.6305869682283253,1857,0.6882067851373183,1857,0.36456650511577815,1857,0.5002692514808832,1857,0.11416262789445342,1857,0.27463651050080773,1857,0.015078082929456112,1857,0.10770059235325795
development,5m,1h,CROSSOVER_INIT,STRONG_BEAR,975,975,975,10.0,14.0,975,0.9538461538461539,975,0.9538461538461539,975,0.9005128205128206,975,0.9076923076923077,975,0.84,975,0.8533333333333334,975,0.7794871794871795,975,0.803076923076923,975,0.6635897435897435,975,0.7128205128205128,975,0.41435897435897434,975,0.5446153846153846,975,0.14564102564102563,975,0.3333333333333333,975,0.015384615384615385,975,0.12923076923076923
development,5m,1h,CROSSOVER_INIT,STRONG_BULL,444,444,444,7.0,9.0,444,0.9481981981981982,444,0.9504504504504504,444,0.8603603603603603,444,0.8716216216216216,444,0.7680180180180181,444,0.8108108108108109,444,0.6914414414414415,444,0.7319819819819819,444,0.5608108108108109,444,0.6103603603603603,444,0.32207207207207206,444,0.40765765765765766,444,0.10585585585585586,444,0.22747747747747749,444,0.02027027027027027,444,0.08108108108108109
development,5m,1h,PULLBACK_RECLAIM,NEUTRAL,2371,2371,2371,6.0,12.0,2371,0.9021509911429777,2371,0.9599325179249262,2371,0.789962041332771,2371,0.9034162800506116,2371,0.709405314213412,2371,0.8532264867144664,2371,0.6225221425558836,2371,0.8051455082243779,2371,0.490932096161957,2371,0.7144664698439477,2371,0.2576971741881063,2371,0.4981020666385491,2371,0.07676086039645719,2371,0.27330240404892453,2371,0.013074652045550401,2371,0.10797132011809363
development,5m,1h,PULLBACK_RECLAIM,STRONG_BEAR,395,395,395,7.0,12.0,395,0.8962025316455696,395,0.9569620253164557,395,0.7645569620253164,395,0.8936708860759494,395,0.6936708860759494,395,0.8253164556962025,395,0.6,395,0.759493670886076,395,0.5088607594936709,395,0.6784810126582278,395,0.23291139240506328,395,0.4810126582278481,395,0.06582278481012659,395,0.2379746835443038,395,0.005063291139240506,395,0.10126582278481013
development,5m,1h,PULLBACK_RECLAIM,STRONG_BULL,1239,1239,1239,6.0,12.0,1239,0.8797417271993543,1239,0.9628732849071832,1239,0.7861178369652946,1239,0.9023405972558515,1239,0.6868442292171105,1239,0.8393866020984665,1239,0.606133979015335,1239,0.7772397094430993,1239,0.4891041162227603,1239,0.6997578692493946,1239,0.2687651331719128,1239,0.49556093623890235,1239,0.09281678773204197,1239,0.29782082324455206,1239,0.010492332526230832,1239,0.11945117029862792
external,1h,4h,CROSSOVER_INIT,NEUTRAL,132,132,132,14.0,21.0,132,0.9696969696969697,132,0.9696969696969697,132,0.9318181818181818,132,0.9393939393939394,132,0.8787878787878788,132,0.9090909090909091,132,0.8333333333333334,132,0.8636363636363636,132,0.7727272727272727,132,0.8257575757575758,131,0.5648854961832062,131,0.6870229007633588,131,0.2366412213740458,131,0.45038167938931295,131,0.061068702290076333,131,0.22900763358778625
external,1h,4h,CROSSOVER_INIT,STRONG_BEAR,3,3,3,49.0,66.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.6666666666666666,3,0.6666666666666666
external,1h,4h,CROSSOVER_INIT,STRONG_BULL,7,7,7,19.0,32.0,7,1.0,7,1.0,7,1.0,7,1.0,7,0.8571428571428571,7,0.8571428571428571,7,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,0.7142857142857143,7,0.42857142857142855,7,0.5714285714285714,7,0.0,7,0.14285714285714285
external,1h,4h,PULLBACK_RECLAIM,NEUTRAL,136,136,136,10.0,16.0,136,0.9264705882352942,136,0.9705882352941176,136,0.8382352941176471,136,0.8897058823529411,136,0.7867647058823529,136,0.875,136,0.75,136,0.8382352941176471,136,0.5882352941176471,136,0.7573529411764706,136,0.4117647058823529,136,0.5735294117647058,136,0.17647058823529413,136,0.36764705882352944,136,0.029411764705882353,136,0.19852941176470587
