partition,anchor_date_utc,clock_min,reference_start,reference_end,execution_start,execution_end,case_status,k1_signal_ts,leave_ts,blind_filled,h2_after_fill,same_bar_confirmed,entry_executed,fixed_net_pnl_usd,fixed_exit_reason,fixed_e20_reached,window_status,H,L,range,F15,F65,E20_DOWN,blind_touch_bar_start,confirmation_bar_start,entry_start,entry_px,entry_fraction,fixed_exit_px,fixed_hold_minutes,fixed_h2_seen,fixed_breakdown_accepted
external,2020-01-06,1230,2020-01-06 20:30:00+00:00,2020-01-07 02:00:00+00:00,2020-01-07 02:00:00+00:00,2020-01-07 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-07,1170,2020-01-07 19:30:00+00:00,2020-01-08 01:00:00+00:00,2020-01-08 01:00:00+00:00,2020-01-08 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-07,1180,2020-01-07 19:40:00+00:00,2020-01-08 01:10:00+00:00,2020-01-08 01:10:00+00:00,2020-01-08 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-07,1190,2020-01-07 19:50:00+00:00,2020-01-08 01:20:00+00:00,2020-01-08 01:20:00+00:00,2020-01-08 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-07,1200,2020-01-07 20:00:00+00:00,2020-01-08 01:30:00+00:00,2020-01-08 01:30:00+00:00,2020-01-08 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-07,1210,2020-01-07 20:10:00+00:00,2020-01-08 01:40:00+00:00,2020-01-08 01:40:00+00:00,2020-01-08 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-07,1220,2020-01-07 20:20:00+00:00,2020-01-08 01:50:00+00:00,2020-01-08 01:50:00+00:00,2020-01-08 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-07,1230,2020-01-07 20:30:00+00:00,2020-01-08 02:00:00+00:00,2020-01-08 02:00:00+00:00,2020-01-08 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-08,1170,2020-01-08 19:30:00+00:00,2020-01-09 01:00:00+00:00,2020-01-09 01:00:00+00:00,2020-01-09 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-08,1180,2020-01-08 19:40:00+00:00,2020-01-09 01:10:00+00:00,2020-01-09 01:10:00+00:00,2020-01-09 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-08,1190,2020-01-08 19:50:00+00:00,2020-01-09 01:20:00+00:00,2020-01-09 01:20:00+00:00,2020-01-09 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-08,1200,2020-01-08 20:00:00+00:00,2020-01-09 01:30:00+00:00,2020-01-09 01:30:00+00:00,2020-01-09 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-08,1210,2020-01-08 20:10:00+00:00,2020-01-09 01:40:00+00:00,2020-01-09 01:40:00+00:00,2020-01-09 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-08,1220,2020-01-08 20:20:00+00:00,2020-01-09 01:50:00+00:00,2020-01-09 01:50:00+00:00,2020-01-09 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-08,1230,2020-01-08 20:30:00+00:00,2020-01-09 02:00:00+00:00,2020-01-09 02:00:00+00:00,2020-01-09 08:30:00+00:00,EXECUTED,2020-01-09 04:15:00+00:00,2020-01-09 04:25:00+00:00,True,True,True,True,1.3116836537350856,TIME_EXIT_SESSION_END,False,H2_ARRIVAL,8129.0,7932.0,197.0,7961.55,8060.05,7892.6,2020-01-09 04:30:00+00:00,2020-01-09 04:30:00+00:00,2020-01-09 04:35:00+00:00,7962.92,0.15695431472081256,7935.66,235.0,True,True
external,2020-01-09,1170,2020-01-09 19:30:00+00:00,2020-01-10 01:00:00+00:00,2020-01-10 01:00:00+00:00,2020-01-10 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-09,1180,2020-01-09 19:40:00+00:00,2020-01-10 01:10:00+00:00,2020-01-10 01:10:00+00:00,2020-01-10 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-09,1190,2020-01-09 19:50:00+00:00,2020-01-10 01:20:00+00:00,2020-01-10 01:20:00+00:00,2020-01-10 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-09,1200,2020-01-09 20:00:00+00:00,2020-01-10 01:30:00+00:00,2020-01-10 01:30:00+00:00,2020-01-10 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-09,1210,2020-01-09 20:10:00+00:00,2020-01-10 01:40:00+00:00,2020-01-10 01:40:00+00:00,2020-01-10 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-09,1220,2020-01-09 20:20:00+00:00,2020-01-10 01:50:00+00:00,2020-01-10 01:50:00+00:00,2020-01-10 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-09,1230,2020-01-09 20:30:00+00:00,2020-01-10 02:00:00+00:00,2020-01-10 02:00:00+00:00,2020-01-10 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-12,1170,2020-01-12 19:30:00+00:00,2020-01-13 01:00:00+00:00,2020-01-13 01:00:00+00:00,2020-01-13 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-12,1180,2020-01-12 19:40:00+00:00,2020-01-13 01:10:00+00:00,2020-01-13 01:10:00+00:00,2020-01-13 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-12,1190,2020-01-12 19:50:00+00:00,2020-01-13 01:20:00+00:00,2020-01-13 01:20:00+00:00,2020-01-13 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-12,1200,2020-01-12 20:00:00+00:00,2020-01-13 01:30:00+00:00,2020-01-13 01:30:00+00:00,2020-01-13 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-12,1210,2020-01-12 20:10:00+00:00,2020-01-13 01:40:00+00:00,2020-01-13 01:40:00+00:00,2020-01-13 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-12,1220,2020-01-12 20:20:00+00:00,2020-01-13 01:50:00+00:00,2020-01-13 01:50:00+00:00,2020-01-13 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-12,1230,2020-01-12 20:30:00+00:00,2020-01-13 02:00:00+00:00,2020-01-13 02:00:00+00:00,2020-01-13 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-13,1170,2020-01-13 19:30:00+00:00,2020-01-14 01:00:00+00:00,2020-01-14 01:00:00+00:00,2020-01-14 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-13,1180,2020-01-13 19:40:00+00:00,2020-01-14 01:10:00+00:00,2020-01-14 01:10:00+00:00,2020-01-14 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-13,1190,2020-01-13 19:50:00+00:00,2020-01-14 01:20:00+00:00,2020-01-14 01:20:00+00:00,2020-01-14 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-13,1200,2020-01-13 20:00:00+00:00,2020-01-14 01:30:00+00:00,2020-01-14 01:30:00+00:00,2020-01-14 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-13,1210,2020-01-13 20:10:00+00:00,2020-01-14 01:40:00+00:00,2020-01-14 01:40:00+00:00,2020-01-14 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-13,1220,2020-01-13 20:20:00+00:00,2020-01-14 01:50:00+00:00,2020-01-14 01:50:00+00:00,2020-01-14 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-13,1230,2020-01-13 20:30:00+00:00,2020-01-14 02:00:00+00:00,2020-01-14 02:00:00+00:00,2020-01-14 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-14,1170,2020-01-14 19:30:00+00:00,2020-01-15 01:00:00+00:00,2020-01-15 01:00:00+00:00,2020-01-15 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-14,1180,2020-01-14 19:40:00+00:00,2020-01-15 01:10:00+00:00,2020-01-15 01:10:00+00:00,2020-01-15 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-14,1190,2020-01-14 19:50:00+00:00,2020-01-15 01:20:00+00:00,2020-01-15 01:20:00+00:00,2020-01-15 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-14,1200,2020-01-14 20:00:00+00:00,2020-01-15 01:30:00+00:00,2020-01-15 01:30:00+00:00,2020-01-15 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-14,1210,2020-01-14 20:10:00+00:00,2020-01-15 01:40:00+00:00,2020-01-15 01:40:00+00:00,2020-01-15 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-14,1220,2020-01-14 20:20:00+00:00,2020-01-15 01:50:00+00:00,2020-01-15 01:50:00+00:00,2020-01-15 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-14,1230,2020-01-14 20:30:00+00:00,2020-01-15 02:00:00+00:00,2020-01-15 02:00:00+00:00,2020-01-15 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-15,1170,2020-01-15 19:30:00+00:00,2020-01-16 01:00:00+00:00,2020-01-16 01:00:00+00:00,2020-01-16 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-15,1180,2020-01-15 19:40:00+00:00,2020-01-16 01:10:00+00:00,2020-01-16 01:10:00+00:00,2020-01-16 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-15,1190,2020-01-15 19:50:00+00:00,2020-01-16 01:20:00+00:00,2020-01-16 01:20:00+00:00,2020-01-16 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-15,1200,2020-01-15 20:00:00+00:00,2020-01-16 01:30:00+00:00,2020-01-16 01:30:00+00:00,2020-01-16 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
