partition,date_utc,signal_ts,entry_ts,entry_px,H,L,range,h2_bar_start,target_name,target_extension,target_px,stop_name,stop_distance,stop_fraction,invalidation_boundary_px,nominal_rr,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes,h2_before_exit,accepted_close_above_H_before_exit
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,E10,0.1,64094.850000000006,D30,0.3,0.55,63761.825000000004,0.8333333333333267,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64094.850000000006,TP_E10,0.002367325204018167,0.7836626020090834,10.0,True,False
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,E10,0.1,64094.850000000006,D40,0.4,0.44999999999999996,63701.275,0.6249999999999888,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64094.850000000006,TP_E10,0.002367325204018167,0.7836626020090834,10.0,True,False
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,E10,0.1,64094.850000000006,D50,0.5,0.35,63640.725000000006,0.5,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64094.850000000006,TP_E10,0.002367325204018167,0.7836626020090834,10.0,True,False
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,E10,0.1,64094.850000000006,D60,0.6,0.25,63580.175,0.41666666666666335,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64094.850000000006,TP_E10,0.002367325204018167,0.7836626020090834,10.0,True,False
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,E15,0.15,64125.125,D30,0.3,0.55,63761.825000000004,0.9999999999999599,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64125.125,TP_E15,0.002840790244821534,1.020395122410767,10.0,True,False
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,E15,0.15,64125.125,D40,0.4,0.44999999999999996,63701.275,0.7499999999999625,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64125.125,TP_E15,0.002840790244821534,1.020395122410767,10.0,True,False
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,E15,0.15,64125.125,D50,0.5,0.35,63640.725000000006,0.5999999999999808,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64125.125,TP_E15,0.002840790244821534,1.020395122410767,10.0,True,False
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,E15,0.15,64125.125,D60,0.6,0.25,63580.175,0.49999999999997996,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64125.125,TP_E15,0.002840790244821534,1.020395122410767,10.0,True,False
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,E20,0.2,64155.4,D30,0.3,0.55,63761.825000000004,1.1666666666666332,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64155.4,TP_E20,0.003314255285625345,1.2571276428126725,10.0,True,False
august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,E20,0.2,64155.4,D40,0.4,0.44999999999999996,63701.275,0.8749999999999662,2026-08-04 14:40:00+00:00,2026-08-04 14:40:00+00:00,64155.4,TP_E20,0.003314255285625345,1.2571276428126725,10.0,True,False
