event_id,partition,clock_block,regime,label,p10,p15,delta_bad_prob,delta_flag,max_bull_body_r4,higher_close_streak,net_close_from_entry_r4
31,external,12-16,SIDEWAYS,GOOD,0.3488222186546916,0.6205789270401505,0.2717567083854589,False,0.11253847732403001,1.0,0.16580135440180133
73,external,08-12,BULL,BAD,0.34822321506903986,0.9286833909885368,0.580460175919497,True,0.3470560747663572,1.0,0.43462616822430006
176,external,08-12,BULL,BAD,0.35401914896358366,0.9085834818115874,0.5545643328480038,True,0.24715629687763954,1.0,0.2516858564886068
193,external,20-00,BEAR,GOOD,0.30117699297457456,0.6421635058569659,0.34098651288239135,False,0.13023684210526162,1.0,0.009468421052630507
197,external,04-08,SIDEWAYS,GOOD,0.461891706464942,0.7488942064518136,0.2870024999868716,False,0.06274292059965986,2.0,-0.061749320552912414
220,development,12-16,BEAR,GOOD,0.5040014179857667,0.7236825977397945,0.2196811797540278,False,0.19656712908535015,2.0,0.3860804138255321
254,development,12-16,SIDEWAYS,BAD,0.46354982869345374,0.6083313250768785,0.14478149638342475,False,0.09327999999999884,1.0,0.09335999999999767
257,development,04-08,SIDEWAYS,GOOD,0.3091385671905368,0.660065126302493,0.35092655911195625,False,0.10612638687891982,2.0,0.24264351181863525
301,development,08-12,BULL,GOOD,0.5611754515744467,0.6883941301629134,0.1272186785884667,False,0.20541760722352895,0.0,0.2347629796840096
361,development,00-04,BEAR,BAD,0.3847721704089183,0.6584212151593294,0.2736490447504111,False,0.18531025749261795,2.0,0.26466863655551015
394,development,12-16,BEAR,BAD,0.4030156750498049,0.6411672963274058,0.23815162127760087,False,0.12383177570091969,1.0,0.0023364485981818804
430,development,00-04,BULL,GOOD,0.5299473629140417,0.7121464310994081,0.18219906818536646,False,0.05452306314374927,2.0,0.11782355575458738
458,development,12-16,BEAR,BAD,0.4689832949441444,0.6079191233470493,0.13893582840290492,False,0.16407441293077973,2.0,0.33624580664837
470,development,08-12,BEAR,BAD,0.4606790586086909,0.7365012286208292,0.2758221700121383,False,0.1305976969475499,2.0,0.2271888137451994
481,development,16-20,BEAR,GOOD,0.30885509963439123,0.7303606653788518,0.4215055657444606,False,0.24993331555080478,1.0,0.011469725260057661
495,development,08-12,BULL,GOOD,0.4209869997871107,0.8692742518895483,0.44828725210243764,False,0.11570247933883923,2.0,0.14065180102915595
523,development,12-16,BULL,BAD,0.2989642454532869,0.7670618499590789,0.46809760450579196,True,0.28173076923076923,1.0,0.12913461538461818
551,reference_validation,08-12,BEAR,GOOD,0.49982568133108624,0.8106311608404589,0.3108054795093727,False,0.10943576448113154,2.0,0.22091833253734666
562,reference_validation,00-04,SIDEWAYS,BAD,0.3976544925401538,0.7202521142321834,0.3225976216920296,False,0.31382578606891337,1.0,0.1940725139160532
563,reference_validation,00-04,BULL,GOOD,0.49514598151780076,0.7673965616390461,0.27225058012124537,False,0.11902339776194626,2.0,0.26115390204911987
612,reference_validation,20-00,SIDEWAYS,BAD,0.12956759243797764,0.826275198517322,0.6967076060793443,True,0.2360320472275009,1.0,0.3240248787687202
636,reference_validation,20-00,BEAR,GOOD,0.4845961011599873,0.8396998671224754,0.35510376596248805,False,0.19027701049641285,2.0,0.3841409517796604
687,reference_validation,00-04,BEAR,GOOD,0.5417735929020174,0.6108529501461772,0.06907935724415981,False,0.27766990291267785,0.0,-0.025242718446564266
692,reference_validation,04-08,BULL,GOOD,0.44844268945940136,0.7005562697283392,0.2521135802689378,False,0.1323406040268265,2.0,0.0855704697986633
708,reference_validation,20-00,BEAR,BAD,0.36180877312574083,0.7387656073704415,0.37695683424470067,False,0.1400535236396236,2.0,0.20066904549509365
716,reference_validation,12-16,BULL,GOOD,0.4464189118577036,0.6946655341702308,0.2482466223125272,False,0.2508269018743089,2.0,0.3972804116133823
718,reference_validation,00-04,BULL,BAD,0.3908237507338904,0.8146766147957638,0.4238528640618734,False,0.4024776721406372,2.0,0.8382166522616373
