role,partition,component,outcome,snapshot_min,n,close_R_q25,close_R_q50,close_R_q75,close_R_n,close_vs_E20_R_q25,close_vs_E20_R_q50,close_vs_E20_R_q75,close_vs_E20_R_n,post_e20_peak_R_q25,post_e20_peak_R_q50,post_e20_peak_R_q75,post_e20_peak_R_n,post_e20_giveback_from_peak_R_q25,post_e20_giveback_from_peak_R_q50,post_e20_giveback_from_peak_R_q75,post_e20_giveback_from_peak_R_n,post_e20_mae_below_E20_R_q25,post_e20_mae_below_E20_R_q50,post_e20_mae_below_E20_R_q75,post_e20_mae_below_E20_R_n,closes_ge_E20_q25,closes_ge_E20_q50,closes_ge_E20_q75,closes_ge_E20_n,fraction_closes_ge_E20_q25,fraction_closes_ge_E20_q50,fraction_closes_ge_E20_q75,fraction_closes_ge_E20_n,closes_gt_H_q25,closes_gt_H_q50,closes_gt_H_q75,closes_gt_H_n,fraction_closes_gt_H_q25,fraction_closes_gt_H_q50,fraction_closes_gt_H_q75,fraction_closes_gt_H_n,consecutive_closes_ge_E20_q25,consecutive_closes_ge_E20_q50,consecutive_closes_ge_E20_q75,consecutive_closes_ge_E20_n,baseline_exited_by_snapshot_rate,E25_by_snapshot_rate,E30_by_snapshot_rate,closed_back_le_E10_rate,closed_back_le_H_rate
CENTRAL,development,PARENT,E20_TO_E40_CONTINUATION,5,251,0.10855136298130685,0.17021276595744805,0.240756099981573,131,-0.09144863701869316,-0.029787234042551958,0.040756099981572994,131,0.24603937567225892,0.2966101694915293,0.34448914217603444,131,0.06776832632842167,0.12199312714776607,0.19742893890866425,131,0.1468142888918046,0.20784313725489206,0.30026893206813,131,0.0,1.0,1.0,131,0.0,0.5,0.5,131,2.0,2.0,2.0,131,1.0,1.0,1.0,131,0.0,0.0,1.0,131,0.47808764940239046,0.3745019920318725,0.2549800796812749,0.1553784860557769,0.035856573705179286
CENTRAL,development,PARENT,E20_TO_E40_CONTINUATION,10,251,0.09291162269959861,0.17818125865517784,0.24463335614170983,99,-0.1070883773004014,-0.021818741344822173,0.04463335614170984,99,0.24736137740331476,0.2886597938144353,0.34873129472999576,99,0.10456228468398887,0.16604477611940058,0.22892635314995477,99,0.1547519354830224,0.2263157894736843,0.31369820655535036,99,0.0,1.0,2.0,99,0.0,0.3333333333333333,0.6666666666666666,99,3.0,3.0,3.0,99,1.0,1.0,1.0,99,0.0,0.0,1.0,99,0.6055776892430279,0.2908366533864542,0.19123505976095617,0.1752988047808765,0.05976095617529881
CENTRAL,development,PARENT,E20_TO_E40_CONTINUATION,15,251,0.05930448819173731,0.17391304347825687,0.238364027025811,79,-0.1406955118082627,-0.026086956521743143,0.03836402702581099,79,0.25522256146553024,0.30249632892804723,0.35039647777563054,79,0.11696794841896214,0.1828358208955206,0.25292211724806424,79,0.15817180638873074,0.2263157894736843,0.3051540160676116,79,0.0,1.0,2.0,79,0.0,0.25,0.5,79,4.0,4.0,4.0,79,1.0,1.0,1.0,79,0.0,0.0,2.0,79,0.6852589641434262,0.24701195219123506,0.1593625498007968,0.16334661354581673,0.05976095617529881
CENTRAL,development,PARENT,E20_TO_E40_CONTINUATION,30,251,0.03716744685740246,0.11941281813309694,0.25250802167043684,54,-0.16283255314259754,-0.08058718186690307,0.05250802167043685,54,0.26312585232807495,0.3151804587029099,0.36136432823634723,54,0.16983809924305654,0.23588559511395857,0.3175264452040523,54,0.18497300113679593,0.2758096610402073,0.3396238586740722,54,0.0,1.0,4.0,54,0.0,0.14285714285714285,0.5714285714285714,54,6.0,7.0,7.0,54,0.8571428571428571,1.0,1.0,54,0.0,0.0,1.0,54,0.7848605577689243,0.17928286852589642,0.12350597609561753,0.1593625498007968,0.07569721115537849
CENTRAL,development,PARENT,E20_TO_E40_CONTINUATION,60,251,-0.050140574015577234,0.05320932669636047,0.1360021583932042,34,-0.2501405740155772,-0.14679067330363954,-0.06399784160679581,34,0.27162595277900753,0.3338590956887485,0.36566008517228443,34,0.2429657571830418,0.3489769677996395,0.4853064224332866,34,0.27806537790024904,0.33056181875128543,0.47928410745004574,34,0.0,1.0,2.0,34,0.0,0.07692307692307693,0.15384615384615385,34,7.0,11.0,13.0,34,0.5384615384615384,0.8461538461538461,1.0,34,0.0,0.0,0.0,34,0.8645418326693227,0.11553784860557768,0.0796812749003984,0.12749003984063745,0.08764940239043825
CENTRAL,development,PARENT,E20_STALLER,5,131,0.008507005145055936,0.08099250936329766,0.1787973581576705,118,-0.1914929948549441,-0.11900749063670235,-0.021202641842329513,118,0.22731980115990652,0.26238819716264017,0.3083205456904279,118,0.11180682793026107,0.1963532021338362,0.273950291234035,118,0.15666955245079228,0.23573230028536415,0.31470217062089845,118,0.0,0.0,1.0,118,0.0,0.0,0.5,118,2.0,2.0,2.0,118,1.0,1.0,1.0,118,0.0,0.0,0.0,118,0.09923664122137404,0.5267175572519084,0.2595419847328244,0.5114503816793893,0.22137404580152673
CENTRAL,development,PARENT,E20_STALLER,10,131,-0.026823172624549876,0.05616983635559256,0.16862613542526872,99,-0.22682317262454987,-0.14383016364440745,-0.03137386457473129,99,0.23462005589080026,0.2813229571984439,0.31911055006926525,99,0.15463843272832262,0.2252587991718408,0.33736315716430804,99,0.17680974953183481,0.24816678648454654,0.3432013419407278,99,0.0,0.0,1.0,99,0.0,0.0,0.3333333333333333,99,2.0,3.0,3.0,99,0.6666666666666666,1.0,1.0,99,0.0,0.0,0.0,99,0.24427480916030533,0.4961832061068702,0.2900763358778626,0.5038167938931297,0.2595419847328244
CENTRAL,development,PARENT,E20_STALLER,15,131,-0.014090248186710312,0.07237328028519664,0.15903638500738843,80,-0.21409024818671032,-0.12762671971480338,-0.040963614992611586,80,0.23711429562002007,0.2882633625781498,0.3196413457469376,80,0.17058794070512653,0.20999423344537993,0.3164755617037621,80,0.15444255200504364,0.24263708367181114,0.31597429112791026,80,0.0,1.0,2.0,80,0.0,0.25,0.5,80,3.0,4.0,4.0,80,0.75,1.0,1.0,80,0.0,0.0,0.0,80,0.3893129770992366,0.4198473282442748,0.25190839694656486,0.40458015267175573,0.19083969465648856
CENTRAL,development,PARENT,E20_STALLER,30,131,-0.050746741738463934,0.0700667157648465,0.14759218253585918,62,-0.2507467417384639,-0.12993328423515352,-0.052407817464140825,62,0.2504032258064546,0.29248833399233715,0.3382892969099882,62,0.1946055508458603,0.26308293269230787,0.3694459079733051,62,0.17536966778540491,0.2478619269696375,0.3644552062797737,62,0.0,1.0,2.0,62,0.0,0.14285714285714285,0.2857142857142857,62,4.25,7.0,7.0,62,0.6071428571428571,1.0,1.0,62,0.0,0.0,0.0,62,0.5267175572519084,0.35877862595419846,0.20610687022900764,0.40458015267175573,0.183206106870229
CENTRAL,development,PARENT,E20_STALLER,60,131,-0.27325420476578166,-0.02322170509460341,0.12078616685602764,42,-0.47325420476578167,-0.22322170509460343,-0.07921383314397237,42,0.2438236515883605,0.29554026503568087,0.3434303697875695,42,0.25382161846551377,0.42312285415733597,0.6191908907338811,42,0.20384204661528574,0.36938331605096475,0.5875408023387058,42,0.0,1.0,3.75,42,0.0,0.07692307692307693,0.2884615384615385,42,3.0,8.0,13.0,42,0.23076923076923078,0.6153846153846154,1.0,42,0.0,0.0,0.0,42,0.6793893129770993,0.22900763358778625,0.15267175572519084,0.2824427480916031,0.19083969465648856
