group,feature,n,wins,losses,winner_median,loser_median,median_diff,auc,spearman_r,side
SIDE_BUY_SIDE,oi_value,90,55,35,684022449.0945745,784305430.6932,-100282981.59862554,0.4841558441558442,0.06524761063015153,BUY_SIDE
SIDE_SELL_SIDE,oi_value,98,60,38,776557720.71585,887590727.5647769,-111033006.8489269,0.45921052631578946,-0.05418744293432067,SELL_SIDE
SIDE_BUY_SIDE,top_position_ratio,90,55,35,1.837751,1.62388,0.21387099999999992,0.5355844155844156,0.12943543784170358,BUY_SIDE
SIDE_SELL_SIDE,top_position_ratio,98,60,38,1.753355,2.0407,-0.2873450000000002,0.4355263157894737,-0.09230699457131744,SELL_SIDE
SIDE_BUY_SIDE,top_account_ratio,90,55,35,2.54445475,2.60860345,-0.06414870000000006,0.48987012987012984,0.04905879305469508,BUY_SIDE
SIDE_SELL_SIDE,top_account_ratio,98,60,38,2.693271995,3.0577204332510863,-0.3644484382510864,0.3767543859649123,-0.23797743765145174,SELL_SIDE
SIDE_BUY_SIDE,global_account_ratio,90,55,35,2.53424176,2.42504719,0.1091945700000001,0.48935064935064937,0.06826841061072639,BUY_SIDE
SIDE_SELL_SIDE,global_account_ratio,98,60,38,2.5959361650000004,3.087196692615736,-0.4912605276157356,0.3574561403508772,-0.2570274040125036,SELL_SIDE
SIDE_BUY_SIDE,taker_ratio,90,55,35,0.695598,0.716833,-0.021235000000000004,0.4374025974025974,-0.11711858488223259,BUY_SIDE
SIDE_SELL_SIDE,taker_ratio,98,60,38,1.262183,1.32024776,-0.05806475999999994,0.46096491228070174,-0.01791860893555861,SELL_SIDE
SIDE_BUY_SIDE,oi_change_1h,90,55,35,-0.00941631087142869,-0.010899830523902976,0.0014835196524742855,0.5007792207792208,0.11641762577071797,BUY_SIDE
SIDE_SELL_SIDE,oi_change_1h,98,60,38,0.00909410441783487,0.01007526399972103,-0.0009811595818861596,0.45263157894736844,-0.1651324066539381,SELL_SIDE
SIDE_BUY_SIDE,oi_change_4h,90,55,35,-0.0016421960173252925,3.908459169932321e-05,-0.0016812806090246157,0.4877922077922078,0.08090236412064447,BUY_SIDE
SIDE_SELL_SIDE,oi_change_4h,98,60,38,0.00010715525878191023,0.000598047296389459,-0.0004908920376075487,0.4969298245614035,-0.11548347269818593,SELL_SIDE
SIDE_BUY_SIDE,taker_log,90,55,35,-0.36298337172178363,-0.33291238043470145,-0.030070991287082183,0.4374025974025974,-0.11711858488223259,BUY_SIDE
SIDE_SELL_SIDE,taker_log,98,60,38,0.2327146427725487,0.2778189129264226,-0.04510427015387389,0.46096491228070174,-0.01791860893555861,SELL_SIDE
SIDE_BUY_SIDE,global_log,90,55,35,0.9298944838200204,0.8858509839939216,0.044043499826098786,0.48935064935064937,0.06826841061072639,BUY_SIDE
SIDE_SELL_SIDE,global_log,98,60,38,0.9539445747259653,1.1266788611928555,-0.17273428646689026,0.3574561403508772,-0.2570274040125036,SELL_SIDE
SIDE_BUY_SIDE,top_position_log,90,55,35,0.6085425414155657,0.4848183473837498,0.12372419403181595,0.5355844155844156,0.12943543784170358,BUY_SIDE
SIDE_SELL_SIDE,top_position_log,98,60,38,0.5615195262414255,0.713156739080051,-0.1516372128386254,0.4355263157894737,-0.09230699457131744,SELL_SIDE
SIDE_BUY_SIDE,sweep_taker_pressure,90,55,35,-0.36298337172178363,-0.33291238043470145,-0.030070991287082183,0.4374025974025974,-0.11711858488223259,BUY_SIDE
SIDE_SELL_SIDE,sweep_taker_pressure,98,60,38,-0.2327146427725487,-0.2778189129264226,0.04510427015387389,0.5390350877192982,0.01791860893555861,SELL_SIDE
SIDE_BUY_SIDE,sweep_crowd_pressure,90,55,35,0.9298944838200204,0.8858509839939216,0.044043499826098786,0.48935064935064937,0.06826841061072639,BUY_SIDE
SIDE_SELL_SIDE,sweep_crowd_pressure,98,60,38,-0.9539445747259653,-1.1266788611928555,0.17273428646689026,0.6425438596491229,0.2570274040125036,SELL_SIDE
SIDE_BUY_SIDE,sweep_top_position_pressure,90,55,35,0.6085425414155657,0.4848183473837498,0.12372419403181595,0.5355844155844156,0.12943543784170358,BUY_SIDE
SIDE_SELL_SIDE,sweep_top_position_pressure,98,60,38,-0.5615195262414255,-0.713156739080051,0.1516372128386254,0.5644736842105263,0.09230699457131744,SELL_SIDE
SIDE_BUY_SIDE,oi_trap_interaction_1h,90,55,35,0.003194906101778015,0.0026275422985419174,0.0005673638032360974,0.5267532467532468,-0.04168203288113658,BUY_SIDE
SIDE_SELL_SIDE,oi_trap_interaction_1h,98,60,38,-0.0019822748429235634,-0.0022015931277173557,0.0002193182847937923,0.5710526315789474,0.0872060766991511,SELL_SIDE
