scope,sessions,k1_qualified,k1_rate,causal_leave,leave_rate,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
POOLED,1095,222,0.20273972602739726,141,0.6351351351351351,94,4,0,43,0.6666666666666666,0.9591836734693877,20.0
Monday,157,24,0.15286624203821655,15,0.625,6,1,0,8,0.4,0.8571428571428571,37.5
Tuesday,157,30,0.1910828025477707,18,0.6,12,1,0,5,0.6666666666666666,0.9230769230769231,27.5
Wednesday,156,34,0.21794871794871795,23,0.6764705882352942,20,1,0,2,0.8695652173913043,0.9523809523809523,10.0
Thursday,156,28,0.1794871794871795,20,0.7142857142857143,15,0,0,5,0.75,1.0,25.0
Friday,156,36,0.23076923076923078,23,0.6388888888888888,15,0,0,8,0.6521739130434783,1.0,15.0
Saturday,156,34,0.21794871794871795,17,0.5,10,1,0,6,0.5882352941176471,0.9090909090909091,17.5
Sunday,157,36,0.22929936305732485,25,0.6944444444444444,16,0,0,9,0.64,1.0,22.5
