event_id,local_date,weekday,H,L,R,k1_signal,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2,h2_timing_bucket,first_post_leave_exists,first_post_leave_start,first_post_leave_close,first_close_depth_R,first_close_depth_bin,first_post_leave_is_h2_terminal,pre_h2_low_depth_R,pre_h2_close_depth_R,P10_level,P10_reached_before_terminal,P10_first_start,P10_first_complete,P10_to_h2_minutes,P20_level,P20_reached_before_terminal,P20_first_start,P20_first_complete,P20_to_h2_minutes,P35_level,P35_reached_before_terminal,P35_first_start,P35_first_complete,P35_to_h2_minutes,P50_level,P50_reached_before_terminal,P50_first_start,P50_first_complete,P50_to_h2_minutes
2022-01-12,2022-01-12,Wednesday,463.86,455.64,8.220000000000027,2022-01-11 23:45:00+00:00,2022-01-11 23:50:00+00:00,2022-01-11 23:55:00+00:00,H2_ARRIVAL,2022-01-12 00:00:00+00:00,10.0,2_BARS_10M,True,2022-01-11 23:55:00+00:00,462.87,0.12043795620438028,GT_0.10_TO_0.20R,False,0.23357664233576758,0.12043795620438028,463.038,True,2022-01-11 23:55:00+00:00,2022-01-12 00:00:00+00:00,5.0,462.216,False,,,,460.983,False,,,,459.75,False,,,
2022-01-13,2022-01-13,Thursday,488.41,482.27,6.140000000000043,2022-01-13 00:10:00+00:00,2022-01-13 00:10:00+00:00,2022-01-13 00:15:00+00:00,OPPOSITE_BREAK_BEFORE_H2,2022-01-13 00:55:00+00:00,,NON_H2,True,2022-01-13 00:15:00+00:00,486.07,0.38110749185668,GT_0.35_TO_0.50R,False,,,487.79600000000005,True,2022-01-13 00:15:00+00:00,2022-01-13 00:20:00+00:00,,487.182,True,2022-01-13 00:15:00+00:00,2022-01-13 00:20:00+00:00,,486.261,True,2022-01-13 00:15:00+00:00,2022-01-13 00:20:00+00:00,,485.34000000000003,True,2022-01-13 00:45:00+00:00,2022-01-13 00:50:00+00:00,
2022-01-14,2022-01-14,Friday,478.67,468.62,10.050000000000011,2022-01-13 22:10:00+00:00,2022-01-13 22:15:00+00:00,2022-01-13 22:20:00+00:00,H2_ARRIVAL,2022-01-14 00:35:00+00:00,140.0,13PLUS_BARS_65M_PLUS,True,2022-01-13 22:20:00+00:00,478.05,0.061691542288557596,LE_0.10R,False,0.7014925373134332,0.6268656716417915,477.665,True,2022-01-13 22:30:00+00:00,2022-01-13 22:35:00+00:00,125.0,476.66,True,2022-01-13 22:35:00+00:00,2022-01-13 22:40:00+00:00,120.0,475.15250000000003,True,2022-01-13 23:50:00+00:00,2022-01-13 23:55:00+00:00,45.0,473.645,True,2022-01-14 00:00:00+00:00,2022-01-14 00:05:00+00:00,35.0
2022-01-15,2022-01-15,Saturday,492.28,478.15,14.129999999999995,2022-01-15 00:05:00+00:00,2022-01-15 00:05:00+00:00,2022-01-15 00:10:00+00:00,NO_H2_BY_END,,,NON_H2,True,2022-01-15 00:10:00+00:00,488.93,0.23708421797593537,GT_0.20_TO_0.35R,False,,,490.86699999999996,True,2022-01-15 00:10:00+00:00,2022-01-15 00:15:00+00:00,,489.45399999999995,True,2022-01-15 00:10:00+00:00,2022-01-15 00:15:00+00:00,,487.3345,True,2022-01-15 01:25:00+00:00,2022-01-15 01:30:00+00:00,,485.215,True,2022-01-15 01:35:00+00:00,2022-01-15 01:40:00+00:00,
2022-01-19,2022-01-19,Wednesday,469.74,457.3,12.439999999999998,2022-01-18 22:05:00+00:00,2022-01-18 22:05:00+00:00,2022-01-18 22:10:00+00:00,H2_ARRIVAL,2022-01-18 22:10:00+00:00,5.0,1_BAR_5M,True,2022-01-18 22:10:00+00:00,469.46,0.022508038585211384,LE_0.10R,True,0.0,0.0,468.496,False,,,,467.252,False,,,,465.386,False,,,,463.52,False,,,
2022-01-30,2022-01-30,Sunday,390.5,382.87,7.6299999999999955,2022-01-29 22:50:00+00:00,2022-01-29 22:50:00+00:00,2022-01-29 22:55:00+00:00,NO_H2_BY_END,,,NON_H2,True,2022-01-29 22:55:00+00:00,389.64,0.11271297509829806,GT_0.10_TO_0.20R,False,,,389.737,True,2022-01-29 22:55:00+00:00,2022-01-29 23:00:00+00:00,,388.974,True,2022-01-29 23:00:00+00:00,2022-01-29 23:05:00+00:00,,387.8295,True,2022-01-29 23:20:00+00:00,2022-01-29 23:25:00+00:00,,386.685,True,2022-01-30 00:30:00+00:00,2022-01-30 00:35:00+00:00,
2022-02-19,2022-02-19,Saturday,399.91,394.04,5.8700000000000045,2022-02-18 23:50:00+00:00,2022-02-18 23:55:00+00:00,2022-02-19 00:00:00+00:00,H2_ARRIVAL,2022-02-19 00:20:00+00:00,25.0,4_6_BARS_20_30M,True,2022-02-19 00:00:00+00:00,398.45,0.24872231686542337,GT_0.20_TO_0.35R,False,0.42248722316865694,0.2947189097103947,399.32300000000004,True,2022-02-19 00:00:00+00:00,2022-02-19 00:05:00+00:00,20.0,398.73600000000005,True,2022-02-19 00:00:00+00:00,2022-02-19 00:05:00+00:00,20.0,397.8555,False,,,,396.975,False,,,
2022-03-02,2022-03-02,Wednesday,409.63,401.12,8.509999999999991,2022-03-02 00:05:00+00:00,2022-03-02 00:10:00+00:00,2022-03-02 00:15:00+00:00,H2_ARRIVAL,2022-03-02 01:00:00+00:00,50.0,7_12_BARS_35_60M,True,2022-03-02 00:15:00+00:00,408.69,0.1104582843713277,GT_0.10_TO_0.20R,False,0.7168037602820246,0.6874265569917778,408.779,True,2022-03-02 00:15:00+00:00,2022-03-02 00:20:00+00:00,45.0,407.928,True,2022-03-02 00:20:00+00:00,2022-03-02 00:25:00+00:00,40.0,406.6515,True,2022-03-02 00:20:00+00:00,2022-03-02 00:25:00+00:00,40.0,405.375,True,2022-03-02 00:30:00+00:00,2022-03-02 00:35:00+00:00,30.0
2022-03-15,2022-03-15,Tuesday,366.45,363.42,3.0299999999999727,2022-03-14 22:05:00+00:00,2022-03-14 22:05:00+00:00,2022-03-14 22:10:00+00:00,H2_ARRIVAL,2022-03-14 22:10:00+00:00,5.0,1_BAR_5M,True,2022-03-14 22:10:00+00:00,367.31,-0.28382838283829087,LE_0.10R,True,0.0,0.0,366.147,False,,,,365.844,False,,,,365.3895,False,,,,364.935,False,,,
2022-03-22,2022-03-22,Tuesday,397.84,395.75,2.089999999999975,2022-03-21 22:15:00+00:00,2022-03-21 22:15:00+00:00,2022-03-21 22:20:00+00:00,OPPOSITE_BREAK_BEFORE_H2,2022-03-21 23:25:00+00:00,,NON_H2,True,2022-03-21 22:20:00+00:00,396.95,0.42583732057416124,GT_0.35_TO_0.50R,False,,,397.631,True,2022-03-21 22:20:00+00:00,2022-03-21 22:25:00+00:00,,397.42199999999997,True,2022-03-21 22:20:00+00:00,2022-03-21 22:25:00+00:00,,397.1085,True,2022-03-21 22:20:00+00:00,2022-03-21 22:25:00+00:00,,396.79499999999996,True,2022-03-21 22:50:00+00:00,2022-03-21 22:55:00+00:00,
