i,period,date,parent_pnl,frozen_pnl,frozen_layer,combined_pnl,combined_layer,incremental,candidate6,fastmr_arm,fastmr_lock_exit,fastmr_decision_t,d20,giveback_progress
0,D,2023-12-03,-7.699536725601946,-7.699536725601946,PARENT,-7.699536725601946,PARENT,0.0,False,False,False,,,
1,D,2023-12-10,11.943680114806734,11.943680114806734,PARENT,11.943680114806734,PARENT,0.0,False,False,False,,,
2,D,2023-12-17,11.865836000367446,11.865836000367446,PARENT,11.865836000367446,PARENT,0.0,False,False,False,,,
3,D,2023-12-24,11.848751643487457,11.848751643487457,PARENT,11.848751643487457,PARENT,0.0,False,False,False,,,
4,D,2023-12-31,-1.6366953095032644,-1.6366953095032644,RECOVERY7_HOLD,1.6040461717186227,FASTMR_LOCK,3.240741481221887,True,True,True,2023-12-31 23:45:00+00:00,0.006141736978600765,0.005607445860157267
5,D,2024-01-07,6.7436570097704935,6.7436570097704935,RECOVERY7_HOLD,1.2500000000000018,FASTMR_LOCK,-5.493657009770492,True,True,True,2024-01-07 23:50:00+00:00,0.006342095709570339,0.005689615996364528
6,D,2024-01-14,11.75000000000001,11.75000000000001,PARENT,11.75000000000001,PARENT,0.0,False,False,False,,,
7,D,2024-01-21,3.503422796562018,3.503422796562018,PARENT,3.503422796562018,PARENT,0.0,False,False,False,,,
8,D,2024-01-28,2.345059823143878,2.345059823143878,PARENT,2.345059823143878,PARENT,0.0,False,False,False,,,
9,D,2024-02-04,3.3890422518091947,3.3890422518091947,PARENT,1.2203876199113277,FASTMR_MARKET,-2.168654631897867,False,True,True,2024-02-04 22:50:00+00:00,0.00749478993624586,0.003840436075322029
10,D,2024-02-11,-7.649805624526015,-7.649805624526015,RECOVERY7_HOLD,-7.649805624526015,RECOVERY7_HOLD,0.0,True,False,False,,,
11,D,2024-02-18,-4.115703573975951,-4.115703573975951,RECOVERY7_HOLD,-4.115703573975951,RECOVERY7_HOLD,0.0,True,False,False,,,
12,D,2024-02-25,1.1471846780681167,1.1471846780681167,RECOVERY7_HOLD,1.1471846780681167,RECOVERY7_HOLD,0.0,True,False,False,,,
13,D,2024-03-03,-7.750000000000006,-7.750000000000006,PARENT,-7.750000000000006,PARENT,0.0,False,False,False,,,
14,D,2024-03-10,12.19609973468022,12.19609973468022,PARENT,1.2500000000000018,FASTMR_LOCK,-10.946099734680217,False,True,True,2024-03-10 15:00:00+00:00,0.007215641699668263,0.005769007395170611
