partition,timeframe,variant,bull_cross_ts,signal_ts,entry_ts,exit_ts,bars_cross_to_signal,entry_px,exit_px,return,mfe,mae,bars_held,hold_minutes,gross_pnl_usd,fee_sensitive_pnl_usd,exit_reason
external,5m,C1_CROSS_ENTRY,2020-01-01 11:25:00+00:00,2020-01-01 11:25:00+00:00,2020-01-01 11:30:00+00:00,2020-01-01 11:55:00+00:00,0,7217.75,7190.05,-0.003837761075127233,0.0016099199889161309,-0.004536039624536747,5,25,-1.9188805375636164,-2.3188805375636163,REVERSAL_CUT
external,5m,C1_CROSS_ENTRY,2020-01-02 09:10:00+00:00,2020-01-02 09:10:00+00:00,2020-01-02 09:15:00+00:00,2020-01-02 09:35:00+00:00,0,7144.44,7137.51,-0.0009699850513125163,0.001058165510522846,-0.0015956464047566232,4,20,-0.48499252565625817,-0.8849925256562582,REVERSAL_CUT
external,5m,C1_CROSS_ENTRY,2020-01-03 03:55:00+00:00,2020-01-03 03:55:00+00:00,2020-01-03 04:00:00+00:00,2020-01-03 07:50:00+00:00,0,6947.44,7192.81,0.03531804520801929,0.05074674988197092,-0.00023030065750828665,46,230,17.659022604009643,17.259022604009644,DYNAMIC_DETERIORATION_CUT
external,5m,C1_CROSS_ENTRY,2020-01-03 16:10:00+00:00,2020-01-03 16:10:00+00:00,2020-01-03 16:15:00+00:00,2020-01-03 17:20:00+00:00,0,7352.63,7337.11,-0.0021108093294508468,0.0074327145524797356,-0.005525913856674447,13,65,-1.0554046647254234,-1.4554046647254233,DYNAMIC_DETERIORATION_CUT
external,5m,C1_CROSS_ENTRY,2020-01-03 23:55:00+00:00,2020-01-03 23:55:00+00:00,2020-01-04 00:00:00+00:00,2020-01-04 00:20:00+00:00,0,7341.6,7314.11,-0.0037444153862918883,0.0007382586902038302,-0.0041870981802333285,4,20,-1.8722076931459442,-2.272207693145944,DYNAMIC_DETERIORATION_CUT
external,5m,C1_CROSS_ENTRY,2020-01-04 02:55:00+00:00,2020-01-04 02:55:00+00:00,2020-01-04 03:00:00+00:00,2020-01-04 04:05:00+00:00,0,7324.13,7318.23,-0.0008055564278625083,0.0016889377987556742,-0.0013462349794446382,13,65,-0.4027782139312541,-0.8027782139312541,DYNAMIC_DETERIORATION_CUT
external,5m,C1_CROSS_ENTRY,2020-01-04 17:35:00+00:00,2020-01-04 17:35:00+00:00,2020-01-04 17:40:00+00:00,2020-01-04 18:45:00+00:00,0,7337.88,7306.97,-0.0042123883192420886,0.008465660381472562,-0.004216476693540971,13,65,-2.1061941596210443,-2.506194159621044,REVERSAL_CUT
external,5m,C1_CROSS_ENTRY,2020-01-04 19:45:00+00:00,2020-01-04 19:45:00+00:00,2020-01-04 19:50:00+00:00,2020-01-04 20:15:00+00:00,0,7344.4,7319.5,-0.0033903382168726237,0.0006263275420728132,-0.005092315233375055,5,25,-1.6951691084363119,-2.0951691084363118,REVERSAL_CUT
external,5m,C1_CROSS_ENTRY,2020-01-05 12:35:00+00:00,2020-01-05 12:35:00+00:00,2020-01-05 12:40:00+00:00,2020-01-05 13:25:00+00:00,0,7440.92,7439.76,-0.0001558947011928158,0.001892239131720208,-0.000471715863092248,9,45,-0.0779473505964079,-0.4779473505964079,DYNAMIC_DETERIORATION_CUT
external,5m,C1_CROSS_ENTRY,2020-01-05 15:05:00+00:00,2020-01-05 15:05:00+00:00,2020-01-05 15:10:00+00:00,2020-01-05 16:55:00+00:00,0,7440.74,7452.03,0.0015173222018241006,0.005007566451723955,-0.0006343455086456062,21,105,0.7586611009120503,0.3586611009120503,DYNAMIC_DETERIORATION_CUT
