dev_block,threshold,adequate,same_bad_direction,n,fail_n,target_n,time_n,fail_median_mfe_R,target_median_mfe_R,time_median_mfe_R,fail_hit_rate,target_hit_rate,time_hit_rate,gap,ratio,low_mfe_n,low_mfe_rate
0,0.09003731261387873,True,False,36,31,4,1,0.08994708994709091,0.07583806398972406,0.06213017751479324,0.5161290322580645,1.0,1.0,-0.4838709677419355,0.5161290322580645,21,0.5833333333333334
1,0.09003731261387873,True,False,39,30,7,2,0.09476495726495641,0.05405405405405276,0.21145444550530756,0.4666666666666667,0.5714285714285714,0.0,-0.10476190476190472,0.8166666666666668,18,0.46153846153846156
2,0.09003731261387873,True,True,38,33,5,0,0.07543323139653205,0.12337662337662142,,0.5151515151515151,0.4,,0.11515151515151512,1.2878787878787878,19,0.5
3,0.09003731261387873,True,True,30,25,5,0,0.09326424870466607,0.25030525030525286,,0.48,0.2,,0.27999999999999997,2.4,13,0.43333333333333335
4,0.09003731261387873,True,False,41,37,4,0,0.1025972733605342,0.08947231425197522,,0.4594594594594595,0.5,,-0.040540540540540515,0.918918918918919,19,0.4634146341463415
5,0.09003731261387873,True,True,35,28,6,1,0.06230999785913319,0.15691700653009638,0.052401746724893,0.6428571428571429,0.3333333333333333,1.0,0.3095238095238096,1.9285714285714288,21,0.6
