year,n_return,continuation,invalidated,ambiguous,unresolved,resolved,continuation_rate_resolved
2020,29,7,19,1,2,26,0.2692307692307692
2021,88,27,50,5,6,77,0.35064935064935066
2022,84,25,46,0,13,71,0.352112676056338
2023,80,24,48,1,7,72,0.3333333333333333
2024,102,27,62,2,11,89,0.30337078651685395
