feature,group,n,median,p25,p75
liquidity_age_h1,EVENT,1352,3.0,1.0,7.0
liquidity_age_h1,FAILURE,4098,4.0,1.0,18.0
source_to_opposite_structure_range_units,EVENT,1352,2.207522410748206,1.739984034326198,2.890826086956526
source_to_opposite_structure_range_units,FAILURE,4098,3.0786609551007342,2.228544068466658,4.345776417773002
opposite_reference_age_h1,EVENT,1352,3.0,2.0,5.0
opposite_reference_age_h1,FAILURE,4098,4.0,2.0,6.0
same_bar_swept_level_count,EVENT,1352,1.0,1.0,1.0
same_bar_swept_level_count,FAILURE,4098,1.0,1.0,1.0
same_bar_swept_level_span_range_units,EVENT,1352,0.0,0.0,0.0
same_bar_swept_level_span_range_units,FAILURE,4098,0.0,0.0,0.0
approach_bars,EVENT,1352,3.0,1.0,6.0
approach_bars,FAILURE,4098,4.0,1.0,6.0
approach_efficiency,EVENT,685,0.4921711899791275,0.20134228187919628,0.7907692307692263
approach_efficiency,FAILURE,2477,0.5546772068511189,0.28454041658704593,0.8173641474078713
approach_net_range_units,EVENT,685,0.802594995366081,0.32508833922261304,1.357285429141717
approach_net_range_units,FAILURE,2477,1.1409395973154366,0.5185266872518727,1.9134860050890505
approach_median_overlap,EVENT,685,0.8181818181818211,0.7078746824724813,0.9218750000000001
approach_median_overlap,FAILURE,2477,0.8124999999999972,0.6784037558685423,0.9230769230769177
approach_overlap_gt50_share,EVENT,685,0.8,0.75,1.0
approach_overlap_gt50_share,FAILURE,2477,0.8,0.6,1.0
approach_range_contraction_ratio,EVENT,685,1.0766917293233058,0.8326603858232551,1.3809523809523714
approach_range_contraction_ratio,FAILURE,2477,1.0645161290322613,0.8176638176638179,1.402395209580836
approach_body_contraction_ratio,EVENT,681,1.2513368983957474,0.7126436781609214,2.32996632996633
approach_body_contraction_ratio,FAILURE,2475,1.1970223325062017,0.624999999999982,2.208416334661374
approach_directional_close_share,EVENT,685,0.6666666666666666,0.5,0.6666666666666666
approach_directional_close_share,FAILURE,2477,0.6666666666666666,0.5,0.75
approach_max_directional_body_range_units,EVENT,685,0.81592039800997,0.5852417302798892,1.1044776119402997
approach_max_directional_body_range_units,FAILURE,2477,0.9462365591397875,0.6876066917036561,1.3838310269482892
approach_start_distance_to_level_range_units,EVENT,685,1.6177343340897283,1.158940397350986,2.233975795607389
approach_start_distance_to_level_range_units,FAILURE,2477,2.1153184165232406,1.4539682539682643,3.051836697854936
pre_sweep_touch_count,EVENT,1352,0.0,0.0,0.0
pre_sweep_touch_count,FAILURE,4098,0.0,0.0,0.0
sweep_depth_range_units,EVENT,1352,0.38068955835993024,0.17904332776114468,0.6662077642244114
sweep_depth_range_units,FAILURE,4098,0.35512097050558444,0.15999999999999745,0.6559319010623155
sweep_range_units,EVENT,1352,1.4448942869995476,1.090247387839848,2.0000000000000027
sweep_range_units,FAILURE,4098,1.4866525988768564,1.0947984828549497,2.0430713878597837
sweep_body_range_units,EVENT,1352,0.6356421356421402,0.32377702220822335,1.0719058528336882
sweep_body_range_units,FAILURE,4098,0.6744610250657466,0.32906020559174143,1.1499063072078028
sweep_rejection_wick_fraction,EVENT,1352,0.38617886178861605,0.20738193126713228,0.5582985214949565
sweep_rejection_wick_fraction,FAILURE,4098,0.36512484347222485,0.2028849382447161,0.5497208989780704
sweep_close_inside_range_units,EVENT,1352,0.17687851291987253,-0.12422275957362858,0.59671451165289
sweep_close_inside_range_units,FAILURE,4098,0.16274201843152336,-0.053820559486749145,0.45533638645381763
sweep_close_location_reversal,EVENT,1352,0.43123766214793446,0.22102752932837666,0.7050741520327954
sweep_close_location_reversal,FAILURE,4098,0.3854492219358636,0.2044955192329292,0.624267933222638
reclaim_delay_h1_bars,EVENT,1352,0.0,0.0,1.0
reclaim_delay_h1_bars,FAILURE,4098,0.0,0.0,1.0
reclaim_range_units,EVENT,1352,1.35640076254809,1.0163837328252663,1.9512195121951017
reclaim_range_units,FAILURE,4098,1.3492452403064341,0.9870234216782547,1.8450156610915616
reclaim_body_range_units,EVENT,1352,0.5562293958047675,0.2979965156794382,0.9610945644080472
reclaim_body_range_units,FAILURE,4098,0.5426112048516867,0.2827985798895114,0.9248501843884408
reclaim_directional_body_range_units,EVENT,1352,0.21210109526031595,0.0,0.6754783518329248
reclaim_directional_body_range_units,FAILURE,4098,0.0,0.0,0.42296939673360767
reclaim_close_inside_range_units,EVENT,1352,0.4312576312576387,0.19335801163405295,0.8060762766645155
reclaim_close_inside_range_units,FAILURE,4098,0.3016534438985798,0.12868118863424696,0.5671054177929139
reclaim_close_location_reversal,EVENT,1352,0.716723549488049,0.4803803066037742,0.8680799488482785
reclaim_close_location_reversal,FAILURE,4098,0.6099392911320132,0.37133684995737665,0.8095747117223345
near_equal_prior_same_side,EVENT,1352,0.0,0.0,0.0
near_equal_prior_same_side,FAILURE,4098,0.0,0.0,0.0
