partition,k1_opportunities,valid_h2_opportunities,clean_post_h2_leave_windows,f15_fills_h2_h3,h3_hits,h3_rate,breakdown_after_h3,e20_activated,e20_activation_rate,wr,pf,expectancy,total_pnl
external,94,28,13,10,4,0.4,2,3,0.3,0.4,0.5786794514537379,-0.7156922736729796,-7.156922736729796
development,192,59,42,26,14,0.5384615384615384,13,17,0.6538461538461539,0.6538461538461539,1.2231243736730568,0.24187366074503347,6.28871517937087
reference_validation,92,19,14,6,3,0.5,3,3,0.5,0.8333333333333334,3.2830058166421408,1.0530379687973939,6.318227812784363
august,2,1,1,1,1,1.0,0,0,0.0,0.0,0.0,-2.41989561044702,-2.41989561044702
POOLED_MAJOR,378,106,69,42,21,0.5,18,23,0.5476190476190477,0.6190476190476191,1.1136861295906135,0.12976238703393897,5.450020255425437
