checkpoint,rank,feature,coefficient,abs_coefficient
RECLAIM,1,cat__clock_block_16-20,-1.0182392731933025,1.0182392731933025
RECLAIM,2,cat__clock_block_04-08,-0.8676924915054138,0.8676924915054138
RECLAIM,3,num__ema50_slope3_r4,-0.5703833933666594,0.5703833933666594
RECLAIM,4,cat__clock_block_12-16,0.5528378787454131,0.5528378787454131
RECLAIM,5,cat__clock_block_00-04,0.5479550412488297,0.5479550412488297
RECLAIM,6,cat__clock_block_08-12,0.5346623639415551,0.5346623639415551
RECLAIM,7,cat__regime_BEAR,-0.5058847468142497,0.5058847468142497
RECLAIM,8,num__reclaim_pos_r4,0.3504969801154704,0.3504969801154704
RECLAIM,9,num__setup_f05_pos_r4,0.3494734357358645,0.3494734357358645
RECLAIM,10,num__ema20_dist_r4,0.3361495556007491,0.3361495556007491
RECLAIM,11,cat__regime_SIDEWAYS,0.24893666540331624,0.24893666540331624
RECLAIM,12,num__remaining_block_min_reclaim,-0.18953278465944073,0.18953278465944073
FILL,1,cat__clock_block_16-20,-1.0641434541745216,1.0641434541745216
FILL,2,num__reclaim_pos_r4,-0.9368675936151549,0.9368675936151549
FILL,3,cat__clock_block_04-08,-0.8020231348621635,0.8020231348621635
FILL,4,num__ema50_slope3_r4,-0.5672105629443411,0.5672105629443411
FILL,5,cat__clock_block_12-16,0.5245613341685853,0.5245613341685853
FILL,6,cat__clock_block_00-04,0.5229693519480251,0.5229693519480251
FILL,7,cat__clock_block_08-12,0.5065447392585574,0.5065447392585574
FILL,8,cat__regime_BEAR,-0.49746053637549537,0.49746053637549537
FILL,9,num__entry_pos_r4,0.4468057717720639,0.4468057717720639
FILL,10,num__entry_to_h_r4,-0.4468057717720553,0.4468057717720553
FILL,11,num__entry_gap_f05_r4,0.44680577177203523,0.44680577177203523
FILL,12,num__reclaim_to_fill_min,-0.40322123838944757,0.40322123838944757
PLUS5,1,num__rebreak_done,-1.2716848714656424,1.2716848714656424
PLUS5,2,cat__clock_block_16-20,-1.0641931930086799,1.0641931930086799
PLUS5,3,num__mfe_low_r4,0.9617799354720217,0.9617799354720217
PLUS5,4,num__reclaim_pos_r4,-0.7745534465226983,0.7745534465226983
PLUS5,5,cat__clock_block_04-08,-0.7290135080968139,0.7290135080968139
PLUS5,6,num__mae_close_r4,-0.6866911438816047,0.6866911438816047
PLUS5,7,cat__regime_BEAR,-0.6847313981035812,0.6847313981035812
PLUS5,8,num__current_close_pos_r4,0.6712015779421878,0.6712015779421878
PLUS5,9,num__net_close_from_entry_r4,0.6248480268318011,0.6248480268318011
PLUS5,10,cat__clock_block_08-12,0.5301440992480841,0.5301440992480841
PLUS5,11,cat__clock_block_12-16,0.4730123201510352,0.4730123201510352
PLUS5,12,num__reclaim_to_fill_min,-0.42330363713275965,0.42330363713275965
PLUS10,1,cat__clock_block_16-20,-1.091004722018725,1.091004722018725
PLUS10,2,num__mfe_low_r4,1.00092545234529,1.00092545234529
PLUS10,3,cat__clock_block_04-08,-0.7099918794775977,0.7099918794775977
PLUS10,4,num__net_close_from_entry_r4,0.5959524717548944,0.5959524717548944
PLUS10,5,num__closes_ge_f15,0.5923650739476435,0.5923650739476435
PLUS10,6,num__closes_ge_f10,-0.5906505981312049,0.5906505981312049
PLUS10,7,num__current_close_pos_r4,0.5859449210090146,0.5859449210090146
PLUS10,8,cat__clock_block_00-04,0.5607614852644399,0.5607614852644399
PLUS10,9,cat__clock_block_08-12,0.5605402255888207,0.5605402255888207
PLUS10,10,num__mae_close_r4,-0.49888941720013474,0.49888941720013474
PLUS10,11,cat__regime_BEAR,-0.4784438608183951,0.4784438608183951
PLUS10,12,cat__clock_block_12-16,0.4688326818026191,0.4688326818026191
PLUS15,1,cat__clock_block_16-20,-0.9904533639879902,0.9904533639879902
PLUS15,2,cat__clock_block_08-12,0.855292479402075,0.855292479402075
PLUS15,3,cat__clock_block_04-08,-0.8454433656802731,0.8454433656802731
PLUS15,4,num__max_bull_body_r4,0.7759516371042098,0.7759516371042098
PLUS15,5,cat__regime_BEAR,-0.7334028711670849,0.7334028711670849
PLUS15,6,num__higher_close_streak,0.5723440091454407,0.5723440091454407
PLUS15,7,num__mae_close_r4,-0.55645681682796,0.55645681682796
PLUS15,8,num__higher_high_streak,0.5217410199196203,0.5217410199196203
PLUS15,9,num__closes_ge_f15,0.4985643307874579,0.4985643307874579
PLUS15,10,cat__regime_SIDEWAYS,0.4910876966063778,0.4910876966063778
PLUS15,11,num__reclaim_pos_r4,-0.457284168748946,0.457284168748946
PLUS15,12,num__close_above_entry_frac,-0.3956598249048521,0.3956598249048521
