target_fraction,scope,name,source_n,fills_n,fill_rate,rebreak_n,rebreak_rate_fill,target_n,target_rate_fill,target_yield_source,high_failure_n,high_failure_rate_fill,unresolved_n,unresolved_rate_fill,median_reclaim_fill_min,median_fill_rebreak_min,median_fill_target_min
0.05,PARTITION,external,202,183,0.905940594059406,146,0.7978142076502732,143,0.7814207650273224,0.7079207920792079,23,0.12568306010928962,17,0.09289617486338798,0.0,15.0,25.0
0.05,PARTITION,development,333,297,0.8918918918918919,238,0.8013468013468014,233,0.7845117845117845,0.6996996996996997,38,0.12794612794612795,26,0.08754208754208755,0.0,25.0,30.0
0.05,PARTITION,reference_validation,194,173,0.8917525773195877,137,0.791907514450867,136,0.7861271676300579,0.7010309278350515,18,0.10404624277456648,19,0.10982658959537572,0.0,20.0,25.0
0.05,POOL,POOLED_MAJOR,729,653,0.8957475994513031,521,0.7978560490045942,512,0.7840735068912711,0.7023319615912208,79,0.12098009188361408,62,0.09494640122511486,0.0,20.0,27.5
0.05,CLOCK_EXTERNAL,00-04,29,27,0.9310344827586207,23,0.8518518518518519,23,0.8518518518518519,0.7931034482758621,2,0.07407407407407407,2,0.07407407407407407,0.0,20.0,25.0
0.05,CLOCK_EXTERNAL,04-08,43,38,0.8837209302325582,33,0.868421052631579,33,0.868421052631579,0.7674418604651163,2,0.05263157894736842,3,0.07894736842105263,0.0,15.0,25.0
0.05,CLOCK_EXTERNAL,08-12,40,40,1.0,31,0.775,30,0.75,0.75,7,0.175,3,0.075,0.0,10.0,20.0
0.05,CLOCK_EXTERNAL,12-16,32,31,0.96875,25,0.8064516129032258,25,0.8064516129032258,0.78125,2,0.06451612903225806,4,0.12903225806451613,0.0,25.0,30.0
0.05,CLOCK_EXTERNAL,16-20,31,25,0.8064516129032258,18,0.72,17,0.68,0.5483870967741935,6,0.24,2,0.08,0.0,25.0,40.0
0.05,CLOCK_EXTERNAL,20-00,27,22,0.8148148148148148,16,0.7272727272727273,15,0.6818181818181818,0.5555555555555556,4,0.18181818181818182,3,0.13636363636363635,0.0,12.5,20.0
0.05,CLOCK_DEVELOPMENT,00-04,47,42,0.8936170212765957,31,0.7380952380952381,30,0.7142857142857143,0.6382978723404256,7,0.16666666666666666,5,0.11904761904761904,0.0,15.0,20.0
0.05,CLOCK_DEVELOPMENT,04-08,43,38,0.8837209302325582,32,0.8421052631578947,32,0.8421052631578947,0.7441860465116279,1,0.02631578947368421,5,0.13157894736842105,0.0,45.0,50.0
0.05,CLOCK_DEVELOPMENT,08-12,58,50,0.8620689655172413,40,0.8,40,0.8,0.6896551724137931,8,0.16,2,0.04,0.0,15.0,20.0
0.05,CLOCK_DEVELOPMENT,12-16,82,76,0.926829268292683,58,0.7631578947368421,57,0.75,0.6951219512195121,18,0.23684210526315788,1,0.013157894736842105,0.0,25.0,30.0
0.05,CLOCK_DEVELOPMENT,16-20,60,54,0.9,47,0.8703703703703703,45,0.8333333333333334,0.75,2,0.037037037037037035,7,0.12962962962962962,0.0,40.0,45.0
0.05,CLOCK_DEVELOPMENT,20-00,43,37,0.8604651162790697,30,0.8108108108108109,29,0.7837837837837838,0.6744186046511628,2,0.05405405405405406,6,0.16216216216216217,0.0,17.5,30.0
0.05,CLOCK_REFERENCE_VALIDATION,00-04,36,32,0.8888888888888888,23,0.71875,23,0.71875,0.6388888888888888,4,0.125,5,0.15625,0.0,20.0,25.0
0.05,CLOCK_REFERENCE_VALIDATION,04-08,26,20,0.7692307692307693,18,0.9,18,0.9,0.6923076923076923,2,0.1,0,0.0,0.0,10.0,22.5
0.05,CLOCK_REFERENCE_VALIDATION,08-12,29,24,0.8275862068965517,21,0.875,21,0.875,0.7241379310344828,2,0.08333333333333333,1,0.041666666666666664,0.0,30.0,55.0
0.05,CLOCK_REFERENCE_VALIDATION,12-16,43,41,0.9534883720930233,33,0.8048780487804879,33,0.8048780487804879,0.7674418604651163,6,0.14634146341463414,2,0.04878048780487805,0.0,20.0,25.0
0.05,CLOCK_REFERENCE_VALIDATION,16-20,31,27,0.8709677419354839,19,0.7037037037037037,18,0.6666666666666666,0.5806451612903226,0,0.0,9,0.3333333333333333,0.0,15.0,32.5
0.05,CLOCK_REFERENCE_VALIDATION,20-00,29,29,1.0,23,0.7931034482758621,23,0.7931034482758621,0.7931034482758621,4,0.13793103448275862,2,0.06896551724137931,0.0,35.0,55.0
0.05,CLOCK_MAJOR,00-04,112,101,0.9017857142857143,77,0.7623762376237624,76,0.7524752475247525,0.6785714285714286,13,0.12871287128712872,12,0.1188118811881188,0.0,20.0,25.0
0.05,CLOCK_MAJOR,04-08,112,96,0.8571428571428571,83,0.8645833333333334,83,0.8645833333333334,0.7410714285714286,5,0.052083333333333336,8,0.08333333333333333,0.0,20.0,35.0
0.05,CLOCK_MAJOR,08-12,127,114,0.8976377952755905,92,0.8070175438596491,91,0.7982456140350878,0.7165354330708661,17,0.14912280701754385,6,0.05263157894736842,0.0,15.0,25.0
0.05,CLOCK_MAJOR,12-16,157,148,0.9426751592356688,116,0.7837837837837838,115,0.777027027027027,0.732484076433121,26,0.17567567567567569,7,0.0472972972972973,0.0,22.5,30.0
0.05,CLOCK_MAJOR,16-20,122,106,0.8688524590163934,84,0.7924528301886793,80,0.7547169811320755,0.6557377049180327,8,0.07547169811320754,18,0.16981132075471697,0.0,32.5,40.0
0.05,CLOCK_MAJOR,20-00,99,88,0.8888888888888888,69,0.7840909090909091,67,0.7613636363636364,0.6767676767676768,10,0.11363636363636363,11,0.125,0.0,20.0,30.0
0.075,PARTITION,external,202,183,0.905940594059406,146,0.7978142076502732,141,0.7704918032786885,0.698019801980198,24,0.13114754098360656,18,0.09836065573770492,0.0,15.0,25.0
0.075,PARTITION,development,333,297,0.8918918918918919,238,0.8013468013468014,228,0.7676767676767676,0.6846846846846847,38,0.12794612794612795,31,0.10437710437710437,0.0,25.0,37.5
0.075,PARTITION,reference_validation,194,173,0.8917525773195877,137,0.791907514450867,134,0.7745664739884393,0.6907216494845361,19,0.10982658959537572,20,0.11560693641618497,0.0,20.0,30.0
0.075,POOL,POOLED_MAJOR,729,653,0.8957475994513031,521,0.7978560490045942,503,0.7702909647779479,0.6899862825788752,81,0.12404287901990811,69,0.10566615620214395,0.0,20.0,30.0
0.075,CLOCK_EXTERNAL,00-04,29,27,0.9310344827586207,23,0.8518518518518519,23,0.8518518518518519,0.7931034482758621,2,0.07407407407407407,2,0.07407407407407407,0.0,20.0,25.0
0.075,CLOCK_EXTERNAL,04-08,43,38,0.8837209302325582,33,0.868421052631579,33,0.868421052631579,0.7674418604651163,2,0.05263157894736842,3,0.07894736842105263,0.0,15.0,30.0
