partition,regime,clock_block,obs_start,obs_end,H,L,range,f15_px,k1_ts,k1_start,clean_window,window_status,leave_bar_start,eligible_start,fill_ts,terminal_ts,terminal_type,l2_after_fill,minutes_fill_to_l2
external,SIDEWAYS,20-00,2020-01-01 20:00:00+00:00,2020-01-02 00:00:00+00:00,7248.0,7210.81,37.1899999999996,7216.3885,2020-01-01 22:15:00+00:00,2020-01-01 22:10:00+00:00,True,CLEAN_CAUSAL_LEAVE,2020-01-01 22:15:00+00:00,2020-01-01 22:20:00+00:00,2020-01-01 22:20:00+00:00,2020-01-01 22:30:00+00:00,L2_ARRIVAL,True,10.0
external,SIDEWAYS,04-08,2020-01-02 04:00:00+00:00,2020-01-02 08:00:00+00:00,7209.59,7121.0,88.59000000000015,7134.2885,2020-01-02 04:05:00+00:00,2020-01-02 04:00:00+00:00,True,CLEAN_CAUSAL_LEAVE,2020-01-02 04:05:00+00:00,2020-01-02 04:10:00+00:00,2020-01-02 04:30:00+00:00,2020-01-02 06:55:00+00:00,L2_ARRIVAL,True,145.0
external,SIDEWAYS,12-16,2020-01-02 12:00:00+00:00,2020-01-02 16:00:00+00:00,7175.0,7106.75,68.25,7116.9875,2020-01-02 13:55:00+00:00,2020-01-02 13:50:00+00:00,True,CLEAN_CAUSAL_LEAVE,2020-01-02 13:55:00+00:00,2020-01-02 14:00:00+00:00,2020-01-02 15:35:00+00:00,2020-01-02 16:00:00+00:00,BLOCK_END,False,
external,SIDEWAYS,20-00,2020-01-03 20:00:00+00:00,2020-01-04 00:00:00+00:00,7407.28,7276.35,130.92999999999938,7295.989500000001,2020-01-03 21:55:00+00:00,2020-01-03 21:50:00+00:00,True,CLEAN_CAUSAL_LEAVE,2020-01-03 22:00:00+00:00,2020-01-03 22:05:00+00:00,,2020-01-03 22:05:00+00:00,L2_ARRIVAL,False,
external,SIDEWAYS,08-12,2020-01-04 08:00:00+00:00,2020-01-04 12:00:00+00:00,7368.47,7310.0,58.470000000000255,7318.7705,2020-01-04 11:00:00+00:00,2020-01-04 10:55:00+00:00,True,CLEAN_CAUSAL_LEAVE,2020-01-04 11:05:00+00:00,2020-01-04 11:10:00+00:00,2020-01-04 11:30:00+00:00,2020-01-04 12:00:00+00:00,BLOCK_END,False,
external,SIDEWAYS,12-16,2020-01-07 12:00:00+00:00,2020-01-07 16:00:00+00:00,7969.0,7860.0,109.0,7876.35,2020-01-07 12:30:00+00:00,2020-01-07 12:25:00+00:00,True,CLEAN_CAUSAL_LEAVE,2020-01-07 12:30:00+00:00,2020-01-07 12:35:00+00:00,2020-01-07 12:35:00+00:00,2020-01-07 12:55:00+00:00,L2_ARRIVAL,True,20.0
external,SIDEWAYS,16-20,2020-01-07 16:00:00+00:00,2020-01-07 20:00:00+00:00,7918.19,7746.0,172.1899999999996,7771.8285,2020-01-07 16:05:00+00:00,2020-01-07 16:00:00+00:00,True,CLEAN_CAUSAL_LEAVE,2020-01-07 16:05:00+00:00,2020-01-07 16:10:00+00:00,,2020-01-07 16:30:00+00:00,OPPOSITE_HIGH_BREAK,False,
external,BULL,08-12,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,8381.87,8280.0,101.8700000000008,8295.2805,2020-01-08 08:05:00+00:00,2020-01-08 08:00:00+00:00,False,LOW_BREAK_BEFORE_LEAVE,2020-01-08 08:10:00+00:00,,,2020-01-08 08:10:00+00:00,L2_BREAK,False,
external,BULL,16-20,2020-01-08 16:00:00+00:00,2020-01-08 20:00:00+00:00,8427.97,8201.1,226.86999999999898,8235.1305,2020-01-08 16:35:00+00:00,2020-01-08 16:30:00+00:00,False,LOW_BREAK_BEFORE_LEAVE,2020-01-08 16:35:00+00:00,,,2020-01-08 16:35:00+00:00,L2_BREAK,False,
external,BULL,04-08,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,8060.0,7932.0,128.0,7951.2,2020-01-09 04:15:00+00:00,2020-01-09 04:10:00+00:00,True,CLEAN_CAUSAL_LEAVE,2020-01-09 04:20:00+00:00,2020-01-09 04:25:00+00:00,2020-01-09 04:25:00+00:00,2020-01-09 06:10:00+00:00,L2_ARRIVAL,True,105.0
