partition,age_bucket,n,tp_rate,sl_rate,time_rate
development,ONSET,2012,0.5014910536779325,0.34691848906560635,0.15159045725646123
development,15m,63,0.4603174603174603,0.36507936507936506,0.1746031746031746
development,30m,8,0.875,0.125,0.0
development,45-60m,4,0.5,0.5,0.0
development,>60m,0,,,
validation_2025,ONSET,1202,0.5074875207986689,0.33444259567387685,0.15806988352745424
validation_2025,15m,30,0.5333333333333333,0.36666666666666664,0.1
validation_2025,30m,4,0.75,0.25,0.0
validation_2025,45-60m,1,1.0,0.0,0.0
validation_2025,>60m,0,,,
validation_2026,ONSET,919,0.40043525571273125,0.2676822633297062,0.33188248095756256
validation_2026,15m,26,0.5,0.23076923076923078,0.2692307692307692
validation_2026,30m,4,0.5,0.25,0.25
validation_2026,45-60m,2,0.5,0.5,0.0
validation_2026,>60m,0,,,
