scope,name,variant,stop_multiple,target_multiple,nominal_rr,trades,wr,pf,expectancy,total_net,tp_n,stop_n,time_n,median_hold,median_win,median_loss
CLOCK_MAJOR,20-00,S1_T1,1.0,1.0,1.0,98,0.030612244897959183,0.0336511313419194,-0.8390829872438508,-82.23013274989738,5,92,1,0.0,0.5223384135863286,-0.8219878478904505
CLOCK_OOS,20-00,S1_T1,1.0,1.0,1.0,55,0.01818181818181818,0.010664552430332559,-0.8810290174160146,-48.4565959578808,3,51,1,0.0,0.5223384135863286,-0.806331546919278
PARTITION,external,S1_T1_5,1.0,1.5,1.5,250,0.028,0.036370588501441266,-1.0333265918441148,-258.3316479610287,7,243,0,0.0,0.642400766224669,-0.9656995361091186
PARTITION,development,S1_T1_5,1.0,1.5,1.5,380,0.04736842105263158,0.057656400538512405,-0.7804995700762211,-296.589836628964,24,355,1,0.0,0.6552953071248475,-0.7706634442402407
PARTITION,reference_validation,S1_T1_5,1.0,1.5,1.5,177,0.07344632768361582,0.039503785654034604,-0.6787764149265471,-120.14342544199883,17,157,3,0.0,0.20698843953515778,-0.6761952120948117
POOL,POOLED_OOS,S1_T1_5,1.0,1.5,1.5,427,0.0468384074941452,0.03736740531944343,-0.8863584857213759,-378.4750734030275,24,400,3,0.0,0.5005031017567216,-0.847425099633751
POOL,POOLED_MAJOR,S1_T1_5,1.0,1.5,1.5,807,0.04708798017348203,0.04638796962637391,-0.8365116605105225,-675.0649100319916,48,755,4,0.0,0.6275920596018503,-0.8069381109635232
CLOCK_MAJOR,00-04,S1_T1_5,1.0,1.5,1.5,109,0.009174311926605505,0.0013638488723057723,-0.8447927276593451,-92.08240731486862,2,107,0,0.0,0.1257580022851844,-0.7702653504192654
CLOCK_OOS,00-04,S1_T1_5,1.0,1.5,1.5,55,0.0,0.0,-0.8768969603613246,-48.22933281987285,0,55,0,0.0,,-0.7321842042210829
CLOCK_MAJOR,04-08,S1_T1_5,1.0,1.5,1.5,128,0.015625,0.005079507441387616,-0.7954795854527056,-101.82138693794631,6,122,0,0.0,0.2599215196149138,-0.7373866356290601
CLOCK_OOS,04-08,S1_T1_5,1.0,1.5,1.5,76,0.013157894736842105,0.006148146224455196,-0.8542103844621469,-64.91998921912317,2,74,0,0.0,0.40160672346984105,-0.7721658975569883
CLOCK_MAJOR,08-12,S1_T1_5,1.0,1.5,1.5,186,0.14516129032258066,0.11907837057164626,-0.8312772889543237,-154.6175757455042,29,155,2,0.0,0.5993994800436021,-0.9500499953446035
CLOCK_OOS,08-12,S1_T1_5,1.0,1.5,1.5,101,0.16831683168316833,0.11770942309382013,-0.9145856144645554,-92.3731470609201,17,83,1,0.0,0.39743472101800315,-1.1669245442868836
CLOCK_MAJOR,12-16,S1_T1_5,1.0,1.5,1.5,140,0.02142857142857143,0.019739535692476728,-0.7724695595797049,-108.14573834115868,4,136,0,0.0,0.982685277187597,-0.7320214262576488
CLOCK_OOS,12-16,S1_T1_5,1.0,1.5,1.5,73,0.0136986301369863,0.01584402411862701,-0.8361612327724178,-61.0397699923865,2,71,0,0.0,0.982685277187597,-0.8032803981012242
CLOCK_MAJOR,16-20,S1_T1_5,1.0,1.5,1.5,146,0.0136986301369863,0.02960043512273768,-0.9473950170012384,-138.3196724821808,2,143,1,0.0,2.1096065165821534,-0.899166375452126
CLOCK_OOS,16-20,S1_T1_5,1.0,1.5,1.5,67,0.0,0.0,-0.9557860096300417,-64.03766264521279,0,66,1,0.0,,-0.9192137866362539
CLOCK_MAJOR,20-00,S1_T1_5,1.0,1.5,1.5,98,0.030612244897959183,0.05760916741986732,-0.8171237674523772,-80.07812921033297,5,92,1,0.0,0.9835076203794929,-0.8219878478904505
CLOCK_OOS,20-00,S1_T1_5,1.0,1.5,1.5,55,0.01818181818181818,0.020129639907468584,-0.8704576666456751,-47.875171665512134,3,51,1,0.0,0.9835076203794929,-0.806331546919278
PARTITION,external,S1_T2,1.0,2.0,2.0,250,0.024,0.039136233230930254,-1.0391103881891683,-259.7775970472921,6,244,0,0.0,0.9815466827487217,-0.9674744484994104
PARTITION,development,S1_T2,1.0,2.0,2.0,380,0.05526315789473684,0.08520710384683026,-0.7582589493680452,-288.1384007598572,23,356,1,0.0,0.9698082513201981,-0.7723549178094633
PARTITION,reference_validation,S1_T2,1.0,2.0,2.0,177,0.06779661016949153,0.04973804248205928,-0.6849589185442652,-121.23772858233494,13,161,3,0.0,0.3491860025868849,-0.6805623007579117
POOL,POOLED_OOS,S1_T2,1.0,2.0,2.0,427,0.04215456674473068,0.04253526151195352,-0.8923075541677449,-381.01532562962706,19,405,3,0.0,0.6660276296585629,-0.8505052285122812
POOL,POOLED_MAJOR,S1_T2,1.0,2.0,2.0,807,0.048327137546468404,0.06138823447375271,-0.829186773716833,-669.1537263894843,42,761,4,0.0,0.7781912732591577,-0.8071062771218338
CLOCK_MAJOR,00-04,S1_T2,1.0,2.0,2.0,109,0.009174311926605505,0.003245782899977985,-0.8480549744194863,-92.43799221172401,1,108,0,0.0,0.30101066971357915,-0.7702653504192654
CLOCK_OOS,00-04,S1_T2,1.0,2.0,2.0,55,0.0,0.0,-0.8768969603613246,-48.22933281987285,0,55,0,0.0,,-0.7321842042210829
CLOCK_MAJOR,04-08,S1_T2,1.0,2.0,2.0,128,0.03125,0.010979052738421686,-0.7888079520502773,-100.9674178624355,6,122,0,0.0,0.194535280456239,-0.7382050134096977
CLOCK_OOS,04-08,S1_T2,1.0,2.0,2.0,76,0.013157894736842105,0.010251607595821098,-0.8496133428950042,-64.57061406002032,2,74,0,0.0,0.6688089646264547,-0.7721658975569883
CLOCK_MAJOR,08-12,S1_T2,1.0,2.0,2.0,186,0.13978494623655913,0.15461078744365367,-0.8131321687082131,-151.24258337972765,26,158,2,0.0,0.8553619566586724,-0.9505151688657048
CLOCK_OOS,08-12,S1_T2,1.0,2.0,2.0,101,0.1485148514851485,0.13687190338465566,-0.9246724257891669,-93.39191500470585,14,86,1,0.0,0.6632462946906711,-1.1669245442868836
CLOCK_MAJOR,12-16,S1_T2,1.0,2.0,2.0,140,0.02857142857142857,0.030011290708409466,-0.763705188573858,-106.91872640034012,4,136,0,0.0,0.8937097117066944,-0.7356229938056071
CLOCK_OOS,12-16,S1_T2,1.0,2.0,2.0,73,0.0273972602739726,0.023382558521137617,-0.8284626621001302,-60.477774333309505,2,71,0,0.0,0.7239913181539115,-0.8075375594446671
CLOCK_MAJOR,16-20,S1_T2,1.0,2.0,2.0,146,0.0136986301369863,0.04133808134471928,-0.935935626514563,-136.6466014711262,2,143,1,0.0,2.9461420221094827,-0.899166375452126
CLOCK_OOS,16-20,S1_T2,1.0,2.0,2.0,67,0.0,0.0,-0.9557860096300417,-64.03766264521279,0,66,1,0.0,,-0.9192137866362539
CLOCK_MAJOR,20-00,S1_T2,1.0,2.0,2.0,98,0.02040816326530612,0.06343606008413291,-0.8259225006543959,-80.9404050641308,3,94,1,0.0,2.7411584943914775,-0.8234451860075852
CLOCK_OOS,20-00,S1_T2,1.0,2.0,2.0,55,0.0,0.0,-0.9146913957546491,-50.3080267665057,1,53,1,0.0,,-0.8533503611018997
PARTITION,external,S1_5_T1_5,1.5,1.5,1.0,250,0.076,0.0661141049746169,-1.2392310637329462,-309.80776593323657,19,231,0,0.0,0.8489981174789015,-1.219597791473841
PARTITION,development,S1_5_T1_5,1.5,1.5,1.0,380,0.08421052631578947,0.06260326892897712,-0.9329816240788052,-354.533017149946,45,329,6,0.0,0.4479907879854646,-0.9492000926528599
PARTITION,reference_validation,S1_5_T1_5,1.5,1.5,1.0,177,0.14124293785310735,0.07072369108214215,-0.7227673113565953,-127.92981411011738,36,138,3,0.0,0.21040716644531277,-0.7863005154051462
POOL,POOLED_OOS,S1_5_T1_5,1.5,1.5,1.0,427,0.10304449648711944,0.06746598976730236,-1.0251465574785807,-437.73758004335394,55,369,3,0.0,0.5692903255903412,-1.052098718156197
POOL,POOLED_MAJOR,S1_5_T1_5,1.5,1.5,1.0,807,0.09417596034696406,0.06529622302099071,-0.9817479519123914,-792.2705971932999,100,698,9,0.0,0.5003601742623016,-1.0046558500453147
CLOCK_MAJOR,00-04,S1_5_T1_5,1.5,1.5,1.0,109,0.045871559633027525,0.014279089970181392,-0.9909910234817538,-108.01802155951117,10,98,1,0.0,0.31434109522978093,-0.9498761475121074
CLOCK_OOS,00-04,S1_5_T1_5,1.5,1.5,1.0,55,0.03636363636363636,0.010864704416610041,-1.0413604127926737,-57.274822703597046,4,51,0,0.0,0.31455455182261594,-0.8982763063315886
CLOCK_MAJOR,04-08,S1_5_T1_5,1.5,1.5,1.0,128,0.0859375,0.022865192643234344,-0.8993056098095543,-115.11111805562295,18,109,1,0.0,0.1501420136572268,-0.8662350529185843
CLOCK_OOS,04-08,S1_5_T1_5,1.5,1.5,1.0,76,0.06578947368421052,0.01952722849237575,-1.0024056351045258,-76.18282826794396,8,68,0,0.0,0.29805615803721397,-0.9582488463355341
CLOCK_MAJOR,08-12,S1_5_T1_5,1.5,1.5,1.0,186,0.22580645161290322,0.1585836132419182,-0.9309981972699434,-173.16566469220948,46,136,4,5.0,0.6136137053785771,-1.207654957610163
CLOCK_OOS,08-12,S1_5_T1_5,1.5,1.5,1.0,101,0.26732673267326734,0.18857322439334087,-0.9755681319303542,-98.53238132496577,28,72,1,5.0,0.6329573505780214,-1.4868188231770052
CLOCK_MAJOR,12-16,S1_5_T1_5,1.5,1.5,1.0,140,0.04285714285714286,0.02862072838052705,-0.9187515604100611,-128.62521845740855,11,128,1,0.0,0.7956185619367042,-0.8961109971068535
CLOCK_OOS,12-16,S1_5_T1_5,1.5,1.5,1.0,73,0.0410958904109589,0.021553797163103582,-1.023110679818994,-74.68707962678656,5,68,0,0.0,0.6417228555775584,-1.0049205971518598
CLOCK_MAJOR,16-20,S1_5_T1_5,1.5,1.5,1.0,146,0.06164383561643835,0.056357994461001454,-1.1199738256024192,-163.5161785379532,10,135,1,0.0,0.8017275939644793,-1.1359990534669255
CLOCK_OOS,16-20,S1_5_T1_5,1.5,1.5,1.0,67,0.08955223880597014,0.05451851784119569,-1.0341250360819554,-69.28637741749101,7,59,1,0.0,0.5393855120405784,-1.1315278589899829
CLOCK_MAJOR,20-00,S1_5_T1_5,1.5,1.5,1.0,98,0.030612244897959183,0.04502217891619684,-1.059534651944842,-103.83439589059452,5,92,1,0.0,0.9835076203794929,-1.0329817718356324
CLOCK_OOS,20-00,S1_5_T1_5,1.5,1.5,1.0,55,0.01818181818181818,0.0156715305662015,-1.1231652855012657,-61.774090702569616,3,51,1,0.0,0.9835076203794929,-1.009497320378917
PARTITION,external,S1_5_T2,1.5,2.0,1.3333333333333333,250,0.072,0.08830801151517892,-1.2185405800445914,-304.63514501114787,18,232,0,0.0,1.1275992558023988,-1.221058719629938
PARTITION,development,S1_5_T2,1.5,2.0,1.3333333333333333,380,0.09473684210526316,0.08576765272646267,-0.9135598293213312,-347.1527351421058,41,331,8,0.0,0.40926929840108245,-0.9559951663603574
PARTITION,reference_validation,S1_5_T2,1.5,2.0,1.3333333333333333,177,0.15254237288135594,0.10162855218577849,-0.7137306511923807,-126.33032526105137,32,142,3,0.0,0.40233336369721995,-0.8007479968644519
POOL,POOLED_OOS,S1_5_T2,1.5,2.0,1.3333333333333333,427,0.1053864168618267,0.09225345345488223,-1.0092868156257593,-430.96547027219924,50,374,3,0.0,0.8069152101449445,-1.06656178878338
POOL,POOLED_MAJOR,S1_5_T2,1.5,2.0,1.3333333333333333,807,0.10037174721189591,0.08937125828392915,-0.9642109112940582,-778.118205414305,91,705,11,0.0,0.6632462946906711,-1.009013533493257
CLOCK_MAJOR,00-04,S1_5_T2,1.5,2.0,1.3333333333333333,109,0.06422018348623854,0.018904463522812057,-0.9945695069634516,-108.40807625901623,9,99,1,0.0,0.21881742524933046,-0.9582705505296545
CLOCK_OOS,00-04,S1_5_T2,1.5,2.0,1.3333333333333333,55,0.05454545454545454,0.020217453909251826,-1.029029574834455,-56.59662661589502,4,51,0,0.0,0.21881742524933046,-0.9162502656807561
CLOCK_MAJOR,04-08,S1_5_T2,1.5,2.0,1.3333333333333333,128,0.1015625,0.03734397194642472,-0.8902574860424479,-113.95295821343333,16,110,2,0.0,0.29024170317081477,-0.8851557073327421
CLOCK_OOS,04-08,S1_5_T2,1.5,2.0,1.3333333333333333,76,0.07894736842105263,0.034751675972655494,-0.9835076762141469,-74.74658339227517,8,68,0,0.0,0.43213211446300615,-0.9657404665295684
CLOCK_MAJOR,08-12,S1_5_T2,1.5,2.0,1.3333333333333333,186,0.22580645161290322,0.2215139654025635,-0.8765815091562831,-163.04416070306866,43,139,4,5.0,0.858122827416689,-1.2189879510012904
CLOCK_OOS,08-12,S1_5_T2,1.5,2.0,1.3333333333333333,101,0.24752475247524752,0.25004010735861254,-0.9302847639951697,-93.95876116351214,25,75,1,5.0,0.9772764674373174,-1.4868188231770052
CLOCK_MAJOR,12-16,S1_5_T2,1.5,2.0,1.3333333333333333,140,0.05,0.044330868997984864,-0.9019546971934799,-126.27365760708719,11,128,1,0.0,0.9889638074367445,-0.8980321393865105
CLOCK_OOS,12-16,S1_5_T2,1.5,2.0,1.3333333333333333,73,0.0547945205479452,0.03409367848072195,-1.0082989382553622,-73.60582249264144,5,68,0,0.0,0.5750442044762839,-1.0113063391670476
CLOCK_MAJOR,16-20,S1_5_T2,1.5,2.0,1.3333333333333333,146,0.06164383561643835,0.06097215538671008,-1.1264964755888065,-164.46848543596576,8,136,2,0.0,0.8069152101449445,-1.1417672358326594
CLOCK_OOS,16-20,S1_5_T2,1.5,2.0,1.3333333333333333,67,0.08955223880597014,0.06082267884923087,-1.0533811246712046,-70.57653535297071,6,60,1,0.0,0.6779472529903605,-1.1788206799543808
CLOCK_MAJOR,20-00,S1_5_T2,1.5,2.0,1.3333333333333333,98,0.030612244897959183,0.06361000805343679,-1.040519053017693,-101.97086719573392,4,93,1,0.0,1.4446768271726573,-1.0329817718356324
CLOCK_OOS,20-00,S1_5_T2,1.5,2.0,1.3333333333333333,55,0.01818181818181818,0.022958411526542103,-1.1178389319073592,-61.481141254904756,2,52,1,0.0,1.4446768271726573,-1.009497320378917
PARTITION,external,S2_T2,2.0,2.0,1.0,250,0.116,0.11014598667509233,-1.3926117330742778,-348.1529332685694,29,220,1,0.0,1.2623868155728464,-1.4529175459152905
PARTITION,development,S2_T2,2.0,2.0,1.0,380,0.2,0.1502338935723941,-0.8737075752811213,-332.0088786068261,84,280,16,5.0,0.4415755112995471,-1.0795078121982444
PARTITION,reference_validation,S2_T2,2.0,2.0,1.0,177,0.2033898305084746,0.12323397289277137,-0.759749609712386,-134.47568091909233,44,128,5,5.0,0.3229108257914601,-0.9148141256615241
POOL,POOLED_OOS,S2_T2,2.0,2.0,1.0,427,0.1522248243559719,0.11383182219699488,-1.1302777849828145,-482.6286141876618,73,348,6,0.0,0.8069152101449445,-1.2654266786956287
POOL,POOLED_MAJOR,S2_T2,2.0,2.0,1.0,807,0.17472118959107807,0.1290376950542969,-1.00946405550742,-814.6374927944878,157,628,22,5.0,0.5489792958357766,-1.1874901529032147
CLOCK_MAJOR,00-04,S2_T2,2.0,2.0,1.0,109,0.1559633027522936,0.07594788520211333,-1.0061365078184463,-109.66887935221065,20,88,1,0.0,0.4243557658869538,-1.1243559273498622
CLOCK_OOS,00-04,S2_T2,2.0,2.0,1.0,55,0.10909090909090909,0.048048372016098635,-1.138999471068499,-62.64497090876744,7,48,0,0.0,0.5253988442429846,-1.0483158984796308
CLOCK_MAJOR,04-08,S2_T2,2.0,2.0,1.0,128,0.1640625,0.05152466636496787,-0.9524358507343464,-121.91178889399634,27,95,6,0.0,0.29024170317081477,-0.9870453370067096
CLOCK_OOS,04-08,S2_T2,2.0,2.0,1.0,76,0.13157894736842105,0.04319443121401001,-1.1063255486998138,-84.08074170118584,14,61,1,0.0,0.31885062116258867,-1.177508227841353
CLOCK_MAJOR,08-12,S2_T2,2.0,2.0,1.0,186,0.3010752688172043,0.2520949256778985,-0.9313458180374982,-173.23032215497466,56,120,10,10.0,0.7809521440171743,-1.4632007960778866
CLOCK_OOS,08-12,S2_T2,2.0,2.0,1.0,101,0.31683168316831684,0.2716451857805161,-1.031761854996488,-104.20794735464528,31,67,3,10.0,0.983572077868438,-1.8309821538585656
CLOCK_MAJOR,12-16,S2_T2,2.0,2.0,1.0,140,0.10714285714285714,0.08782994362230517,-0.9375589504618278,-131.2582530646559,21,118,1,0.0,0.9089826438597143,-1.0539575860275912
CLOCK_OOS,12-16,S2_T2,2.0,2.0,1.0,73,0.0821917808219178,0.06463531101308462,-1.116112900774906,-81.47624175656814,8,65,0,0.0,0.9489732256482294,-1.1980464735155625
CLOCK_MAJOR,16-20,S2_T2,2.0,2.0,1.0,146,0.13013698630136986,0.11285192763962114,-1.1767781382294638,-171.80960818150172,18,125,3,0.0,0.8981128219633044,-1.3213704343032502
CLOCK_OOS,16-20,S2_T2,2.0,2.0,1.0,67,0.13432835820895522,0.1036737215834317,-1.1431962153595439,-76.59414642908943,9,57,1,0.0,0.8981128219633044,-1.34661720376889
CLOCK_MAJOR,20-00,S2_T2,2.0,2.0,1.0,98,0.1326530612244898,0.10234657215352735,-1.0893738892566178,-106.75864114714855,15,82,1,0.0,0.5089665506300795,-1.2341947119192582
CLOCK_OOS,20-00,S2_T2,2.0,2.0,1.0,55,0.03636363636363636,0.022352812383288616,-1.3386284734073746,-73.6245660374056,4,50,1,0.0,0.8416717872666639,-1.3067007222037992
