scope,name,variant,stop_multiple,target_multiple,nominal_rr,trades,wr,pf,expectancy,total_net,tp_n,stop_n,time_n,median_hold,median_win,median_loss
PARTITION,external,S1_T1,1.0,1.0,1.0,250,0.036,0.027987160565461747,-1.0289425701502788,-257.2356425375697,9,241,0,0.0,0.2949338441497793,-0.9656995361091186
PARTITION,development,S1_T1,1.0,1.0,1.0,380,0.05263157894736842,0.04394969502994024,-0.770528279967547,-292.80074638766786,32,347,1,0.0,0.5084778404442811,-0.7643413557870724
PARTITION,reference_validation,S1_T1,1.0,1.0,1.0,177,0.05084745762711865,0.026624797380989326,-0.677398746051209,-119.899578051064,20,155,2,0.0,0.32732391722584586,-0.6620984008114041
POOL,POOLED_OOS,S1_T1,1.0,1.0,1.0,427,0.04215456674473068,0.027554449026600134,-0.8832206571162382,-377.13522058863373,29,396,2,0.0,0.32140749707756433,-0.8347324787707979
POOL,POOLED_MAJOR,S1_T1,1.0,1.0,1.0,807,0.04708798017348203,0.034788781086947856,-0.830156092907437,-669.9359669763016,61,743,3,0.0,0.4169085704811234,-0.7990232367577813
CLOCK_MAJOR,00-04,S1_T1,1.0,1.0,1.0,109,0.0,0.0,-0.8473745641757224,-92.36382749515374,2,107,0,0.0,,-0.7686610677318884
CLOCK_OOS,00-04,S1_T1,1.0,1.0,1.0,55,0.0,0.0,-0.8768969603613246,-48.22933281987285,0,55,0,0.0,,-0.7321842042210829
CLOCK_MAJOR,04-08,S1_T1,1.0,1.0,1.0,128,0.0078125,0.0013073124736902473,-0.8021512188551332,-102.67535601345705,6,122,0,0.0,0.13440448231322732,-0.7371918047562929
CLOCK_OOS,04-08,S1_T1,1.0,1.0,1.0,76,0.013157894736842105,0.002054995983485579,-0.8588074260292897,-65.26936437822602,2,74,0,0.0,0.13440448231322732,-0.7721658975569883
CLOCK_MAJOR,08-12,S1_T1,1.0,1.0,1.0,186,0.12365591397849462,0.07849178903649265,-0.8455779693390257,-157.2775022970588,34,151,1,0.0,0.3218417890240953,-0.9166928130838417
CLOCK_OOS,08-12,S1_T1,1.0,1.0,1.0,101,0.12871287128712872,0.08474939360729197,-0.9202308307867171,-92.94331390945842,20,81,0,0.0,0.3154910769292828,-1.0896303867217496
CLOCK_MAJOR,12-16,S1_T1,1.0,1.0,1.0,140,0.02857142857142857,0.023451574921697818,-0.7483966660267405,-104.77553324374367,7,133,0,0.0,0.5399516106800368,-0.7282523655312647
CLOCK_OOS,12-16,S1_T1,1.0,1.0,1.0,73,0.0136986301369863,0.008399232429113725,-0.8438598034447043,-61.60176565146342,2,71,0,0.0,0.5217901847917314,-0.8032803981012242
CLOCK_MAJOR,16-20,S1_T1,1.0,1.0,1.0,146,0.04794520547945205,0.03854053982694748,-0.8946138025821297,-130.61361517699095,7,138,1,0.0,0.5600390497829709,-0.8906660356446383
CLOCK_OOS,16-20,S1_T1,1.0,1.0,1.0,67,0.029850746268656716,0.014648395209524896,-0.9049977294288384,-60.63484787173217,2,64,1,0.0,0.45070369337015476,-0.9192137866362539
