family,family_order,target_R,n,wr,pf,expectancy,net,wr_5bps,pf_5bps,expectancy_5bps,net_5bps,max_loss_streak,adequate_blocks,positive_blocks_5bps,min_adequate_block_pf_5bps,eligible,b1_n,b1_pf_5bps,b1_net_5bps,b2_n,b2_pf_5bps,b2_net_5bps,b3_n,b3_pf_5bps,b3_net_5bps,b4_n,b4_pf_5bps,b4_net_5bps,b5_n,b5_pf_5bps,b5_net_5bps,b6_n,b6_pf_5bps,b6_net_5bps
E0_RESTING_H,0,0.2,601,0.6056572379367721,1.3331776029770905,0.5075443278347989,305.03414102871415,0.6023294509151415,1.1587421318778244,0.2575443278347988,154.7841410287141,7,6,5,0.6644332180447485,False,85,1.7584939603427705,96.22728508503286,105,1.2600083057123344,37.53589679114726,111,1.349123804801516,54.02318390247485,94,1.0828733744997108,13.685913247591238,103,0.6644332180447485,-82.74582330715985,103,1.262487776297503,36.05768530962776
E0_RESTING_H,0,0.35,601,0.43427620632279534,1.2681795505090965,0.517100332873073,310.77730005671685,0.43094841930116473,1.129028086558546,0.2671003328730729,160.5273000567168,10,6,5,0.6632389618465894,False,85,1.3643101232073789,62.74602788450059,105,1.4868277493881685,83.2883122599509,111,1.152231108519468,35.111303985112365,94,1.0574162645480585,13.263151456459973,103,0.6632389618465894,-92.05884744581157,103,1.350887744964969,58.17735191650454
E0_RESTING_H,0,0.6,601,0.34608985024958405,1.3593262316783306,0.7999545276075777,480.7726710921542,0.33943427620632277,1.230049375206235,0.5499545276075776,330.5226710921541,17,6,5,0.7357383311842826,False,85,1.3927555819356934,90.71114380129228,105,1.6967073983548957,141.17602474652335,111,1.1470666488485306,38.753318934827796,94,1.338632801832042,81.79091021414936,103,0.7357383311842826,-82.48047277705678,103,1.3256637792636548,60.57174617241804
E1_H1_TOUCH_NEXT_OPEN,1,0.2,600,0.535,0.9596189204587308,-0.07706322536784067,-46.23793522070441,0.5116666666666667,0.8387184387821114,-0.32706322536784077,-196.23793522070446,9,6,1,0.5648423898636844,False,85,1.1187743907757817,20.08833482180142,105,0.7520987835644427,-52.04022668071598,111,0.9144213567889077,-18.322616623874588,94,0.9361326859956902,-11.11535940505236,103,0.5648423898636844,-123.8289811068052,102,0.9332118534019147,-11.019086226057794
E1_H1_TOUCH_NEXT_OPEN,1,0.35,600,0.445,1.0221019669721512,0.050326817807535326,30.196090684521195,0.4216666666666667,0.917468086922382,-0.1996731821924648,-119.80390931547888,12,6,2,0.5825314747220524,False,85,0.9817409600717576,-4.1704718376571215,105,1.0250398852541407,5.540235786985121,111,0.9695824587462906,-8.389350532596367,94,0.9181231343112398,-19.32621749144918,103,0.5825314747220524,-127.93706037022017,102,1.1877537449343722,34.47895512945882
E1_H1_TOUCH_NEXT_OPEN,1,0.6,600,0.3883333333333333,1.1671210876270997,0.42623493681706853,255.7409620902411,0.36666666666666664,1.0651123690270392,0.1762349368170683,105.74096209024098,17,6,5,0.7333068361465499,False,85,1.1533550616343253,42.74206731592942,105,1.2327056929444309,59.07936721776233,111,1.0022081171259352,0.6872432081430269,94,1.2430386802135844,60.74796501402799,103,0.7333068361465499,-86.01157673524027,102,1.1372072159124962,28.4958960696185
E2_H1_BREAK_NEXT_OPEN,2,0.2,408,0.3872549019607843,0.43342627669428174,-0.9120679364547379,-372.1237180735331,0.35784313725490197,0.3421902223406662,-1.162067936454738,-474.1237180735331,13,6,0,0.2575360111414798,False,65,0.4436860324117982,-73.8315268127955,72,0.2951059886149552,-117.0870605866952,73,0.2935861336310492,-84.9229957874534,57,0.34333130548439644,-50.19857607574504,73,0.2575360111414798,-104.79559138812228,68,0.4854792954925376,-43.287967422721714
E2_H1_BREAK_NEXT_OPEN,2,0.35,408,0.3161764705882353,0.6095619106928625,-0.721685519343515,-294.4476918921541,0.30637254901960786,0.5192929131965403,-0.971685519343515,-396.4476918921541,10,6,0,0.29432400267995856,False,65,0.43461773756033023,-92.31585038283355,72,0.6131847517020277,-64.95332076519644,73,0.508337694839577,-72.87486634497111,57,0.7612270381049246,-20.89891151831049,73,0.29432400267995856,-113.95054243067823,68,0.6733537004154129,-31.45420045016433
E2_H1_BREAK_NEXT_OPEN,2,0.6,408,0.25980392156862747,0.8321094313438134,-0.35326243629583365,-144.13107400870012,0.2549019607843137,0.7365997959488503,-0.6032624362958338,-246.13107400870015,14,6,1,0.4891230079756214,False,65,0.766875063321716,-41.807202935522774,72,0.9277698142521406,-13.350242800054367,73,0.5368702803309193,-86.06653599789828,57,1.1904035760585139,19.314177560691515,73,0.4891230079756214,-86.02686746968436,68,0.6667422383175033,-38.194402366231884
E3_H1_RETEST_RECLAIM_NEXT_OPEN,3,0.2,336,0.43154761904761907,0.8587065629432328,-0.1630055288633933,-54.769857698100154,0.4017857142857143,0.6820700909512651,-0.41300552886339337,-138.76985769810017,8,6,0,0.38593030612867907,False,53,0.9387180351469255,-4.880989709478169,57,0.7186322197094693,-26.3645748638924,63,0.38593030612867907,-55.405942714855115,45,0.7994525165408163,-8.651898230347811,63,0.6402620968492376,-27.85625282112965,55,0.7016751099954786,-15.610199358397045
