partition,mechanism,lead_min,loss_n,eligible_n,matched_n,eligible_rate,match_rate,unique_controls,max_control_reuse,mean_control_reuse
development,M2_FAILED_BREAK,15,262,93,89,0.3549618320610687,0.956989247311828,55,7,1.6181818181818182
development,M2_FAILED_BREAK,10,262,147,143,0.5610687022900763,0.9727891156462585,69,7,2.072463768115942
development,M2_FAILED_BREAK,5,262,262,258,1.0,0.9847328244274809,95,10,2.7157894736842105
development,M0_REFERENCE_INVALIDATION,15,37,35,35,0.9459459459459459,1.0,25,6,1.4
development,M0_REFERENCE_INVALIDATION,10,37,37,37,1.0,1.0,27,6,1.3703703703703705
development,M0_REFERENCE_INVALIDATION,5,37,37,37,1.0,1.0,27,6,1.3703703703703705
external,M2_FAILED_BREAK,15,137,61,60,0.44525547445255476,0.9836065573770492,34,6,1.7647058823529411
external,M2_FAILED_BREAK,10,137,86,85,0.6277372262773723,0.9883720930232558,41,6,2.073170731707317
external,M2_FAILED_BREAK,5,137,137,136,1.0,0.9927007299270073,59,8,2.305084745762712
external,M0_REFERENCE_INVALIDATION,15,13,13,13,1.0,1.0,8,3,1.625
external,M0_REFERENCE_INVALIDATION,10,13,13,13,1.0,1.0,8,3,1.625
external,M0_REFERENCE_INVALIDATION,5,13,13,13,1.0,1.0,8,3,1.625
reference_validation,M2_FAILED_BREAK,15,140,43,43,0.30714285714285716,1.0,24,4,1.7916666666666667
reference_validation,M2_FAILED_BREAK,10,140,72,72,0.5142857142857142,1.0,37,7,1.945945945945946
reference_validation,M2_FAILED_BREAK,5,140,140,140,1.0,1.0,57,10,2.456140350877193
reference_validation,M0_REFERENCE_INVALIDATION,15,26,26,26,1.0,1.0,20,3,1.3
reference_validation,M0_REFERENCE_INVALIDATION,10,26,26,26,1.0,1.0,19,3,1.368421052631579
reference_validation,M0_REFERENCE_INVALIDATION,5,26,26,26,1.0,1.0,19,3,1.368421052631579
