signal_ts,friday_wib,entry_ts,signal_ret,body_ratio,upper_ratio,lower_ratio,close_pos,range_open,prior1h_ret,taker_imbalance,taker_delta_vs_prior3,rel_quote_volume_24h,rel_range_prior12,cont_pnl,cont_win,cont_reason,rev_pnl,rev_win,rev_reason,period,cont_leaf,rev_leaf
2023-12-07 17:00:00+00:00,2023-12-08,2023-12-07 17:15:00+00:00,-0.0016540496763965962,0.45992366412214314,0.04071246819339235,0.4993638676844645,0.4993638676844645,0.003596356972746028,0.0014387796948780451,-0.12470239079455381,-0.08563045030296368,1.4970246060086378,0.8816902913983138,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,3,3
2023-12-07 17:15:00+00:00,2023-12-08,2023-12-07 17:30:00+00:00,-0.0006530900324711597,0.21558245083207736,0.6240544629349608,0.16036308623296186,0.16036308623296186,0.0030294211330767666,-0.0008128368693645083,-0.16588415025382952,-0.11061984052036677,1.1958179472950061,0.7426991318804461,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,3,3
2023-12-07 17:30:00+00:00,2023-12-08,2023-12-07 17:45:00+00:00,-0.0054436806068304255,0.6738575078058252,0.000283848992352597,0.32585864320182223,0.32585864320182223,0.00807838533187197,-0.0015522688767801718,-0.1459356444000801,-0.021233253605526303,4.120922457518012,2.050160939576184,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,6,5
2023-12-07 17:45:00+00:00,2023-12-08,2023-12-07 18:00:00+00:00,0.001754559895971619,0.364638236703435,0.047436511739311536,0.5879252515572535,0.9525634882606885,0.004811782526796743,-0.007739470613804422,0.05874046071925387,0.20467610511933398,2.456373940145116,1.128779520486711,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,3,5
2023-12-07 18:00:00+00:00,2023-12-08,2023-12-07 18:15:00+00:00,2.7618714440791337e-05,0.01072386058978688,0.16711349419122487,0.8221626452189883,0.8328865058087751,0.0025754451216142716,-0.004349360428611226,-0.07006930767447206,0.07586633672560805,1.3016651956843142,0.5985110635015769,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,3,3
2023-12-07 18:15:00+00:00,2023-12-08,2023-12-07 18:30:00+00:00,0.0005684708135116345,0.246261216350911,0.023928215353952,0.729810568295137,0.976071784646048,0.002308405773085851,-0.0036757455824554253,-0.008435360548836535,0.061633947125635524,1.352982333476314,0.5858353067166839,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,2,3
2023-12-07 18:30:00+00:00,2023-12-08,2023-12-07 18:45:00+00:00,-0.0036044034907738443,0.8652678078409627,0.058531198233012866,0.07620099392602442,0.07620099392602442,0.004165650747792931,0.0023470931090452396,-0.1875016618908415,-0.17906630134200496,1.2965814504549085,1.1283338412758972,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,3,3
2023-12-07 18:45:00+00:00,2023-12-08,2023-12-07 19:00:00+00:00,0.00021699986148937533,0.05809641532757284,0.6279357231149364,0.31396786155749073,0.37206427688506355,0.0037351678286163467,-0.00301043987405869,0.0675514056418427,0.13762071331631476,1.3577795234404713,1.0117305840163853,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,3,3
2023-12-07 19:00:00+00:00,2023-12-08,2023-12-07 19:15:00+00:00,-0.001594833754160141,0.4650067294750957,0.20323014804843462,0.33176312247646966,0.33176312247646966,0.003429700374358917,-0.00282163406214031,-0.09395500461040729,-0.08551964406157075,1.3830181457162922,0.9346345237900613,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,3,3
2023-12-07 19:15:00+00:00,2023-12-08,2023-12-07 19:30:00+00:00,-0.0022585261094403286,0.6587997302764831,0.269723533378282,0.07147673634523491,0.07147673634523491,0.0034282438283520828,-0.0049753189218531,-0.1646992811485356,-0.07074427653812831,1.3650922239169478,0.9522482420197903,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,3,3
2023-12-07 19:30:00+00:00,2023-12-08,2023-12-07 19:45:00+00:00,-0.0014689323132672794,0.3677494199536016,0.5991879350348146,0.03306264501158377,0.03306264501158377,0.0039943837666761225,-0.003631293299075078,-0.04214027989672453,0.05181472471368276,1.2972690708749912,1.1370199727510024,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,3,3
2023-12-07 19:45:00+00:00,2023-12-08,2023-12-07 20:00:00+00:00,0.0032925496492819395,0.7971910112359224,0.19550561797754443,0.007303370786533204,0.8044943820224556,0.004130189130177528,-0.00531072716110359,0.2443391235477803,0.3382941281581876,1.1795303285998668,1.175677602995755,-7.249999999999999,0,SL,-7.249999999999999,0,SL,discovery,3,3
