scope,sessions,k1_opp0,k1_rate,causal_leave,leave_rate,h2,opposite,ambiguous,no_h2,h2_rate,resolved_h2_share,median_min_leave_to_h2
POOLED_MAJOR,1688,351,0.2079383886255924,205,0.584045584045584,156,19,0,30,0.7609756097560976,0.8914285714285715,15.0
external,495,95,0.1919191919191919,63,0.6631578947368421,45,2,0,16,0.7142857142857143,0.9574468085106383,10.0
development,782,165,0.21099744245524296,97,0.5878787878787879,76,12,0,9,0.7835051546391752,0.8636363636363636,15.0
reference_validation,411,91,0.22141119221411193,45,0.4945054945054945,35,5,0,5,0.7777777777777778,0.875,15.0
august,17,5,0.29411764705882354,3,0.6,3,0,0,0,1.0,1.0,15.0
DST_MISMATCH_5H30,120,26,0.21666666666666667,14,0.5384615384615384,9,1,0,4,0.6428571428571429,0.9,10.0
NORMAL_6H30,1568,325,0.2072704081632653,191,0.5876923076923077,147,18,0,26,0.7696335078534031,0.8909090909090909,15.0
