hour_wib,lookback_min,hold_min,character_rule,trades,net_wins,net_losses,win_rate,gross_pnl,fees,net_pnl,expectancy,net_per_100,pf,max_dd,max_loss_streak,max_win_streak,evaluable_anchors,supportive_anchors,y2022_trades,y2022_wr,y2022_net,y2022_exp,y2022_pf,y2023_trades,y2023_wr,y2023_net,y2023_exp,y2023_pf,2022H1_trades,2022H1_wr,2022H1_exp,2022H1_pf,2022H2_trades,2022H2_wr,2022H2_exp,2022H2_pf,2023H1_trades,2023H1_wr,2023H1_exp,2023H1_pf,2023H2_trades,2023H2_wr,2023H2_exp,2023H2_pf,positive_halves,min_half_exp,temporal_gate,strict_gate,plateau_supportive,strict_temporal
3,60,120,ALL,2078,793,1285,0.3816169393647738,-292.1092122026614,1558.5,-1850.6092122026614,-0.8905722869117716,-89.05722869117716,0.5976099359799286,1961.2392225714757,33,21,4,0,1039,0.40423484119345526,-1043.5641727740997,-1.0043928515631373,0.6300035755725042,1039,0.3589990375360924,-807.0450394285617,-0.7767517222604059,0.5462398943941158,516,0.437984496124031,-0.9001251895890268,0.6781725900276168,523,0.37093690248565964,-1.107264961656141,0.5795280129216211,520,0.34615384615384615,-0.937228174828424,0.5196501039706807,519,0.371868978805395,-0.6159660665082489,0.5815519721896343,0,-1.107264961656141,False,False,False,False
3,60,120,DRIVE_UP,1143,402,741,0.35170603674540685,-115.47545025927577,857.25,-972.7254502592758,-0.8510283904280629,-85.1028390428063,0.5955204789078402,1076.5907153394942,24,10,4,0,573,0.37347294938917974,-623.2275475572762,-1.087657151059819,0.5806585024580416,570,0.3298245614035088,-349.4979027019997,-0.6131542152666661,0.6195637048813218,262,0.40458015267175573,-0.8973854173925773,0.6389712130366124,311,0.34726688102893893,-1.247950380065662,0.5351773719054481,278,0.302158273381295,-0.812519162446936,0.5596260110074306,292,0.3561643835616438,-0.42334786144435416,0.6953342191397892,0,-1.247950380065662,False,False,False,False
3,60,120,DRIVE_DOWN,935,391,544,0.41818181818181815,-176.63376194338565,701.25,-877.8837619433857,-0.9389131143779527,-93.89131143779527,0.5999000582283439,921.8675565481104,19,15,4,0,466,0.44206008583690987,-420.3366252168236,-0.9020099253579906,0.6849678221229734,469,0.39445628997867804,-457.547136726562,-0.9755802488839275,0.46790378796399384,254,0.47244094488188976,-0.90295125382316,0.7104076747156178,212,0.4056603773584906,-0.9008821072912311,0.6478149245660162,242,0.39669421487603307,-1.0804889411179017,0.47877645519358486,227,0.3920704845814978,-0.8637392642115849,0.45267791449495415,0,-1.0804889411179017,False,False,False,False
3,60,120,STR_B0_20,422,157,265,0.37203791469194314,241.12845839192278,316.5,-75.37154160807721,-0.17860554883430618,-17.86055488343062,0.881097510034733,216.68408021471353,19,9,4,0,214,0.411214953271028,22.474211032141923,0.10501967772028936,1.0573459146460358,208,0.3317307692307692,-97.84575264021915,-0.4704122723087459,0.5956581016151606,98,0.47959183673469385,0.9339096685998985,1.6970301214102805,116,0.35344827586206895,-0.5952494525055871,0.7350402593550266,113,0.35398230088495575,-0.6039578651103218,0.4964763439253387,95,0.30526315789473685,-0.31156330402897675,0.7219449024600355,1,-0.6039578651103218,False,False,False,False
3,60,120,STR_B20_40,439,156,283,0.3553530751708428,-18.834308934928735,329.25,-348.0843089349287,-0.7929027538381064,-79.29027538381064,0.5617236454192047,353.957493813648,17,10,4,0,234,0.39316239316239315,-135.55598527453114,-0.5792990823697912,0.7088236923716418,205,0.3121951219512195,-212.52832366039758,-1.0367235300507198,0.35336051185082723,105,0.4666666666666667,-0.3436829400558449,0.8404229447012036,129,0.3333333333333333,-0.7710796633230033,0.5845169845110612,98,0.25510204081632654,-1.2548631084744621,0.3075962935797322,107,0.3644859813084112,-0.836932140466358,0.4071684528852557,0,-1.2548631084744621,False,False,False,False
3,60,120,STR_B40_60,391,148,243,0.37851662404092073,-31.265938106048647,293.25,-324.5159381060487,-0.8299640360768509,-82.99640360768508,0.5882945518213651,403.2785174386623,22,10,4,0,200,0.415,-139.87188705402036,-0.6993594352701018,0.6778006382619528,191,0.3403141361256545,-184.6440510520283,-0.9667227803771115,0.478565134315548,96,0.46875,-0.5496094538439746,0.7554270647756922,104,0.36538461538461536,-0.8375901873557575,0.6011160111948305,97,0.31958762886597936,-0.9589462881465226,0.5354255082425363,94,0.3617021276595745,-0.9747474585299537,0.4045840160500768,0,-0.9747474585299537,False,False,False,False
3,60,120,STR_B60_80,386,152,234,0.39378238341968913,-91.9548363054528,289.5,-381.4548363054528,-0.9882249645218983,-98.82249645218984,0.552557346650101,407.9866273310521,10,7,4,0,179,0.4245810055865922,-171.49639699617637,-0.9580804301462367,0.650389902532034,207,0.3671497584541063,-209.9584393092764,-1.0142919773394996,0.4199820804451811,92,0.43478260869565216,-1.1826531920656083,0.6010044877891206,87,0.41379310344827586,-0.7206011876567867,0.7122109043291862,97,0.3711340206185567,-1.1648790664379394,0.4162212268212857,110,0.36363636363636365,-0.8815015442254208,0.4243039158105589,0,-1.1826531920656083,False,False,False,False
3,60,120,STR_B80_100,440,180,260,0.4090909090909091,-391.18258724815405,330.0,-721.1825872481542,-1.6390513346548958,-163.90513346548957,0.5286978224073314,830.1967579199621,13,11,4,0,212,0.38207547169811323,-619.114114481514,-2.920349596610915,0.4037615934733632,228,0.4342105263157895,-102.06847276664023,-0.4476687402045624,0.7924698490238774,125,0.36,-2.8666754832464543,0.40011423978306937,87,0.41379310344827586,-2.9974675755828404,0.4087016372990374,115,0.41739130434782606,-0.7836849402445564,0.7070736722418863,113,0.45132743362831856,-0.10570535078332954,0.9351387443643125,0,-2.9974675755828404,False,False,False,False
3,60,120,EFF_LOW,692,259,433,0.37427745664739887,99.63017686782887,519.0,-419.3698231321712,-0.6060257559713457,-60.60257559713457,0.687878587294394,446.5529054484041,23,8,4,0,355,0.4225352112676056,-162.98831626531313,-0.45912201764876936,0.8056123364918787,337,0.32344213649851633,-256.381506866858,-0.7607759847681246,0.49245527459267885,189,0.43915343915343913,-0.361728997563382,0.8545771767237167,166,0.4036144578313253,-0.5700092513604454,0.7431180154374679,167,0.31736526946107785,-0.886560530283304,0.4281799420978661,170,0.32941176470588235,-0.6372111665267424,0.5600456862645463,0,-0.886560530283304,False,False,False,False
3,60,120,EFF_MID,683,261,422,0.3821376281112738,44.535455225143586,512.25,-467.7145447748564,-0.6847943554536697,-68.47943554536697,0.651606835168979,553.2140140080965,23,13,4,0,331,0.3957703927492447,-142.29764075397895,-0.4299022379274289,0.8019391056347169,352,0.3693181818181818,-325.4169040208775,-0.924479840968402,0.47852913206478237,152,0.4934210526315789,-0.10282298399636706,0.9519361591896068,179,0.3128491620111732,-0.7076455150085538,0.6779179475702054,178,0.3258426966292135,-1.2715087969917829,0.4035643067091885,174,0.41379310344827586,-0.5694732077950584,0.594843537543836,0,-1.2715087969917829,False,False,False,False
3,60,120,EFF_HIGH,703,273,430,0.3883357041251778,-436.274844295634,527.25,-963.524844295634,-1.37059010568369,-137.059010568369,0.49631236565676284,1041.1625778271748,14,8,4,0,353,0.3937677053824363,-738.2782157548078,-2.091439704687841,0.41570949956122377,350,0.38285714285714284,-225.2466285408262,-0.643561795830932,0.6531437406851015,175,0.38857142857142857,-2.1741069926914913,0.4127775384656377,178,0.398876404494382,-2.0101656855831282,0.418795186418709,175,0.3942857142857143,-0.6455684370796079,0.6996976944552423,175,0.37142857142857144,-0.6415551545822563,0.5890360869298414,0,-2.1741069926914913,False,False,False,False
3,60,120,RV_LOW,726,247,479,0.3402203856749311,-106.73754081256278,544.5,-651.2375408125628,-0.8970214060779101,-89.70214060779101,0.4770870437656022,651.2375408125637,25,16,4,0,398,0.38190954773869346,-325.5889404797408,-0.8180626645219619,0.5898634341619086,328,0.2896341463414634,-325.64860033282196,-0.9928310985756768,0.2788179404071517,143,0.5034965034965035,-0.48440330077644955,0.7450275918064716,255,0.3137254901960784,-1.0051736018380726,0.5091359707393721,167,0.2754491017964072,-1.0311435689063229,0.2792162429750628,161,0.30434782608695654,-0.9530908343196649,0.2783704354274959,0,-1.0311435689063229,False,False,False,False
3,60,120,RV_MID,645,245,400,0.3798449612403101,18.367615747578547,483.75,-465.3823842524215,-0.7215230763603434,-72.15230763603434,0.6455206887709306,556.2505196046839,20,13,4,0,297,0.4006734006734007,-220.81488703694566,-0.7434844681378642,0.6946682681347,348,0.3620689655172414,-244.5674972154758,-0.7027801644122869,0.5852434977992502,154,0.4090909090909091,-0.2532406361556558,0.8776047205621638,143,0.3916083916083916,-1.2714393641187043,0.5505888949685918,172,0.3372093023255814,-0.673823303437092,0.6153027305285156,176,0.38636363636363635,-0.7310789149107726,0.5538424157139997,0,-1.2714393641187043,False,False,False,False
3,60,120,RV_HIGH,707,301,406,0.42574257425742573,-203.7392871376772,530.25,-733.9892871376771,-1.0381743806756396,-103.81743806756396,0.6403384541340809,836.5478343674982,14,15,4,0,344,0.4331395348837209,-497.1603452574133,-1.4452335617948062,0.618572228155085,363,0.418732782369146,-236.82894188026384,-0.6524213274938397,0.6788143438300179,219,0.4155251141552511,-1.6264651499951357,0.5823723488228123,125,0.464,-1.1277158192678294,0.6871046627081776,181,0.4198895027624309,-1.1008843464764897,0.5799863724299054,182,0.4175824175824176,-0.20642239103307256,0.857122721337007,0,-1.6264651499951357,False,False,False,False
3,60,120,RANGE_LOW,722,254,468,0.3518005540166205,80.46904284867597,541.5,-461.03095715132406,-0.6385470320655457,-63.854703206554575,0.5923859878751206,476.5720785032159,26,11,4,0,395,0.3721518987341772,-260.45469369111424,-0.6593789713699095,0.6435073683908041,327,0.327217125382263,-200.57626346020976,-0.6133830686856567,0.49911602481937456,143,0.43356643356643354,-0.4274531576832333,0.7412447892249152,252,0.3373015873015873,-0.7909876672317933,0.5968047182281637,170,0.29411764705882354,-0.7351695142003875,0.4434937509505568,157,0.3630573248407643,-0.4815123951983687,0.5701442161037583,0,-0.7909876672317933,False,False,False,False
3,60,120,RANGE_MID,658,249,409,0.378419452887538,15.79017531711392,493.5,-477.70982468288605,-0.726002773074295,-72.6002773074295,0.6310468867120882,612.9181441394607,17,13,4,0,307,0.46579804560260585,-24.648510008730064,-0.08028830621736177,0.9593296545696002,351,0.301994301994302,-453.06131467415594,-1.2907729762796465,0.3421643115407057,163,0.5153374233128835,0.17612346823987812,1.091459710017686,144,0.4097222222222222,-0.3705321898043767,0.8173767801249616,175,0.3142857142857143,-1.3287243032610367,0.3811182911925048,176,0.2897727272727273,-1.2530372818379236,0.29540362751856414,1,-1.3287243032610367,False,False,False,False
3,60,120,RANGE_HIGH,698,290,408,0.4154727793696275,-388.3684303684514,523.5,-911.8684303684513,-1.3064017627055176,-130.64017627055176,0.5804075395487045,1035.5963098909729,18,11,4,0,337,0.3857566765578635,-758.4609690742554,-2.250626020991856,0.4888428049418614,361,0.44321329639889195,-153.4074612941959,-0.4249514163274125,0.7774808732638716,210,0.38095238095238093,-2.057366293344456,0.5162345616188043,127,0.3937007874015748,-2.5701893501725963,0.4474300229389127,175,0.42857142857142855,-0.742017602434475,0.6865666919313248,186,0.45698924731182794,-0.12663645628044498,0.9143850449943418,0,-2.5701893501725963,False,False,False,False
3,60,120,EXT_LOW,694,259,435,0.37319884726224783,-23.532261425208333,520.5,-544.0322614252084,-0.783908157673211,-78.3908157673211,0.6123177143545496,582.8093573776575,22,9,4,0,355,0.4140845070422535,-229.39564011140425,-0.6461849017222655,0.7361729390985133,339,0.3303834808259587,-314.6366213138041,-0.9281316262944074,0.4105738880474888,177,0.4519774011299435,-0.6243401549151798,0.7622249236322147,178,0.37640449438202245,-0.6679069252326822,0.7062571570103862,176,0.30113636363636365,-1.1794429032183515,0.33309348754989304,163,0.3619631901840491,-0.6567771186955473,0.5189433856136488,0,-1.1794429032183515,False,False,False,False
3,60,120,EXT_MID,681,252,429,0.3700440528634361,-92.10254729496911,510.75,-602.8525472949691,-0.8852460312701456,-88.52460312701456,0.5881664218961373,610.1920242328518,13,13,4,0,347,0.3804034582132565,-321.31054601718847,-0.9259669914040014,0.626974109775911,334,0.3592814371257485,-281.5420012777806,-0.8429401235861695,0.5326817065839105,178,0.4157303370786517,-1.0634881014556885,0.5979479231269242,169,0.3431952662721893,-0.7811222719412776,0.6619694732027631,163,0.3374233128834356,-1.0014964060895606,0.5372110569954338,171,0.38011695906432746,-0.6918016788607146,0.5262839110056567,0,-1.0634881014556885,False,False,False,False
3,60,120,EXT_HIGH,703,282,421,0.4011379800853485,-176.47440348248404,527.25,-703.724403482484,-1.00103044592103,-100.103044592103,0.5936746112466467,803.6560375806899,35,9,4,0,337,0.41839762611275966,-492.857986645507,-1.4624866072566973,0.5476773256023681,366,0.38524590163934425,-210.866416836977,-0.5761377509207022,0.671704814661639,161,0.4472049689440994,-1.0227050208002393,0.67562854122825,176,0.39204545454545453,-1.864786808503798,0.4360800317403886,181,0.39779005524861877,-0.643827545589791,0.6676100191396889,185,0.372972972972973,-0.5099115193795937,0.6766260139449743,0,-1.864786808503798,False,False,False,False
3,60,120,EFF_LOW__RV_LOW,241,73,168,0.3029045643153527,5.70190533862589,180.75,-175.04809466137408,-0.7263406417484402,-72.63406417484401,0.5519225378158745,175.04809466137417,19,8,4,0,135,0.37037037037037035,-84.98614149088587,-0.629526974006562,0.6736254400862949,106,0.2169811320754717,-90.06195317048822,-0.8496410676461154,0.30865322542131274,45,0.4444444444444444,-0.4708793085777413,0.7144408555637788,90,0.3333333333333333,-0.7088508067209722,0.6573590104577677,62,0.20967741935483872,-0.9504212081603935,0.25061937206631296,44,0.22727272727272727,-0.7076326878305416,0.3970271158023304,0,-0.9504212081603935,False,False,False,False
3,60,120,EFF_LOW__RV_MID,232,91,141,0.3922413793103448,94.8715057643006,174.0,-79.12849423569938,-0.3410710958435318,-34.10710958435318,0.799205784202649,127.75369223880206,9,6,4,0,115,0.45217391304347826,-7.053474339486324,-0.06133455947379412,0.9671986583369915,117,0.3333333333333333,-72.07501989621306,-0.6160258110787441,0.5974393741316434,68,0.4264705882352941,-0.15273557795428266,0.9244725896308832,47,0.48936170212765956,0.07090521194478491,1.0429878733393778,57,0.2982456140350877,-0.7540434606374969,0.49885856694717556,60,0.36666666666666664,-0.48490904399792906,0.6880819543219333,1,-0.7540434606374969,False,False,False,False
3,60,120,EFF_LOW__RV_HIGH,219,95,124,0.4337899543378995,-0.9432342350976102,164.25,-165.1932342350976,-0.7543070056397151,-75.43070056397151,0.7044150145935218,209.85119132700024,9,9,4,0,105,0.45714285714285713,-70.94870043494096,-0.6757019089041996,0.8045704707710444,114,0.41228070175438597,-94.24453380015666,-0.8267064368434794,0.5187406947124132,76,0.4473684210526316,-0.48409463621828425,0.8576231460848045,29,0.4827586206896552,-1.1778451062879773,0.6735484389837745,48,0.4791666666666667,-0.9614378415631254,0.5117625982278169,66,0.36363636363636365,-0.7287199606837368,0.5252513915370506,0,-1.1778451062879773,False,False,False,False
3,60,120,EFF_MID__RV_LOW,251,82,169,0.32669322709163345,-79.01987184436965,188.25,-267.2698718443696,-1.0648202065512733,-106.48202065512733,0.40794786232415947,269.11320944731403,17,8,4,0,139,0.302158273381295,-168.95361893190383,-1.215493661380603,0.439811879687702,112,0.35714285714285715,-98.31625291246579,-0.8778236867184445,0.34380608091385917,44,0.5,-0.47968764089313787,0.7330541462436443,95,0.21052631578947367,-1.5562880287642713,0.33562464100106915,62,0.3387096774193548,-1.116206433318669,0.32527931915956565,50,0.38,-0.5822290809341664,0.38401461289574335,0,-1.5562880287642713,False,False,False,False
3,60,120,EFF_MID__RV_MID,210,81,129,0.38571428571428573,77.18010603416428,157.5,-80.31989396583573,-0.3824756855515987,-38.24756855515987,0.7982109905857285,184.32826202672777,13,7,4,0,99,0.43434343434343436,14.978608437440547,0.1512990751256621,1.083355445022536,111,0.34234234234234234,-95.29850240327626,-0.8585450666961825,0.5635383765936344,50,0.52,0.9033689847335338,1.650997094512297,49,0.3469387755102041,-0.6161191999844111,0.7263234777343609,57,0.2982456140350877,-0.7819016689639454,0.5987779682229442,54,0.3888888888888889,-0.9394464309690997,0.5270438088390234,1,-0.9394464309690997,False,False,False,False
