freeze_rank,candidate_id,partition,year,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,2021,6,0.16666666666666666,-102.56682762223575,-17.094471270372626,0.30626981859803354,147.84829948577038,5,1
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,2025,132,0.5075757575757576,-102.41723230378906,-0.7758881235135535,0.88405400350636,392.8004562037412,11,15
1,DRIVE_UP__STR_B80_100|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,2026,64,0.5625,261.94905037225095,4.092953912066421,1.932597835106377,128.4588741949365,12,10
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,external,2021,3,0.0,-76.7456068666644,-25.5818689555548,0.0,76.7456068666644,3,0
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,reference_validation,2025,111,0.43243243243243246,-200.82710368059983,-1.8092531863117103,0.743440774380493,481.5372875556585,20,9
2,EFF_HIGH__RV_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB30|H960,reference_validation,2026,68,0.5,97.85348022450479,1.4390217680074233,1.2640368006829616,226.6334369595201,17,12
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,external,2021,13,0.07692307692307693,-166.99148005411854,-12.845498465701427,0.21331720058757475,212.2729519176532,12,1
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,2025,132,0.5378787878787878,181.0199916308418,1.3713635729609226,1.2381597562746811,280.7601238694711,8,19
3,RV_MID__RANGE_HIGH|RANGE_72H_LOW|BROAD_NORMAL|LB60|H720,reference_validation,2026,42,0.47619047619047616,-30.978047075086103,-0.7375725494068119,0.859397941520795,136.5200316018335,8,8
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,external,2020,17,0.4117647058823529,-17.590602462140666,-1.0347413213023922,0.8841741889941228,103.85067129130266,3,4
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,external,2021,128,0.546875,1123.0819812600294,8.77407797859398,2.5793078088143395,200.39209302642882,7,10
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,reference_validation,2025,49,0.42857142857142855,-93.16524008570109,-1.9013314303204303,0.6946374973207646,131.2916568281623,7,5
4,EFF_HIGH__EXT_LOW|RANGE_RATIO_24_72_HIGH|BROAD_ACTIVE|LB120|H240,reference_validation,2026,7,0.2857142857142857,-21.82288540268209,-3.1175550575260127,0.5599166995099369,41.15799409835793,4,2
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,external,2021,1,0.0,-15.883895037874348,-15.883895037874348,0.0,15.883895037874348,1,0
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,reference_validation,2025,123,0.5121951219512195,-19.82875050073255,-0.16120935366449227,0.971484003628404,349.5816781473495,11,18
5,DRIVE_UP__RV_HIGH|RANGE_72H_MID|BROAD_QUIET|LB30|H720,reference_validation,2026,94,0.5531914893617021,56.56594460598031,0.6017653681487267,1.129867069507658,284.59125013687145,12,20
