episode_id,partition,outcome,transition,variant,stop_name,stop_mult_local_r,target_name,target_mult_wide_r,confirmation_complete_ts,entry_ts,entry_px,local_low,local_r,local_r_pct_entry,wide_r,wide_r_pct_entry,stop_px,target_px,deadline_ts,exit_ts,exit_px,exit_reason,hold_minutes,gross_return,net_pnl_usd
586,development,RESUME,False,S2_T1_0,S2,2.0,T1_0,1.0,2022-01-25 02:10:00+00:00,2022-01-25 02:10:00+00:00,36169.17,35942.59,226.58000000000175,0.006264451188678141,453.1600000000035,0.012528902377356281,35716.009999999995,36622.33,2022-01-25 08:00:00+00:00,2022-01-25 07:10:00+00:00,35716.009999999995,SL_S2,300.0,-0.012528902377356266,-6.664451188678133
586,development,RESUME,False,S2_T1_5,S2,2.0,T1_5,1.5,2022-01-25 02:10:00+00:00,2022-01-25 02:10:00+00:00,36169.17,35942.59,226.58000000000175,0.006264451188678141,453.1600000000035,0.012528902377356281,35716.009999999995,36848.91,2022-01-25 08:00:00+00:00,2022-01-25 07:10:00+00:00,35716.009999999995,SL_S2,300.0,-0.012528902377356266,-6.664451188678133
586,development,RESUME,False,S2_T2_0,S2,2.0,T2_0,2.0,2022-01-25 02:10:00+00:00,2022-01-25 02:10:00+00:00,36169.17,35942.59,226.58000000000175,0.006264451188678141,453.1600000000035,0.012528902377356281,35716.009999999995,37075.490000000005,2022-01-25 08:00:00+00:00,2022-01-25 07:10:00+00:00,35716.009999999995,SL_S2,300.0,-0.012528902377356266,-6.664451188678133
586,development,RESUME,False,S3_T1_0,S3,3.0,T1_0,1.0,2022-01-25 02:10:00+00:00,2022-01-25 02:10:00+00:00,36169.17,35942.59,226.58000000000175,0.006264451188678141,679.7400000000052,0.018793353566034423,35489.42999999999,36848.91,2022-01-25 08:00:00+00:00,2022-01-25 08:00:00+00:00,36033.41,REGIME_EXIT,350.0,-0.0037534729162984615,-2.2767364581492306
586,development,RESUME,False,S3_T1_5,S3,3.0,T1_5,1.5,2022-01-25 02:10:00+00:00,2022-01-25 02:10:00+00:00,36169.17,35942.59,226.58000000000175,0.006264451188678141,679.7400000000052,0.018793353566034423,35489.42999999999,37188.780000000006,2022-01-25 08:00:00+00:00,2022-01-25 08:00:00+00:00,36033.41,REGIME_EXIT,350.0,-0.0037534729162984615,-2.2767364581492306
586,development,RESUME,False,S3_T2_0,S3,3.0,T2_0,2.0,2022-01-25 02:10:00+00:00,2022-01-25 02:10:00+00:00,36169.17,35942.59,226.58000000000175,0.006264451188678141,679.7400000000052,0.018793353566034423,35489.42999999999,37528.65000000001,2022-01-25 08:00:00+00:00,2022-01-25 08:00:00+00:00,36033.41,REGIME_EXIT,350.0,-0.0037534729162984615,-2.2767364581492306
670,development,TRANSITION,True,S2_T1_0,S2,2.0,T1_0,1.0,2022-04-28 07:40:00+00:00,2022-04-28 07:40:00+00:00,39475.0,39432.8,42.19999999999709,0.0010690310322988496,84.39999999999418,0.002138062064597699,39390.600000000006,39559.399999999994,2022-04-28 16:00:00+00:00,2022-04-28 07:45:00+00:00,39559.399999999994,TP_T1_0,5.0,0.0021380620645976567,0.6690310322988283
670,development,TRANSITION,True,S2_T1_5,S2,2.0,T1_5,1.5,2022-04-28 07:40:00+00:00,2022-04-28 07:40:00+00:00,39475.0,39432.8,42.19999999999709,0.0010690310322988496,84.39999999999418,0.002138062064597699,39390.600000000006,39601.59999999999,2022-04-28 16:00:00+00:00,2022-04-28 07:45:00+00:00,39601.59999999999,TP_T1_5,5.0,0.003207093096896596,1.2035465484482981
670,development,TRANSITION,True,S2_T2_0,S2,2.0,T2_0,2.0,2022-04-28 07:40:00+00:00,2022-04-28 07:40:00+00:00,39475.0,39432.8,42.19999999999709,0.0010690310322988496,84.39999999999418,0.002138062064597699,39390.600000000006,39643.79999999999,2022-04-28 16:00:00+00:00,2022-04-28 07:45:00+00:00,39643.79999999999,TP_T2_0,5.0,0.004276124129195313,1.7380620645976568
670,development,TRANSITION,True,S3_T1_0,S3,3.0,T1_0,1.0,2022-04-28 07:40:00+00:00,2022-04-28 07:40:00+00:00,39475.0,39432.8,42.19999999999709,0.0010690310322988496,126.59999999999127,0.0032070930968965488,39348.40000000001,39601.59999999999,2022-04-28 16:00:00+00:00,2022-04-28 07:45:00+00:00,39601.59999999999,TP_T1_0,5.0,0.003207093096896596,1.2035465484482981
670,development,TRANSITION,True,S3_T1_5,S3,3.0,T1_5,1.5,2022-04-28 07:40:00+00:00,2022-04-28 07:40:00+00:00,39475.0,39432.8,42.19999999999709,0.0010690310322988496,126.59999999999127,0.0032070930968965488,39348.40000000001,39664.89999999999,2022-04-28 16:00:00+00:00,2022-04-28 08:00:00+00:00,39348.40000000001,SL_S3,20.0,-0.003207093096896596,-2.003546548448298
670,development,TRANSITION,True,S3_T2_0,S3,3.0,T2_0,2.0,2022-04-28 07:40:00+00:00,2022-04-28 07:40:00+00:00,39475.0,39432.8,42.19999999999709,0.0010690310322988496,126.59999999999127,0.0032070930968965488,39348.40000000001,39728.19999999998,2022-04-28 16:00:00+00:00,2022-04-28 08:00:00+00:00,39348.40000000001,SL_S3,20.0,-0.003207093096896596,-2.003546548448298
673,development,RESUME,False,S2_T1_0,S2,2.0,T1_0,1.0,2022-05-02 04:40:00+00:00,2022-05-02 04:40:00+00:00,38700.1,38572.8,127.29999999999563,0.003289397185020081,254.59999999999127,0.006578794370040162,38445.50000000001,38954.69999999999,2022-05-02 12:00:00+00:00,2022-05-02 04:50:00+00:00,38954.69999999999,TP_T1_0,10.0,0.006578794370040164,2.889397185020082
673,development,RESUME,False,S2_T1_5,S2,2.0,T1_5,1.5,2022-05-02 04:40:00+00:00,2022-05-02 04:40:00+00:00,38700.1,38572.8,127.29999999999563,0.003289397185020081,254.59999999999127,0.006578794370040162,38445.50000000001,39081.999999999985,2022-05-02 12:00:00+00:00,2022-05-02 04:50:00+00:00,39081.999999999985,TP_T1_5,10.0,0.009868191555060246,4.534095777530123
673,development,RESUME,False,S2_T2_0,S2,2.0,T2_0,2.0,2022-05-02 04:40:00+00:00,2022-05-02 04:40:00+00:00,38700.1,38572.8,127.29999999999563,0.003289397185020081,254.59999999999127,0.006578794370040162,38445.50000000001,39209.29999999998,2022-05-02 12:00:00+00:00,2022-05-02 12:00:00+00:00,38515.9,REGIME_EXIT,440.0,-0.0047596776235719895,-2.7798388117859947
673,development,RESUME,False,S3_T1_0,S3,3.0,T1_0,1.0,2022-05-02 04:40:00+00:00,2022-05-02 04:40:00+00:00,38700.1,38572.8,127.29999999999563,0.003289397185020081,381.8999999999869,0.009868191555060243,38318.20000000001,39081.999999999985,2022-05-02 12:00:00+00:00,2022-05-02 04:50:00+00:00,39081.999999999985,TP_T1_0,10.0,0.009868191555060246,4.534095777530123
673,development,RESUME,False,S3_T1_5,S3,3.0,T1_5,1.5,2022-05-02 04:40:00+00:00,2022-05-02 04:40:00+00:00,38700.1,38572.8,127.29999999999563,0.003289397185020081,381.8999999999869,0.009868191555060243,38318.20000000001,39272.94999999998,2022-05-02 12:00:00+00:00,2022-05-02 12:00:00+00:00,38515.9,REGIME_EXIT,440.0,-0.0047596776235719895,-2.7798388117859947
673,development,RESUME,False,S3_T2_0,S3,3.0,T2_0,2.0,2022-05-02 04:40:00+00:00,2022-05-02 04:40:00+00:00,38700.1,38572.8,127.29999999999563,0.003289397185020081,381.8999999999869,0.009868191555060243,38318.20000000001,39463.89999999997,2022-05-02 12:00:00+00:00,2022-05-02 12:00:00+00:00,38515.9,REGIME_EXIT,440.0,-0.0047596776235719895,-2.7798388117859947
689,development,TRANSITION,True,S2_T1_0,S2,2.0,T1_0,1.0,2022-05-15 12:20:00+00:00,2022-05-15 12:20:00+00:00,30436.9,30292.5,144.40000000000146,0.004744241364922231,288.8000000000029,0.009488482729844462,30148.1,30725.700000000004,2022-05-15 20:00:00+00:00,2022-05-15 13:25:00+00:00,30148.1,SL_S2,65.0,-0.009488482729844483,-5.144241364922242
689,development,TRANSITION,True,S2_T1_5,S2,2.0,T1_5,1.5,2022-05-15 12:20:00+00:00,2022-05-15 12:20:00+00:00,30436.9,30292.5,144.40000000000146,0.004744241364922231,288.8000000000029,0.009488482729844462,30148.1,30870.100000000006,2022-05-15 20:00:00+00:00,2022-05-15 13:25:00+00:00,30148.1,SL_S2,65.0,-0.009488482729844483,-5.144241364922242
689,development,TRANSITION,True,S2_T2_0,S2,2.0,T2_0,2.0,2022-05-15 12:20:00+00:00,2022-05-15 12:20:00+00:00,30436.9,30292.5,144.40000000000146,0.004744241364922231,288.8000000000029,0.009488482729844462,30148.1,31014.500000000007,2022-05-15 20:00:00+00:00,2022-05-15 13:25:00+00:00,30148.1,SL_S2,65.0,-0.009488482729844483,-5.144241364922242
689,development,TRANSITION,True,S3_T1_0,S3,3.0,T1_0,1.0,2022-05-15 12:20:00+00:00,2022-05-15 12:20:00+00:00,30436.9,30292.5,144.40000000000146,0.004744241364922231,433.20000000000437,0.014232724094766693,30003.699999999997,30870.100000000006,2022-05-15 20:00:00+00:00,2022-05-15 14:05:00+00:00,30003.699999999997,SL_S3,105.0,-0.014232724094766724,-7.516362047383362
689,development,TRANSITION,True,S3_T1_5,S3,3.0,T1_5,1.5,2022-05-15 12:20:00+00:00,2022-05-15 12:20:00+00:00,30436.9,30292.5,144.40000000000146,0.004744241364922231,433.20000000000437,0.014232724094766693,30003.699999999997,31086.700000000008,2022-05-15 20:00:00+00:00,2022-05-15 14:05:00+00:00,30003.699999999997,SL_S3,105.0,-0.014232724094766724,-7.516362047383362
689,development,TRANSITION,True,S3_T2_0,S3,3.0,T2_0,2.0,2022-05-15 12:20:00+00:00,2022-05-15 12:20:00+00:00,30436.9,30292.5,144.40000000000146,0.004744241364922231,433.20000000000437,0.014232724094766693,30003.699999999997,31303.30000000001,2022-05-15 20:00:00+00:00,2022-05-15 14:05:00+00:00,30003.699999999997,SL_S3,105.0,-0.014232724094766724,-7.516362047383362
715,development,RESUME,False,S2_T1_0,S2,2.0,T1_0,1.0,2022-06-05 17:25:00+00:00,2022-06-05 17:25:00+00:00,30044.0,29746.4,297.59999999999854,0.009905471974437443,595.1999999999971,0.019810943948874886,29448.800000000003,30639.199999999997,2022-06-06 00:00:00+00:00,2022-06-06 00:00:00+00:00,29910.0,REGIME_EXIT,395.0,-0.004460125149780336,-2.630062574890168
715,development,RESUME,False,S2_T1_5,S2,2.0,T1_5,1.5,2022-06-05 17:25:00+00:00,2022-06-05 17:25:00+00:00,30044.0,29746.4,297.59999999999854,0.009905471974437443,595.1999999999971,0.019810943948874886,29448.800000000003,30936.799999999996,2022-06-06 00:00:00+00:00,2022-06-06 00:00:00+00:00,29910.0,REGIME_EXIT,395.0,-0.004460125149780336,-2.630062574890168
715,development,RESUME,False,S2_T2_0,S2,2.0,T2_0,2.0,2022-06-05 17:25:00+00:00,2022-06-05 17:25:00+00:00,30044.0,29746.4,297.59999999999854,0.009905471974437443,595.1999999999971,0.019810943948874886,29448.800000000003,31234.399999999994,2022-06-06 00:00:00+00:00,2022-06-06 00:00:00+00:00,29910.0,REGIME_EXIT,395.0,-0.004460125149780336,-2.630062574890168
