hour,lookback_min,hold_min,character_rule,trades,win_rate,net_pnl,expectancy,pf,max_dd,dd_ratio,max_loss_streak,supportive_anchors,evaluable_anchors,y2022_trades,y2022_wr,y2022_exp,y2022_pf,y2023_trades,y2023_wr,y2023_exp,y2023_pf,y2024_trades,y2024_wr,y2024_exp,y2024_pf,old_candidate_gate,new_candidate_gate,rescued,lost,new_rank
15,240,960,EFF_HIGH__RANGE_LOW,171,0.6081871345029239,1002.9349212869736,5.865116498754231,2.402657365857495,119.05058021829312,0.1187021986087856,7,3,3,74,0.6081081081081081,4.856284517025849,2.020728321500493,46,0.6304347826086957,9.40387094896938,5.327178346230027,51,0.5882352941176471,4.1370941838131206,1.8022810278169907,True,True,False,False,1
17,30,720,EFF_LOW__RANGE_HIGH,214,0.602803738317757,1090.716014502041,5.096803806084304,1.962939698453636,137.00416140201014,0.1256093791421578,7,3,4,69,0.5797101449275363,6.364754508726521,1.8524692504726723,87,0.6436781609195402,4.780817636697875,2.2073372591396585,58,0.5689655172413793,4.062358948399927,1.863003924647349,False,True,True,False,1
17,30,720,EFF_LOW__RV_HIGH,378,0.58994708994709,1674.781645206965,4.430639273034299,1.915920660896126,181.16433587412055,0.108171913868648,8,3,4,106,0.5471698113207547,4.677422577040166,1.6839795211320303,140,0.65,5.651093185087357,2.5144960864827888,132,0.5606060606060606,2.938043985821799,1.6672200856589696,False,True,True,False,2
18,120,720,RV_HIGH__RANGE_MID,231,0.6363636363636364,1320.3681523310142,5.715879447320408,2.266996131131177,153.8974862974312,0.1165564967813987,6,4,4,72,0.5972222222222222,5.58436927116794,2.076637726002907,77,0.6363636363636364,5.309932635543584,2.1734632733395456,82,0.6707317073170732,6.2125457545130045,2.590746046724026,False,True,True,False,1
20,360,960,DRIVE_UP__STR_B80_100,308,0.6428571428571429,1917.7205099228756,6.226365291957388,2.4343568168148595,196.88114279550743,0.1026641482827053,8,4,4,87,0.5632183908045977,1.6716195345086873,1.3047598210037603,125,0.64,9.012461365499387,3.3291365218612747,96,0.71875,6.726374372220795,2.7168650776620678,False,True,True,False,1
21,360,960,DRIVE_UP__RV_HIGH,454,0.6057268722466961,2708.485330048637,5.965826718168803,2.163568776103216,280.1757540359797,0.1034437037290316,8,3,4,129,0.5891472868217055,1.7580495798551572,1.2372679938077815,188,0.6329787234042553,8.745871551011584,3.467149302428719,137,0.583941605839416,6.112942209176227,2.187129298793486,False,True,True,False,1
22,240,360,EFF_LOW__EXT_MID,285,0.5929824561403508,717.1841905539292,2.516435756329576,1.940084710942953,93.84709976308136,0.1308549477235366,5,4,4,84,0.5595238095238095,1.7824287421982117,1.4758731736278037,92,0.6086956521739131,3.553956709282801,2.782418856581053,109,0.6055045871559633,2.206386779406069,1.9081334110041737,True,True,False,False,1
22,30,120,EFF_HIGH__RV_HIGH,295,0.5627118644067797,659.6179013832186,2.235992886044809,1.774154098699375,93.70333013177844,0.142056984710819,5,4,4,100,0.57,3.7089026280448234,1.9556623980151089,104,0.5480769230769231,1.7628813776389989,1.7364452194232192,91,0.5714285714285714,1.158109618728357,1.4901764325092677,True,True,False,False,2
23,15,120,DRIVE_DOWN__STR_B80_100,306,0.6013071895424836,640.6655429314783,2.093678244874112,1.911371372496968,90.20861902310725,0.1408045430543084,6,4,4,96,0.5833333333333334,1.2921247248310797,1.4688298501778312,111,0.6396396396396397,3.945812308632504,3.4594856726901075,99,0.5757575757575758,0.7943071019140074,1.3020914248286264,True,True,False,False,1
