side,rule,partition,regime_or_alignment,n,fixed_wr,fixed_pf,fixed_exp,fixed_total,hybrid_wr,hybrid_pf,hybrid_exp,hybrid_total
LONG,BLIND_F85,external,BULL,21,0.7142857142857143,1.9140855432406392,1.0646412531038414,22.35746631518067,0.6190476190476191,1.4702718588212673,0.5613398318019607,11.788136467841175
LONG,BLIND_F85,external,BEAR,12,0.6666666666666666,4.455589308268281,2.5184083397388086,30.220900076865703,0.6666666666666666,3.4775005844532867,1.8055843958846178,21.667012750615413
LONG,BLIND_F85,external,SIDEWAYS,13,0.9230769230769231,10.375146138431443,2.811210418412329,36.54573543936028,0.9230769230769231,10.002294759270349,2.699408035159832,35.092304457077816
LONG,BLIND_F85,development,BULL,33,0.6363636363636364,1.220437245200127,0.4184508056872616,13.808876587679633,0.6060606060606061,1.6836880858742902,1.3068631196743845,43.12648294925469
LONG,BLIND_F85,development,BEAR,33,0.6666666666666666,0.9553675241483532,-0.08210472802442789,-2.7094560248061206,0.5151515151515151,0.9804901363797115,-0.03687476679122722,-1.2168673041104983
LONG,BLIND_F85,development,SIDEWAYS,6,0.5,0.36497178786747414,-2.2932507196455596,-13.759504317873358,0.5,0.2902208660446472,-2.5631955850692587,-15.379173510415553
LONG,BLIND_F85,reference_validation,BULL,14,0.8571428571428571,3.210840416521158,1.1979400388285952,16.771160543600335,0.8571428571428571,3.1729457053306596,1.1774068554039971,16.48369597565596
LONG,BLIND_F85,reference_validation,BEAR,10,0.4,0.3819224260173443,-1.5196362192758825,-15.196362192758826,0.4,0.3690455019284014,-1.5512960643537963,-15.512960643537962
LONG,BLIND_F85,reference_validation,SIDEWAYS,7,0.7142857142857143,1.2219543222959677,0.23412788054681827,1.6388951638277278,0.7142857142857143,2.6751051513907806,1.7669798665385368,12.368859065769758
LONG,BLIND_F85,august,BULL,3,1.0,inf,1.9257548932942294,5.7772646798826885,1.0,inf,1.7774468238104546,5.332340471431364
LONG,BLIND_F85,august,BEAR,0,,,,0.0,,,,0.0
LONG,BLIND_F85,august,SIDEWAYS,0,,,,0.0,,,,0.0
LONG,BLIND_F85,POOLED_MAJOR,BULL,68,0.7058823529411765,1.5590740048229392,0.7784926977420681,52.93750344646063,0.6617647058823529,1.745816880574744,1.0499752263639974,71.39831539275183
LONG,BLIND_F85,POOLED_MAJOR,BEAR,55,0.6181818181818182,1.1309586507839602,0.2239105792600138,12.315081859300758,0.5272727272727272,1.051588119330222,0.08976699641758099,4.9371848029669545
LONG,BLIND_F85,POOLED_MAJOR,SIDEWAYS,26,0.7692307692307693,1.741286837133214,0.9394279340505634,24.425126285314647,0.7692307692307693,1.9736677152639228,1.233922692785847,32.08199001243202
LONG,EARLY_RECLAIM,external,BULL,18,0.7222222222222222,1.8141197331569054,0.9683955919106446,17.431120654391602,0.6666666666666666,1.433104118826222,0.5279795377873657,9.503631680172584
LONG,EARLY_RECLAIM,external,BEAR,12,0.6666666666666666,2.7986913504013056,1.7085828378350951,20.50299405402114,0.5833333333333334,2.0431658229755523,0.9963907167940382,11.956688601528459
LONG,EARLY_RECLAIM,external,SIDEWAYS,13,0.9230769230769231,9.0359737483772,2.4400051801935696,31.720067342516405,0.9230769230769231,8.668703838693602,2.3284890764559023,30.27035799392673
LONG,EARLY_RECLAIM,development,BULL,27,0.6296296296296297,1.3571630090232667,0.5962202782951236,16.097947513968336,0.6296296296296297,2.0371415108782913,1.7313237502907186,46.7457412578494
LONG,EARLY_RECLAIM,development,BEAR,23,0.6956521739130435,0.9346967302114572,-0.11849611601830846,-2.7254106684210946,0.5217391304347826,1.0652560730922298,0.12385617752912069,2.8486920831697757
LONG,EARLY_RECLAIM,development,SIDEWAYS,4,0.75,0.5223402205223833,-1.4823325229535742,-5.929330091814297,0.75,0.39204412598239224,-1.88668337443554,-7.54673349774216
LONG,EARLY_RECLAIM,reference_validation,BULL,10,0.9,5.010516440223524,1.2586333881754679,12.586333881754678,0.9,4.918995106120084,1.2299109509158581,12.299109509158582
LONG,EARLY_RECLAIM,reference_validation,BEAR,6,0.3333333333333333,0.22495460317344898,-2.5246074706248267,-15.14764482374896,0.3333333333333333,0.20808640837934864,-2.5795533754292532,-15.477320252575518
LONG,EARLY_RECLAIM,reference_validation,SIDEWAYS,5,0.8,1.439709176257181,0.39497150901546274,1.9748575450773138,0.8,3.8258466736083037,2.538334392795538,12.691671963977692
LONG,EARLY_RECLAIM,august,BULL,3,1.0,inf,1.4372739379019694,4.311821813705908,1.0,inf,1.2890204113439998,3.8670612340319996
LONG,EARLY_RECLAIM,august,BEAR,0,,,,0.0,,,,0.0
LONG,EARLY_RECLAIM,august,SIDEWAYS,0,,,,0.0,,,,0.0
LONG,EARLY_RECLAIM,POOLED_MAJOR,BULL,55,0.7090909090909091,1.6623773221953313,0.8384618554566294,46.11540205011462,0.6909090909090909,1.9771268219076135,1.2463360444941922,68.54848244718058
LONG,EARLY_RECLAIM,POOLED_MAJOR,BEAR,41,0.6341463414634146,1.0361863123924673,0.0641448429719777,2.6299385618510858,0.5121951219512195,0.991000027684717,-0.016388769948226568,-0.6719395678772893
LONG,EARLY_RECLAIM,POOLED_MAJOR,SIDEWAYS,22,0.8636363636363636,2.331566242721778,1.2620724907172465,27.76559479577942,0.8636363636363636,2.6984261849670332,1.6097862027346481,35.41529646016226
SHORT,BLIND_F15,external,BULL,22,0.4090909090909091,0.7092972556151055,-0.678091551309935,-14.918014128818571,0.36363636363636365,0.6970571555098871,-0.7101741822337094,-15.623832009141607
SHORT,BLIND_F15,external,BEAR,9,0.6666666666666666,1.3743284997473197,0.6001960163203796,5.401764146883416,0.6666666666666666,1.2158495819366437,0.3460918933242954,3.1148270399186586
SHORT,BLIND_F15,external,SIDEWAYS,19,0.7368421052631579,6.370007093698825,2.6527240849852474,50.4017576147197,0.6842105263157895,6.47926681831159,3.047284602403239,57.89840744566155
SHORT,BLIND_F15,development,BULL,31,0.6129032258064516,0.7754536261482196,-0.31738613348003836,-9.838970137881189,0.5806451612903226,1.163103040775918,0.232198948838846,7.198167414004226
