partition,exec_min,execution_utc,reference_start,execution_start,entry_bar_start,exit_ts,entry_px,pnl_0,pnl_5,exit_reason,H,L,range_completion_ts,range_completion_elapsed_min,k1_ts,k1_elapsed_min,fill_elapsed_min,reference_open,reference_close,reference_drift,direction_regime,direction_known_by_execution
external,300,05:00,2020-03-09 00:00:00+00:00,2020-03-09 05:00:00+00:00,2020-03-09 06:35:00+00:00,2020-03-09 11:00:00+00:00,204.595,-2.856071751509081,-3.3533670321171822,TIME_EXIT,207.4,196.18,2020-03-09 04:20:00+00:00,260.0,2020-03-09 06:15:00+00:00,75.0,95.0,199.54,200.7,0.005813370752731251,UP_REF,True
external,300,05:00,2020-03-24 00:00:00+00:00,2020-03-24 05:00:00+00:00,2020-03-24 07:25:00+00:00,2020-03-24 08:20:00+00:00,135.9425,8.261750372400135,8.007546599100591,TARGET,137.12,132.41,2020-03-24 04:45:00+00:00,285.0,2020-03-24 07:05:00+00:00,125.0,145.0,135.96,133.35,-0.01919682259488098,DOWN_REF,True
external,300,05:00,2020-04-24 00:00:00+00:00,2020-04-24 05:00:00+00:00,2020-04-24 08:15:00+00:00,2020-04-24 11:00:00+00:00,188.33749999999998,-0.7384880865466844,-1.237899892557059,TIME_EXIT,189.45,185.0,2020-04-24 03:30:00+00:00,210.0,2020-04-24 07:55:00+00:00,175.0,195.0,185.54,188.9,0.018109302576263975,UP_REF,True
external,300,05:00,2020-05-06 00:00:00+00:00,2020-05-06 05:00:00+00:00,2020-05-06 08:40:00+00:00,2020-05-06 11:00:00+00:00,207.2875,3.9237049990955124,3.4196333299310715,TIME_EXIT,209.07,201.94,2020-05-06 03:45:00+00:00,225.0,2020-05-06 08:00:00+00:00,180.0,220.0,205.36,206.65,0.006281651733541116,UP_REF,True
external,300,05:00,2020-05-12 00:00:00+00:00,2020-05-12 05:00:00+00:00,2020-05-12 05:45:00+00:00,2020-05-12 09:05:00+00:00,188.35500000000002,4.829486873191469,4.576998374004448,TARGET,189.34,185.4,2020-05-12 02:50:00+00:00,170.0,2020-05-12 05:35:00+00:00,35.0,45.0,185.68,187.64,0.010555794915984462,UP_REF,True
external,300,05:00,2020-05-19 00:00:00+00:00,2020-05-19 05:00:00+00:00,2020-05-19 10:10:00+00:00,2020-05-19 11:00:00+00:00,213.57999999999998,0.349133814027636,-0.1513650703442334,TIME_EXIT,215.0,209.32,2020-05-19 04:10:00+00:00,250.0,2020-05-19 08:20:00+00:00,200.0,310.0,214.83,210.91,-0.018246985988921494,DOWN_REF,True
external,300,05:00,2020-06-10 00:00:00+00:00,2020-06-10 05:00:00+00:00,2020-06-10 06:00:00+00:00,2020-06-10 07:25:00+00:00,244.485,-2.6394011902571175,-3.1369130331453827,CLOSE_INVALIDATION,244.91,243.21,2020-06-10 04:40:00+00:00,280.0,2020-06-10 05:45:00+00:00,45.0,60.0,243.98,243.66,-0.00131158291663247,DOWN_REF,True
external,300,05:00,2020-06-19 00:00:00+00:00,2020-06-19 05:00:00+00:00,2020-06-19 09:25:00+00:00,2020-06-19 11:00:00+00:00,230.04749999999999,0.21400362968522246,-0.2863601920334743,TIME_EXIT,231.39,226.02,2020-06-19 02:10:00+00:00,130.0,2020-06-19 09:15:00+00:00,255.0,265.0,231.26,228.37,-0.012496756896999028,DOWN_REF,True
external,300,05:00,2020-07-01 00:00:00+00:00,2020-07-01 05:00:00+00:00,2020-07-01 06:00:00+00:00,2020-07-01 08:25:00+00:00,225.5025,1.806183966918296,1.5552063637364726,TARGET,226.0,224.01,2020-07-01 04:45:00+00:00,285.0,2020-07-01 05:30:00+00:00,30.0,60.0,225.56,225.61,0.000221670508955496,UP_REF,True
external,300,05:00,2020-07-03 00:00:00+00:00,2020-07-03 05:00:00+00:00,2020-07-03 08:20:00+00:00,2020-07-03 09:45:00+00:00,227.43,-4.159398496240629,-4.655391101441686,CLOSE_INVALIDATION,228.13,225.33,2020-07-03 01:30:00+00:00,90.0,2020-07-03 08:05:00+00:00,185.0,200.0,226.54,226.61,0.0003089962037610139,UP_REF,True
external,300,05:00,2020-08-28 00:00:00+00:00,2020-08-28 05:00:00+00:00,2020-08-28 05:20:00+00:00,2020-08-28 06:40:00+00:00,386.58500000000004,5.329658419235006,5.076919959255477,TARGET,388.8,379.94,2020-08-28 03:15:00+00:00,195.0,2020-08-28 05:00:00+00:00,0.0,20.0,383.58,388.2,0.012044423588299713,UP_REF,True
external,300,05:00,2020-10-15 00:00:00+00:00,2020-10-15 05:00:00+00:00,2020-10-15 06:00:00+00:00,2020-10-15 06:40:00+00:00,378.29999999999995,2.1905366111552698,1.9393669276914332,TARGET,379.28,375.36,2020-10-15 04:15:00+00:00,255.0,2020-10-15 05:50:00+00:00,50.0,60.0,378.75,377.06,-0.004462046204620429,DOWN_REF,True
external,300,05:00,2020-12-21 00:00:00+00:00,2020-12-21 05:00:00+00:00,2020-12-21 08:15:00+00:00,2020-12-21 09:00:00+00:00,645.04,-7.329802802926933,-7.8226265882312855,CLOSE_INVALIDATION,648.76,633.88,2020-12-21 04:20:00+00:00,260.0,2020-12-21 08:00:00+00:00,180.0,195.0,638.25,644.5,0.009792401096748948,UP_REF,True
external,300,05:00,2020-12-25 00:00:00+00:00,2020-12-25 05:00:00+00:00,2020-12-25 07:00:00+00:00,2020-12-25 08:10:00+00:00,613.3425,4.405634698394456,4.153358019384723,TARGET,616.29,604.5,2020-12-25 03:50:00+00:00,230.0,2020-12-25 06:40:00+00:00,100.0,120.0,612.31,609.7,-0.004262546749195462,DOWN_REF,True
external,300,05:00,2020-12-31 00:00:00+00:00,2020-12-31 05:00:00+00:00,2020-12-31 07:35:00+00:00,2020-12-31 11:00:00+00:00,749.6324999999999,1.5793031918974303,1.0775747529249817,TIME_EXIT,757.0,727.53,2020-12-31 01:05:00+00:00,65.0,2020-12-31 07:10:00+00:00,130.0,155.0,753.05,743.4,-0.012814554146471036,DOWN_REF,True
external,300,05:00,2021-02-01 00:00:00+00:00,2021-02-01 05:00:00+00:00,2021-02-01 07:10:00+00:00,2021-02-01 11:00:00+00:00,1316.155,3.7731407015132006,3.2692195214017565,TIME_EXIT,1331.54,1270.0,2021-02-01 04:25:00+00:00,265.0,2021-02-01 06:40:00+00:00,100.0,130.0,1313.09,1316.47,0.002574080984548033,UP_REF,True
external,300,05:00,2021-02-24 00:00:00+00:00,2021-02-24 05:00:00+00:00,2021-02-24 06:15:00+00:00,2021-02-24 09:20:00+00:00,1616.365,23.372477132330886,23.1107217714452,TARGET,1654.79,1501.09,2021-02-24 04:15:00+00:00,255.0,2021-02-24 05:05:00+00:00,5.0,75.0,1579.75,1645.78,0.041797752808988786,UP_REF,True
external,300,05:00,2021-04-15 00:00:00+00:00,2021-04-15 05:00:00+00:00,2021-04-15 06:50:00+00:00,2021-04-15 11:00:00+00:00,2464.6325,-9.787302163710033,-10.277669677789191,CLOSE_INVALIDATION,2485.13,2403.14,2021-04-15 03:55:00+00:00,235.0,2021-04-15 06:00:00+00:00,60.0,110.0,2436.74,2455.16,0.007559280021668391,UP_REF,True
external,300,05:00,2021-04-30 00:00:00+00:00,2021-04-30 05:00:00+00:00,2021-04-30 05:15:00+00:00,2021-04-30 06:30:00+00:00,2760.3250000000003,3.5687355655583235,3.3168771269949775,TARGET,2771.28,2727.46,2021-04-30 01:00:00+00:00,60.0,2021-04-30 05:00:00+00:00,0.0,15.0,2759.15,2767.7,0.003098780421506575,UP_REF,True
external,300,05:00,2021-07-07 00:00:00+00:00,2021-07-07 05:00:00+00:00,2021-07-07 08:00:00+00:00,2021-07-07 11:00:00+00:00,2374.645,-0.9716643961518608,-1.470843142382538,TIME_EXIT,2401.88,2292.94,2021-07-07 04:55:00+00:00,295.0,2021-07-07 07:50:00+00:00,170.0,180.0,2321.82,2390.49,0.029575936119078827,UP_REF,True
