lane,parent_n,parent_wr,parent_pf,parent_net,parent_wr_5bps,parent_pf_5bps,parent_net_5bps,recovery_n,attempt_rate,median_confirm_delay_min,median_reentry_R,recovery_wr,recovery_pf,recovery_exp,recovery_net,recovery_wr_5bps,recovery_pf_5bps,recovery_exp_5bps,recovery_net_5bps,rescue_rate,rescue_rate_5bps,episode_wr,episode_wr_5bps,overlay_pf,overlay_net,overlay_pf_5bps,overlay_net_5bps,overlay_net_improvement,overlay_net_improvement_5bps,episode_wr_uplift,episode_wr_uplift_5bps,adequate_blocks,positive_blocks_raw,positive_blocks_5bps,eligible,b1_n,b1_net,b1_net_5bps,b2_n,b2_net,b2_net_5bps,b3_n,b3_net,b3_net_5bps,b4_n,b4_net,b4_net_5bps,b5_n,b5_net,b5_net_5bps,b6_n,b6_net,b6_net_5bps
DC5_C10,601,0.4059900166389351,1.2780237033255166,338.9106208822296,0.40266222961730447,1.1441769326833608,188.66062088222947,39,0.1092436974789916,5.0,0.165938864628823,0.5897435897435898,0.6583959889801905,-0.7450434796016029,-29.056695704462513,0.5897435897435898,0.564261439900045,-0.9950434796016029,-38.80669570446251,0.5384615384615384,0.46153846153846156,0.44093178036605657,0.43261231281198004,1.2376073626199344,309.85392517776705,1.1072227120489389,149.853925177767,-29.056695704462513,-38.80669570446251,0.03494176372712149,0.02995008319467557,5,2,2,False,7,-1.6202259058359934,-3.3702259058359934,9,-37.824353470739375,-40.074353470739375,5,-2.6570847139379405,-3.907084713937941,2,-5.5231490187272465,-6.023149018727247,9,8.328620736859083,6.078620736859082,7,10.239496667918958,8.489496667918957
DC10_C12,601,0.4059900166389351,1.2780237033255166,338.9106208822296,0.40266222961730447,1.1441769326833608,188.66062088222947,27,0.07563025210084033,10.0,0.17407407407407346,0.5925925925925926,0.9127132519397104,-0.1336915978926567,-3.609673143101731,0.5555555555555556,0.7659085315133191,-0.3836915978926569,-10.359673143101736,0.5555555555555556,0.4444444444444444,0.43094841930116473,0.4226289517470882,1.2660372861254068,335.3009477391279,1.1318023637729633,178.3009477391278,-3.609673143101731,-10.359673143101736,0.02495840266222965,0.01996672212978373,4,2,2,False,5,-2.438282014166292,-3.688282014166294,5,-10.446053341961358,-11.69605334196136,1,-1.8144116122343346,-2.064411612234335,3,-7.434039298366613,-8.184039298366613,6,16.27700162741641,14.77700162741641,7,2.246111496210456,0.4961114962104558
DC5_OR10,601,0.4059900166389351,1.2780237033255166,338.9106208822296,0.40266222961730447,1.1441769326833608,188.66062088222947,46,0.12885154061624648,5.0,0.16465979545862042,0.5217391304347826,0.6131947246014076,-0.8610253818313884,-39.607167564243866,0.5217391304347826,0.5263277078253409,-1.1110253818313884,-51.107167564243866,0.4782608695652174,0.41304347826086957,0.4425956738768719,0.43427620632279534,1.226505726722041,299.30345331798566,1.0971127083320777,137.5534533179856,-39.607167564243866,-51.107167564243866,0.036605657237936795,0.031613976705490876,5,2,2,False,7,-1.6202259058359934,-3.3702259058359934,10,-39.23633966465212,-41.73633966465212,6,-4.471496326172275,-5.971496326172276,4,-13.877670049383617,-14.877670049383617,10,15.114187080268405,12.614187080268405,9,4.484377301531728,2.234377301531727
