family,side,confirmation_sweep_n,baseline_h1_swing_sweep_n,event_rate,baseline_event_rate,event_rate_lift,event_rate_reclaimed,baseline_event_rate_reclaimed,event_rate_reclaimed_lift,gate_confirmation_sweep_n_ge_30,gate_event_rate_lift_ge_8pp,gate_reclaimed_event_rate_lift_ge_8pp,gate_year_2023_above_h1_swing,gate_year_2024_above_h1_swing,verdict
H1_EQUAL_CLUSTER,BUY_SIDE,353,2284,0.17847025495750707,0.18345008756567427,-0.004979832608167201,0.2825112107623318,0.26319095477386933,0.019320255988462487,True,False,False,True,False,NOT_ENRICHED_AS_DEFINED
H1_EQUAL_CLUSTER,SELL_SIDE,305,2182,0.1737704918032787,0.1782768102658112,-0.004506318462532494,0.23348017621145375,0.24251870324189526,-0.009038527030441501,True,False,False,False,True,NOT_ENRICHED_AS_DEFINED
H4_SWING,BUY_SIDE,534,2284,0.13670411985018727,0.18345008756567427,-0.046745967715487,0.20857142857142857,0.26319095477386933,-0.05461952620244076,True,False,False,False,False,NOT_ENRICHED_AS_DEFINED
H4_SWING,SELL_SIDE,483,2182,0.12629399585921325,0.1782768102658112,-0.05198281440659794,0.17579250720461095,0.24251870324189526,-0.0667261960372843,True,False,False,False,False,NOT_ENRICHED_AS_DEFINED
PREVIOUS_DAY,BUY_SIDE,356,2284,0.1544943820224719,0.18345008756567427,-0.02895570554320237,0.21825396825396826,0.26319095477386933,-0.04493698651990108,True,False,False,False,False,NOT_ENRICHED_AS_DEFINED
PREVIOUS_DAY,SELL_SIDE,302,2182,0.18874172185430463,0.1782768102658112,0.010464911588493442,0.25333333333333335,0.24251870324189526,0.010814630091438099,True,False,False,True,True,NOT_ENRICHED_AS_DEFINED
PREVIOUS_WEEK,BUY_SIDE,58,2284,0.08620689655172414,0.18345008756567427,-0.09724319101395013,0.13513513513513514,0.26319095477386933,-0.1280558196387342,True,False,False,False,False,NOT_ENRICHED_AS_DEFINED
PREVIOUS_WEEK,SELL_SIDE,40,2182,0.025,0.1782768102658112,-0.1532768102658112,0.03571428571428571,0.24251870324189526,-0.20680441752760953,True,False,False,False,False,NOT_ENRICHED_AS_DEFINED
