scope,name,k1_n,clean_n,fill_n,fill_clean_rate,l2_hit_n,l2_fill_rate,median_min_fill_to_l2
PARTITION,external,862,641,441,0.6879875195007801,288,0.6530612244897959,20.0
PARTITION,development,1264,907,589,0.649393605292172,414,0.7028862478777589,20.0
PARTITION,reference_validation,641,405,228,0.562962962962963,157,0.6885964912280702,20.0
POOL,POOLED_OOS,1503,1046,669,0.6395793499043977,445,0.6651718983557549,20.0
POOL,POOLED_MAJOR,2767,1953,1258,0.6441372247823861,859,0.6828298887122417,20.0
REGIME,BULL,1146,811,530,0.6535141800246609,364,0.6867924528301886,20.0
REGIME,BEAR,1122,776,487,0.6275773195876289,338,0.6940451745379876,20.0
REGIME,SIDEWAYS,499,366,241,0.6584699453551912,157,0.6514522821576764,20.0
CLOCK,00-04,444,309,187,0.6051779935275081,128,0.6844919786096256,15.0
CLOCK,04-08,455,316,212,0.6708860759493671,137,0.6462264150943396,30.0
CLOCK,08-12,476,343,218,0.6355685131195336,149,0.6834862385321101,20.0
CLOCK,12-16,557,391,243,0.6214833759590793,180,0.7407407407407407,15.0
CLOCK,16-20,461,325,224,0.6892307692307692,153,0.6830357142857143,20.0
CLOCK,20-00,374,269,174,0.6468401486988847,112,0.6436781609195402,20.0
