partition,expected_n,got_n,missing,extra,wr,pf,exp,net
external,40,40,0,0,0.725,1.2116646147944852,0.5004729391637559,20.018917566550236
development,54,54,0,0,0.7407407407407407,1.0730780510290252,0.14813544003341195,7.999313761804245
reference_validation,28,28,0,0,0.7142857142857143,1.0236900427665696,0.06244981143424693,1.748594720158914
august,2,2,0,0,0.5,0.7603038570493219,-0.7350128170782066,-1.4700256341564133
