clock_block,rr,variant,scope,n,wins,wr,pf,expectancy,net
00-04,1.0,RR100,external,15,3,0.2,0.11694093445857574,-0.6228476283040532,-9.342714424560798
00-04,1.0,RR100,development,25,4,0.16,0.029067166429032062,-0.7054573595968813,-17.636433989922033
00-04,1.0,RR100,reference_validation,16,4,0.25,0.04715340793370173,-0.32636915846514963,-5.221906535442394
00-04,1.0,RR100,POOLED_MAJOR,56,11,0.19642857142857142,0.05912786094517132,-0.5750188383915218,-32.20105494992522
00-04,1.5,RR150,external,15,3,0.2,0.14190257807721324,-0.4987752936630819,-7.481629404946228
00-04,1.5,RR150,development,25,3,0.12,0.030552500348978887,-0.6004402722411492,-15.011006806028728
00-04,1.5,RR150,reference_validation,16,3,0.1875,0.01671109309379622,-0.4040839101842112,-6.465342562947379
00-04,1.5,RR150,POOLED_MAJOR,56,9,0.16071428571428573,0.05913884417482018,-0.5171067638200417,-28.957978773922335
00-04,2.0,RR200,external,15,3,0.2,0.16371903109997013,-0.42131960613705655,-6.319794092055848
00-04,2.0,RR200,development,25,3,0.12,0.034489765870514236,-0.5297352967841771,-13.243382419604426
00-04,2.0,RR200,reference_validation,16,2,0.125,0.015272379582837546,-0.41283202153162457,-6.605312344505993
00-04,2.0,RR200,POOLED_MAJOR,56,8,0.14285714285714285,0.06478445571611972,-0.4672944438601118,-26.168488856166263
04-08,1.0,RR100,external,27,6,0.2222222222222222,0.0513752637344542,-0.8052802440554914,-21.742566589498267
04-08,1.0,RR100,development,28,5,0.17857142857142858,0.0991994629112112,-0.45080419669691224,-12.622517507513543
04-08,1.0,RR100,reference_validation,18,5,0.2777777777777778,0.2928052500303207,-0.24952347191911114,-4.491422494544
04-08,1.0,RR100,POOLED_MAJOR,73,16,0.2191780821917808,0.10228291388009171,-0.5322809122130935,-38.85650659155582
04-08,1.5,RR150,external,27,4,0.14814814814814814,0.040983421707459874,-0.6895037392807042,-18.616600960579014
04-08,1.5,RR150,development,28,5,0.17857142857142858,0.1140908343384837,-0.3854846361928245,-10.793569813399086
04-08,1.5,RR150,reference_validation,18,4,0.2222222222222222,0.2565978988040312,-0.26270002000704784,-4.728600360126861
04-08,1.5,RR150,POOLED_MAJOR,73,13,0.1780821917808219,0.10058272116066509,-0.46765439909732825,-34.138771134104964
04-08,2.0,RR200,external,27,3,0.1111111111111111,0.03478610256759112,-0.6406613440578748,-17.29785628956262
04-08,2.0,RR200,development,28,4,0.14285714285714285,0.09080582804934009,-0.38763735907392605,-10.85384605406993
04-08,2.0,RR200,reference_validation,18,2,0.1111111111111111,0.11657208889777258,-0.3789016062554906,-6.8202289125988305
04-08,2.0,RR200,POOLED_MAJOR,73,9,0.1232876712328767,0.0693838353368616,-0.4790675514552244,-34.97193125623138
08-12,1.0,RR100,external,17,5,0.29411764705882354,0.42055944262380346,-0.3876084673264243,-6.589343944549213
08-12,1.0,RR100,development,28,5,0.17857142857142858,0.11048886269833179,-0.35845291530732365,-10.036681628605063
08-12,1.0,RR100,reference_validation,13,2,0.15384615384615385,0.023322547300183818,-0.5448763183109919,-7.083392138042895
08-12,1.0,RR100,POOLED_MAJOR,58,12,0.20689655172413793,0.20725007899631587,-0.4087830639861581,-23.70941771119717
08-12,1.5,RR150,external,17,1,0.058823529411764705,0.01791318260340007,-0.8583939387900961,-14.592696959431633
08-12,1.5,RR150,development,28,4,0.14285714285714285,0.10037418695563273,-0.36299480422791036,-10.16385451838149
08-12,1.5,RR150,reference_validation,13,2,0.15384615384615385,0.02819969198471402,-0.44838948664166206,-5.829063326341607
08-12,1.5,RR150,POOLED_MAJOR,58,7,0.1206896551724138,0.04880529659154173,-0.5273381862785297,-30.585614804154723
08-12,2.0,RR200,external,17,1,0.058823529411764705,0.020885629219320682,-0.733998842478246,-12.477980322130183
08-12,2.0,RR200,development,28,4,0.14285714285714285,0.1079704439837477,-0.3346069043722137,-9.368993322421984
08-12,2.0,RR200,reference_validation,13,2,0.15384615384615385,0.03149250329447743,-0.40014607080703973,-5.201898920491517
08-12,2.0,RR200,POOLED_MAJOR,58,7,0.1206896551724138,0.05483683345327341,-0.46635987181109795,-27.04887256504368
12-16,1.0,RR100,external,19,5,0.2631578947368421,0.3229707717424706,-0.4608227319690159,-8.755631907411303
12-16,1.0,RR100,development,38,4,0.10526315789473684,0.16258913860101554,-0.4036339162511407,-15.338088817543346
12-16,1.0,RR100,reference_validation,21,5,0.23809523809523808,0.24864921605748314,-0.33174663105747315,-6.966679252206936
12-16,1.0,RR100,POOLED_MAJOR,78,14,0.1794871794871795,0.23346869741139464,-0.39821025611745625,-31.060399977161588
12-16,1.5,RR150,external,19,3,0.15789473684210525,0.14425838569315466,-0.5932610109983193,-11.271959208968067
12-16,1.5,RR150,development,38,2,0.05263157894736842,0.1088038403240867,-0.43300597495113113,-16.454227048142982
12-16,1.5,RR150,reference_validation,21,4,0.19047619047619047,0.12391240101048355,-0.41392139545921436,-8.692349304643502
12-16,1.5,RR150,POOLED_MAJOR,78,9,0.11538461538461539,0.12364890360442404,-0.4669043020737764,-36.41853556175456
12-16,2.0,RR200,external,19,1,0.05263157894736842,0.08212237669442794,-0.6266300997441308,-11.905971895138483
12-16,2.0,RR200,development,38,2,0.05263157894736842,0.11627382521355535,-0.40179133385577004,-15.26807068651926
12-16,2.0,RR200,reference_validation,21,4,0.19047619047619047,0.13576489487810317,-0.372674373852283,-7.826161850897944
