partition,variant,confirmation_status,count
august,EARLY_RECLAIM,CONFIRMED_EXECUTED,3
august,SAME_BAR_REJECTION,CONFIRMED_EXECUTED,1
august,SAME_BAR_REJECTION,NO_CONFIRMATION,2
development,EARLY_RECLAIM,CONFIRMED_EXECUTED,54
development,EARLY_RECLAIM,H2_BEFORE_CONFIRMATION,9
development,EARLY_RECLAIM,LOW_CLOSE_BREAK_BEFORE_CONFIRMATION,7
development,EARLY_RECLAIM,NO_CONFIRMATION_BY_SESSION_END,2
development,SAME_BAR_REJECTION,CONFIRMED_EXECUTED,30
development,SAME_BAR_REJECTION,NO_CONFIRMATION,42
external,EARLY_RECLAIM,CONFIRMED_EXECUTED,43
external,EARLY_RECLAIM,H2_BEFORE_CONFIRMATION,2
external,EARLY_RECLAIM,NO_CONFIRMATION_BY_SESSION_END,1
external,SAME_BAR_REJECTION,CONFIRMED_EXECUTED,27
external,SAME_BAR_REJECTION,NO_CONFIRMATION,19
reference_validation,EARLY_RECLAIM,CONFIRMED_EXECUTED,21
reference_validation,EARLY_RECLAIM,H2_BEFORE_CONFIRMATION,8
reference_validation,EARLY_RECLAIM,LOW_CLOSE_BREAK_BEFORE_CONFIRMATION,1
reference_validation,EARLY_RECLAIM,NO_CONFIRMATION_BY_SESSION_END,1
reference_validation,SAME_BAR_REJECTION,CONFIRMED_EXECUTED,11
reference_validation,SAME_BAR_REJECTION,NO_CONFIRMATION,20
