blocker_clock,execution_utc,blocked_n,standalone_wins,standalone_net
05:00,09:00,8,4,-8.82794312310927
05:00,10:00,4,4,11.907026851827142
09:00,05:00,3,1,0.41549932752913543
09:00,10:00,8,3,-16.591604849760376
10:00,05:00,1,1,0.17777969923211712
10:00,09:00,73,52,56.93872986527177
