role,partition,attempt,snapshot_min,feature,good_n,true_n,good_median,true_median,good_minus_true,iqr_scaled_abs_gap
CENTRAL,development,PARENT,5,close_R,460,157,0.0008517887563888508,-0.0130805687203783,0.01393235747676715,0.12400685565628448
CENTRAL,development,PARENT,5,running_mfe_R,460,157,0.06772040400351602,0.04011107682813825,0.02760932717537777,0.23203246259903876
CENTRAL,development,PARENT,5,running_mae_R,460,157,0.14826354511624745,0.12734713529128475,0.020916409824962706,0.17040560655297324
CENTRAL,development,PARENT,5,break_confirmed_by_snapshot,460,157,0.5,0.0,0.5,0.5
CENTRAL,development,PARENT,5,closes_above_H,460,157,0.5,0.0,0.5,0.5
CENTRAL,development,PARENT,5,closes_le_H,460,157,0.5,1.0,-0.5,0.5
CENTRAL,development,PARENT,5,close_minus_L_R,460,157,1.0008517887563888,0.9869194312796217,0.013932357476767132,0.12400685565628379
CENTRAL,development,PARENT,10,close_R,458,157,0.005559059556078384,-0.062292358803986085,0.06785141836006447,0.3231970122086794
CENTRAL,development,PARENT,10,running_mfe_R,458,157,0.12490003936910532,0.06717226435536372,0.0577277750137416,0.30638059157018943
CENTRAL,development,PARENT,10,running_mae_R,458,157,0.16772461083167806,0.14797136038186418,0.01975325044981388,0.15317536220687636
CENTRAL,development,PARENT,10,break_confirmed_by_snapshot,458,157,1.0,1.0,0.0,0.0
CENTRAL,development,PARENT,10,closes_above_H,458,157,1.0,1.0,0.0,0.0
CENTRAL,development,PARENT,10,closes_le_H,458,157,1.0,1.0,0.0,0.0
CENTRAL,development,PARENT,10,close_minus_L_R,458,157,1.0055590595560784,0.9377076411960139,0.06785141836006447,0.32319701220867947
CENTRAL,development,PARENT,15,close_R,395,157,-0.01918465227818045,-0.06344410876133166,0.044259456483151216,0.20913470965482103
CENTRAL,development,PARENT,15,running_mfe_R,395,157,0.11940298507462402,0.07617187499999727,0.04323111007462675,0.24341014426091925
CENTRAL,development,PARENT,15,running_mae_R,395,157,0.17164179104477723,0.16572940787297252,0.005912383171804703,0.04638284978331739
CENTRAL,development,PARENT,15,break_confirmed_by_snapshot,395,157,1.0,1.0,0.0,0.0
CENTRAL,development,PARENT,15,closes_above_H,395,157,1.0,1.0,0.0,0.0
CENTRAL,development,PARENT,15,closes_le_H,395,157,2.0,2.0,0.0,0.0
CENTRAL,development,PARENT,15,close_minus_L_R,395,157,0.9808153477218196,0.9365558912386683,0.044259456483151216,0.20913470965482125
CENTRAL,development,PARENT,30,close_R,227,95,-0.059686888454011565,-0.11992619926199463,0.06023931080798307,0.22597129488036888
CENTRAL,development,PARENT,30,running_mfe_R,227,95,0.11588785046728522,0.06547085201793627,0.05041699844934895,0.2523740620834685
CENTRAL,development,PARENT,30,running_mae_R,227,95,0.21644295302013047,0.20805369127516904,0.008389261744961435,0.046025656333451445
CENTRAL,development,PARENT,30,break_confirmed_by_snapshot,227,95,0.0,0.0,0.0,0.0
CENTRAL,development,PARENT,30,closes_above_H,227,95,0.0,0.0,0.0,0.0
CENTRAL,development,PARENT,30,closes_le_H,227,95,6.0,6.0,0.0,0.0
