zone,partition,metric,actual,expected,pass
LONDON,external,n,27.0,27.0,True
LONDON,external,wins,20.0,20.0,True
LONDON,external,wr,0.7407407407407407,0.7407407407407407,True
LONDON,external,pf,2.1760904251256123,2.1760904251256123,True
LONDON,external,expectancy,1.34187409616372,1.34187409616372,True
LONDON,external,total_net,36.230600596420445,36.230600596420445,True
LONDON,development,n,30.0,30.0,True
LONDON,development,wins,20.0,20.0,True
LONDON,development,wr,0.6666666666666666,0.6666666666666666,True
LONDON,development,pf,1.169454844550486,1.1694548445504862,True
LONDON,development,expectancy,0.305477199960904,0.3054771999609039,True
LONDON,development,total_net,9.16431599882712,9.16431599882712,True
LONDON,reference_validation,n,11.0,11.0,True
LONDON,reference_validation,wins,10.0,10.0,True
LONDON,reference_validation,wr,0.9090909090909091,0.9090909090909092,True
LONDON,reference_validation,pf,6.228115566751987,6.228115566751987,True
LONDON,reference_validation,expectancy,1.4915967936781387,1.491596793678139,True
LONDON,reference_validation,total_net,16.407564730459526,16.407564730459526,True
LONDON,august,n,1.0,1.0,True
LONDON,august,wins,1.0,1.0,True
LONDON,august,wr,1.0,1.0,True
LONDON,august,pf,inf,inf,True
LONDON,august,expectancy,2.6529477668266304,2.6529477668266304,True
LONDON,august,total_net,2.6529477668266304,2.6529477668266304,True
ALT_0330,external,n,27.0,27.0,True
ALT_0330,external,wins,19.0,19.0,True
ALT_0330,external,wr,0.7037037037037037,0.7037037037037037,True
ALT_0330,external,pf,1.6306621639348278,1.6306621639348278,True
ALT_0330,external,expectancy,1.1577982078074018,1.1577982078074018,True
ALT_0330,external,total_net,31.260551610799848,31.260551610799848,True
ALT_0330,development,n,37.0,37.0,True
ALT_0330,development,wins,25.0,25.0,True
ALT_0330,development,wr,0.6756756756756757,0.6756756756756757,True
ALT_0330,development,pf,1.4886739997084404,1.4886739997084404,True
ALT_0330,development,expectancy,0.5064932137200978,0.5064932137200978,True
ALT_0330,development,total_net,18.74024890764362,18.74024890764362,True
ALT_0330,reference_validation,n,15.0,15.0,True
ALT_0330,reference_validation,wins,12.0,12.0,True
ALT_0330,reference_validation,wr,0.8,0.8,True
ALT_0330,reference_validation,pf,2.0260986711696853,2.0260986711696853,True
ALT_0330,reference_validation,expectancy,0.5639519810897242,0.5639519810897242,True
ALT_0330,reference_validation,total_net,8.459279716345863,8.459279716345863,True
ALT_0330,august,n,0.0,0.0,True
ALT_0330,august,wins,0.0,0.0,True
ALT_0330,august,wr,,,True
ALT_0330,august,pf,,,True
ALT_0330,august,expectancy,,,True
ALT_0330,august,total_net,0.0,0.0,True
