candidate,rule,scope,trades_n,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,abort_n,abort_rate,trades_per_week
BASE_H,NO_ABORT,external,183,0.7103825136612022,0.7783457612568707,-0.4106493535609105,-75.14883170164661,2.0299035578342166,-6.396911211699903,114.11314880282251,4,0,0.0,1.772925176606276
BASE_H,NO_ABORT,development,297,0.6531986531986532,0.5723985902380415,-0.4731338908138804,-140.52076557172248,0.9696124970995943,-3.190539708825668,152.3019585579396,6,0,0.0,1.9046273940967087
BASE_H,NO_ABORT,reference_validation,172,0.6395348837209303,0.6193524282944115,-0.36462976595904734,-62.71631974495614,0.9276895436058921,-2.65745434744523,82.30525776250491,4,0,0.0,2.111830445506867
BASE_H,NO_ABORT,POOLED_REUSED_EXTVAL,355,0.676056338028169,0.7263486069068003,-0.3883525392862049,-137.86515144660274,1.5247221346462345,-4.380856206623471,154.0230441853723,4,0,0.0,1.038878090628933
BASE_H,NO_ABORT,POOLED_MAJOR,652,0.6656441717791411,0.665571993316047,-0.4269722653655295,-278.38591701832524,1.2765855685539576,-3.818458962251114,294.5438097570947,6,0,0.0,1.908023986169195
BASE_H,GLOBAL_PLUS15_SAFE,external,183,0.6229508196721312,0.7100509059531855,-0.4977118627084995,-91.0812708756554,1.956554547243918,-4.552586800890755,118.58676885483493,8,33,0.18032786885245902,1.772925176606276
BASE_H,GLOBAL_PLUS15_SAFE,development,297,0.6127946127946128,0.7248290710515273,-0.22598563003065986,-67.11773211910598,0.9714018784271979,-2.1209815129813565,82.66676911218187,6,45,0.15151515151515152,1.9046273940967087
BASE_H,GLOBAL_PLUS15_SAFE,reference_validation,172,0.5406976744186046,0.4692862856925766,-0.538397921398689,-92.6044424805745,0.880494049070832,-2.2087391018248335,100.49938021621158,6,30,0.1744186046511628,2.111830445506867
BASE_H,GLOBAL_PLUS15_SAFE,POOLED_REUSED_EXTVAL,355,0.5830985915492958,0.6240715995395144,-0.5174245446654364,-183.6857133562299,1.4731070770502128,-3.3014789074704316,185.94634416252794,8,63,0.17746478873239438,1.038878090628933
BASE_H,GLOBAL_PLUS15_SAFE,POOLED_MAJOR,652,0.5966257668711656,0.6576210591713127,-0.3846678611584906,-250.80344547533588,1.2383761100852033,-2.7852918338345245,253.06407628163382,8,108,0.1656441717791411,1.908023986169195
BASE_H,PERSIST_10_15,external,183,0.6502732240437158,0.7434065307890982,-0.4514712129679674,-82.61923197313803,2.011476511345716,-5.031014637863722,120.32851730596644,8,21,0.11475409836065574,1.772925176606276
BASE_H,PERSIST_10_15,development,297,0.6363636363636364,0.6743120505275496,-0.2979150674044014,-88.48077501910721,0.9692735127110145,-2.515495082606379,102.6684076352754,6,30,0.10101010101010101,1.9046273940967087
BASE_H,PERSIST_10_15,reference_validation,172,0.5813953488372093,0.5049162452126388,-0.49995463107472543,-85.99219654485277,0.8770002363673342,-2.412391946966475,96.95927178154734,6,17,0.09883720930232558,2.111830445506867
BASE_H,PERSIST_10_15,POOLED_REUSED_EXTVAL,355,0.6169014084507042,0.6598361935078317,-0.4749617704732136,-168.61142851799082,1.4934508150085553,-3.644684977976944,174.89242670755874,8,38,0.10704225352112676,1.038878090628933
BASE_H,PERSIST_10_15,POOLED_MAJOR,652,0.6257668711656442,0.6649612382517658,-0.394313195609046,-257.092203537098,1.2506333882089593,-3.1448796144522677,263.37320172666585,8,68,0.10429447852760736,1.908023986169195
BASE_H,REFINED_BULL_IMPULSE,external,183,0.6502732240437158,0.7540692365256404,-0.4265917692483281,-78.06629377244404,2.011476511345716,-4.959874978477878,115.77557910527247,8,22,0.12021857923497267,1.772925176606276
