partition,rule,config,tp_pct,sl_pct,rr,cost,decision_time,entry_ts,entry_price,side,market_state,regime,exit_ts,exit_price,exit_reason,samebar_sl,hold_min,gross_return,net_return,net_pnl_usd
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-01-20 02:15:00+00:00,2023-01-20 02:15:00+00:00,21.439,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,2023-01-20 04:45:00+00:00,21.22461,TP,False,150.0,0.01000000000000012,0.00850000000000012,4.25000000000006
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-01-21 11:00:00+00:00,2023-01-21 11:00:00+00:00,25.082,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-01-21 11:15:00+00:00,24.83118,SL,False,15.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-01-21 12:00:00+00:00,2023-01-21 12:00:00+00:00,25.194,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,2023-01-21 12:10:00+00:00,25.44594,SL,False,10.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-01-21 14:30:00+00:00,2023-01-21 14:30:00+00:00,25.23,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-01-21 15:30:00+00:00,25.482300000000002,TP,False,60.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-01-21 17:45:00+00:00,2023-01-21 17:45:00+00:00,25.568,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-01-21 17:55:00+00:00,25.31232,SL,False,10.0,-0.01000000000000012,-0.01150000000000012,-5.7500000000000595
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-01-26 02:45:00+00:00,2023-01-26 02:45:00+00:00,24.676,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,2023-01-26 03:10:00+00:00,24.92276,SL,False,25.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-01-29 14:45:00+00:00,2023-01-29 14:45:00+00:00,24.555,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-01-29 15:10:00+00:00,24.80055,TP,False,25.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-01-29 22:00:00+00:00,2023-01-29 22:00:00+00:00,26.409,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-01-29 23:00:00+00:00,26.14491,SL,False,60.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-01 21:00:00+00:00,2023-02-01 21:00:00+00:00,24.575,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-02-01 21:10:00+00:00,24.82075,TP,False,10.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-01 23:00:00+00:00,2023-02-01 23:00:00+00:00,24.952,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-02-01 23:35:00+00:00,25.201520000000002,TP,False,35.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-02 00:00:00+00:00,2023-02-02 00:00:00+00:00,25.014,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-02-02 00:25:00+00:00,25.26414,TP,False,25.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-02 02:45:00+00:00,2023-02-02 02:45:00+00:00,25.265,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-02-02 06:15:00+00:00,25.01235,SL,False,210.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-02 07:00:00+00:00,2023-02-02 07:00:00+00:00,24.873,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,2023-02-02 11:00:00+00:00,24.915,TIME,False,240.0,-0.0016885779761186548,-0.003188577976118655,-1.5942889880593274
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-02 13:45:00+00:00,2023-02-02 13:45:00+00:00,24.972,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-02-02 14:25:00+00:00,25.22172,TP,False,40.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-04 13:15:00+00:00,2023-02-04 13:15:00+00:00,24.807,LONG,HIGHLOC_BUY_BUILD,SIDEWAYS,2023-02-04 16:25:00+00:00,24.55893,SL,False,190.0,-0.009999999999999898,-0.011499999999999897,-5.7499999999999485
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-04 18:00:00+00:00,2023-02-04 18:00:00+00:00,24.723,LONG,HIGHLOC_BUY_BUILD,SIDEWAYS,2023-02-04 22:00:00+00:00,24.657,TIME,False,240.0,-0.002669578934595296,-0.004169578934595295,-2.084789467297648
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-04 23:30:00+00:00,2023-02-04 23:30:00+00:00,24.556,SHORT,DELEVERAGING,SIDEWAYS,2023-02-04 23:40:00+00:00,24.31044,TP,False,10.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-05 02:45:00+00:00,2023-02-05 02:45:00+00:00,24.255,SHORT,DELEVERAGING,SIDEWAYS,2023-02-05 06:45:00+00:00,24.431,TIME,False,240.0,-0.007256235827664437,-0.008756235827664436,-4.378117913832218
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-05 10:30:00+00:00,2023-02-05 10:30:00+00:00,24.253,SHORT,DELEVERAGING,SIDEWAYS,2023-02-05 12:45:00+00:00,24.01047,TP,False,135.0,0.009999999999999898,0.008499999999999898,4.249999999999949
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-05 12:45:00+00:00,2023-02-05 12:45:00+00:00,24.023,SHORT,DELEVERAGING,SIDEWAYS,2023-02-05 12:55:00+00:00,23.78277,TP,False,10.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-07 11:45:00+00:00,2023-02-07 11:45:00+00:00,23.375,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,2023-02-07 14:40:00+00:00,23.14125,TP,False,175.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-07 15:15:00+00:00,2023-02-07 15:15:00+00:00,23.084,SHORT,DELEVERAGING,SIDEWAYS,2023-02-07 17:25:00+00:00,22.85316,TP,False,130.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-07 17:30:00+00:00,2023-02-07 17:30:00+00:00,22.794,SHORT,DELEVERAGING,SIDEWAYS,2023-02-07 17:45:00+00:00,23.02194,SL,False,15.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-08 11:30:00+00:00,2023-02-08 11:30:00+00:00,23.74,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-02-08 14:35:00+00:00,23.502599999999997,SL,False,185.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-08 15:45:00+00:00,2023-02-08 15:45:00+00:00,23.395,SHORT,DELEVERAGING,SIDEWAYS,2023-02-08 16:10:00+00:00,23.16105,TP,False,25.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-11 15:00:00+00:00,2023-02-11 15:00:00+00:00,20.566,LONG,HIGHLOC_BUY_BUILD,SIDEWAYS,2023-02-11 16:40:00+00:00,20.360339999999997,SL,False,100.0,-0.01000000000000012,-0.01150000000000012,-5.7500000000000595
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-11 17:45:00+00:00,2023-02-11 17:45:00+00:00,20.319,SHORT,DELEVERAGING,SIDEWAYS,2023-02-11 21:45:00+00:00,20.488,TIME,False,240.0,-0.008317338451695466,-0.009817338451695466,-4.908669225847733
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-12 01:00:00+00:00,2023-02-12 01:00:00+00:00,20.693,LONG,HIGHLOC_BUY_BUILD,SIDEWAYS,2023-02-12 05:00:00+00:00,20.7,TIME,False,240.0,0.00033827864495239446,-0.0011617213550476056,-0.5808606775238028
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-12 05:00:00+00:00,2023-02-12 05:00:00+00:00,20.7,LONG,HIGHLOC_BUY_BUILD,SIDEWAYS,2023-02-12 07:00:00+00:00,20.907,TP,False,120.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-12 08:30:00+00:00,2023-02-12 08:30:00+00:00,20.867,LONG,HIGHLOC_BUY_BUILD,SIDEWAYS,2023-02-12 12:05:00+00:00,21.075670000000002,TP,False,215.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-12 12:15:00+00:00,2023-02-12 12:15:00+00:00,21.002,SHORT,DELEVERAGING,SIDEWAYS,2023-02-12 13:30:00+00:00,20.79198,TP,False,75.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-12 15:30:00+00:00,2023-02-12 15:30:00+00:00,21.251,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,2023-02-12 15:50:00+00:00,21.463510000000003,SL,False,20.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-12 21:15:00+00:00,2023-02-12 21:15:00+00:00,22.028,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-02-12 21:30:00+00:00,21.80772,SL,False,15.0,-0.009999999999999898,-0.011499999999999897,-5.7499999999999485
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-14 02:45:00+00:00,2023-02-14 02:45:00+00:00,20.834,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-02-14 06:45:00+00:00,20.881,TIME,False,240.0,0.002255927810310032,0.0007559278103100322,0.3779639051550161
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-14 07:15:00+00:00,2023-02-14 07:15:00+00:00,20.985,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-02-14 08:35:00+00:00,20.77515,SL,False,80.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-14 10:15:00+00:00,2023-02-14 10:15:00+00:00,21.388,LONG,HIGHLOC_SELL_ABSORPTION_LIKE,TRANSITION,2023-02-14 11:05:00+00:00,21.60188,TP,False,50.0,0.010000000000000009,0.00850000000000001,4.250000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-14 12:00:00+00:00,2023-02-14 12:00:00+00:00,21.341,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,2023-02-14 13:25:00+00:00,21.55441,SL,False,85.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-14 17:00:00+00:00,2023-02-14 17:00:00+00:00,21.745,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,2023-02-14 18:20:00+00:00,21.96245,SL,False,80.0,-0.010000000000000009,-0.011500000000000008,-5.750000000000004
development,R3_STABLE_REGIME_CELLS,TP1.00_SL1.00,0.01,0.01,1.0,0.0015,2023-02-14 19:45:00+00:00,2023-02-14 19:45:00+00:00,21.999,SHORT,HIGHLOC_BUY_EXHAUSTION_LIKE,TRANSITION,2023-02-14 21:05:00+00:00,21.77901,TP,False,80.0,0.010000000000000009,0.00850000000000001,4.250000000000004
