role,partition,lane,parent_n,parent_interventions,h2_retained_n,h2_interventions,winner_preservation,base_episode_wr,candidate_episode_wr,base_episode_pf,candidate_episode_pf,base_episode_net,candidate_episode_net,base_episode_gross_loss,candidate_episode_gross_loss,base_stack_pf,candidate_stack_pf,base_stack_net,candidate_stack_net,stack_net_improvement,base_stack_pf_5bps,candidate_stack_pf_5bps,base_stack_net_5bps,candidate_stack_net_5bps,stack_net_improvement_5bps
CENTRAL,external,G_SHALLOW25,273,26,110,5,1.0,0.4725274725274725,0.5238095238095238,1.499978291431857,1.4488434271687822,460.40254583310576,396.69248102159673,920.8450721222068,883.8103824397215,1.4562953910177487,1.410547573157015,460.4025458331058,396.6924810215968,-63.71006481150903,1.3355848212329444,1.2936211641559368,360.90254583310576,300.94248102159673,-59.96006481150903
CENTRAL,reference_validation,G_SHALLOW25,317,24,125,7,0.9915966386554622,0.48580441640378547,0.5331230283911672,1.2173066220919102,1.2237421305126754,127.91608264247441,124.74767268165223,588.6432793031593,557.5511075889438,1.2016521707611343,1.2064462735710326,127.91608264247438,124.7476726816522,-3.1684099608221743,1.0196241756510611,1.0212256403445095,13.916082642474358,14.247672681652169,0.3315900391778115
CLOCK_SUPPORT,external,G_SHALLOW25,284,17,128,8,1.0,0.4859154929577465,0.5211267605633803,1.5037327705414338,1.5135690679605904,476.2080134730714,457.2138766144526,945.3584148619564,890.2675514124575,1.467760806644652,1.4719866621522864,476.20801347307145,457.2138766144527,-18.99413685861873,1.341885297285559,1.34284481692062,371.7080134730714,354.2138766144526,-17.494136858618788
CLOCK_SUPPORT,reference_validation,G_SHALLOW25,316,30,114,6,0.9923664122137404,0.5,0.5537974683544303,1.6088825771245745,1.6120078232362869,280.36930062660224,268.54679950964004,460.4653034262137,438.7963508204342,1.56281585767277,1.5695366252370038,280.36930062660224,268.54679950964004,-11.8225011169622,1.296813877000592,1.3010487299910494,169.1193006266022,161.04679950964004,-8.072501116962172
REF_SUPPORT,external,G_SHALLOW25,300,27,111,7,1.0,0.5033333333333333,0.5533333333333333,1.330619089641467,1.3608620365219195,335.46461507729776,337.9284570261924,1014.6559154859615,936.4477911925377,1.3088753073555555,1.3391382788037633,335.4646150772977,337.92845702619235,2.4638419488946397,1.19807508988214,1.2225678342434092,228.71461507729765,235.17845702619235,6.4638419488946965
REF_SUPPORT,reference_validation,G_SHALLOW25,349,26,137,2,0.9864864864864865,0.5530085959885387,0.5931232091690545,1.2917527902849695,1.3418181370120545,166.05125776556164,184.6328769276909,569.1505387261972,540.1494447943226,1.2679019632062072,1.3122086480029052,166.05125776556162,184.63287692769086,18.581619162129243,1.0593961160722567,1.09567107271033,41.30125776556159,63.13287692769085,21.831619162129265
