scope,name,source_n,trades_n,fill_rate,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,median_hold_min,full_sl_n,full_sl_rate,l_lock_n,t5_lock_n,t10_lock_n,structural_n,time_original_n,time_extended_n,extension_used_n,rebreak_n,t5_reach_n,t75_reach_n,t10_reach_n,per100_full_sl,per100_intermediate,per100_t10_family,per100_extended_unresolved,per100_wins
PARTITION,external,202,183,0.905940594059406,0.6721311475409836,0.884514789450386,-0.21623931585627165,-39.57179480169771,2.4641058816819514,-5.710946970809631,126.49634968566974,4,45.0,23,0.12568306010928962,19,18,85,18,1,19,52,146,143,124,106,12.568306010928962,20.218579234972676,57.923497267759565,9.289617486338798,67.21311475409836
PARTITION,development,333,297,0.8918918918918919,0.5622895622895623,0.5136279897113808,-0.5557704188364866,-165.06381439443652,1.0437957246305014,-2.6105976954440786,167.21011741188798,6,50.0,38,0.12794612794612795,33,24,147,22,7,26,83,238,233,200,176,12.794612794612794,19.19191919191919,59.25925925925926,8.754208754208754,56.22895622895623
PARTITION,reference_validation,194,172,0.8865979381443299,0.5581395348837209,0.584897695654037,-0.42177994529209484,-72.54615059024032,1.0647996656626033,-2.2995647170243454,83.3867419475975,6,50.0,17,0.09883720930232558,14,15,92,12,3,19,56,137,136,122,107,9.883720930232558,16.86046511627907,62.2093023255814,11.046511627906977,55.81395348837209
POOL,POOLED_REUSED_EXTVAL,396,355,0.8964646464646465,0.6169014084507042,0.7833150328629976,-0.31582519828714944,-112.11794539193805,1.850711376029635,-3.8045862995766764,126.49634968566974,6,50.0,40,0.11267605633802817,33,33,177,30,4,38,108,283,279,246,213,11.267605633802816,18.591549295774648,60.0,10.140845070422536,61.69014084507042
POOL,POOLED_MAJOR,729,652,0.8943758573388203,0.5920245398773006,0.6764924196342155,-0.4251253984453597,-277.1817597863745,1.5016053817714603,-3.221058034399091,286.77944910626144,6,50.0,78,0.1196319018404908,66,57,324,52,11,64,191,521,512,446,389,11.963190184049079,18.865030674846626,59.66257668711656,9.50920245398773,59.20245398773007
CLOCK_REUSED,00-04,65,59,0.9076923076923077,0.6440677966101694,0.5558058593112007,-0.8304086263485532,-48.99410895456464,1.6132830180996107,-5.2523268401118965,65.06045295429678,3,40.0,6,0.1016949152542373,1,2,35,8,0,7,15,46,46,45,43,10.169491525423728,5.084745762711864,72.88135593220339,11.864406779661017,64.40677966101694
CLOCK_MAJOR,00-04,112,101,0.9017857142857143,0.5346534653465347,0.4823279940107244,-0.8312033391145718,-83.95153725057175,1.4485139484756406,-3.4504529886863056,100.0178812503039,5,40.0,13,0.12871287128712872,7,4,53,12,0,12,27,77,76,69,65,12.871287128712872,10.891089108910892,64.35643564356435,11.881188118811881,53.46534653465347
CLOCK_REUSED,04-08,69,58,0.8405797101449275,0.7068965517241379,1.8765152175215611,0.9673903741474291,56.10864170055089,2.9298037379025503,-3.7654889149090387,30.442060926319826,6,37.5,4,0.06896551724137931,10,5,27,7,1,4,13,51,51,41,36,6.896551724137931,25.862068965517242,62.06896551724138,5.172413793103448,70.6896551724138
CLOCK_MAJOR,04-08,112,96,0.8571428571428571,0.6666666666666666,1.5160984490688496,0.4913844143994419,47.172903782346424,2.1652472020940357,-2.856341160989746,30.442060926319826,6,52.5,5,0.052083333333333336,14,9,48,10,1,9,27,83,83,69,60,5.208333333333333,23.958333333333332,62.5,8.333333333333334,66.66666666666666
CLOCK_REUSED,08-12,69,64,0.927536231884058,0.625,0.85461561989515,-0.20181838393534063,-12.9163765718618,1.8981642255515978,-3.701789399746905,39.03946000769337,4,62.5,9,0.140625,5,5,33,6,2,4,23,52,51,46,41,14.0625,15.625,64.0625,6.25,62.5
CLOCK_MAJOR,08-12,127,114,0.8976377952755905,0.6052631578947368,0.6974855018618007,-0.37810744359005494,-43.10424856926626,1.4403232764308282,-3.166367880955409,63.73017097177032,4,50.0,17,0.14912280701754385,7,11,59,10,4,6,38,92,91,84,73,14.912280701754385,15.789473684210526,64.03508771929825,5.2631578947368425,60.526315789473685
CLOCK_REUSED,12-16,75,71,0.9466666666666667,0.6197183098591549,0.7200219902030335,-0.3009411709678562,-21.36682313871779,1.248846661192195,-2.8265213418953463,37.12003992477804,3,40.0,7,0.09859154929577464,6,6,42,3,1,6,13,58,58,52,46,9.859154929577464,16.901408450704224,64.78873239436619,8.450704225352112,61.97183098591549
CLOCK_MAJOR,12-16,157,147,0.9363057324840764,0.5918367346938775,0.558340071798853,-0.6012681052610825,-88.38641147337914,1.2843312495195733,-3.3353871696930337,104.13962825943942,5,45.0,25,0.17006802721088435,11,9,83,7,5,7,24,116,115,104,95,17.006802721088434,13.605442176870747,64.62585034013605,4.761904761904762,59.183673469387756
CLOCK_REUSED,16-20,62,52,0.8387096774193549,0.5769230769230769,0.42637279370432984,-1.2839306979447802,-66.76439629312857,1.6541824757181793,-5.290448662030634,76.16335761511958,4,60.0,6,0.11538461538461539,6,8,18,2,0,12,22,37,35,29,21,11.538461538461538,26.923076923076923,40.38461538461539,21.153846153846153,57.692307692307686
CLOCK_MAJOR,16-20,122,106,0.8688524590163934,0.6037735849056604,0.47070256654666925,-0.8409457995603946,-89.14025475340183,1.23862737786724,-4.009819212783457,98.53921607539283,4,57.5,8,0.07547169811320754,16,14,44,4,1,19,39,84,80,64,50,7.547169811320755,28.30188679245283,47.16981132075472,16.9811320754717,60.37735849056604
CLOCK_REUSED,20-00,56,51,0.9107142857142857,0.5098039215686274,0.7046118632724594,-0.3565663163571783,-18.184882134216092,1.668376423947476,-2.462506766274019,29.827093138962503,5,65.0,8,0.1568627450980392,5,7,22,4,0,5,22,39,38,33,26,15.686274509803921,23.529411764705884,50.98039215686274,9.803921568627452,50.98039215686274
CLOCK_MAJOR,20-00,99,88,0.8888888888888888,0.5454545454545454,0.7855625679402602,-0.22468422184206752,-19.77221152210194,1.5090172134718223,-2.305125944218735,29.827093138962503,5,67.5,10,0.11363636363636363,11,10,37,9,0,11,36,69,67,56,46,11.363636363636363,23.863636363636363,52.27272727272727,12.5,54.54545454545454
