tf,partition,level,threshold,n,target_n,opposite_n,no_break_n,target_prob_all,opposite_prob_all,no_break_prob,target_prob_if_break
15m,external,HIGH,1,406,258,37,111,0.6354679802955665,0.09113300492610837,0.2733990147783251,0.8745762711864407
15m,external,HIGH,2,154,93,7,54,0.6038961038961039,0.045454545454545456,0.35064935064935066,0.93
15m,external,HIGH,3,56,28,1,27,0.5,0.017857142857142856,0.48214285714285715,0.9655172413793104
15m,external,HIGH,4,10,5,0,5,0.5,0.0,0.5,1.0
15m,external,LOW,1,346,222,34,90,0.6416184971098265,0.09826589595375723,0.26011560693641617,0.8671875
15m,external,LOW,2,128,74,6,48,0.578125,0.046875,0.375,0.925
15m,external,LOW,3,40,22,0,18,0.55,0.0,0.45,1.0
15m,external,LOW,4,4,0,0,4,0.0,0.0,1.0,
15m,development,HIGH,1,728,405,117,206,0.5563186813186813,0.16071428571428573,0.28296703296703296,0.7758620689655172
15m,development,HIGH,2,271,125,27,119,0.4612546125461255,0.0996309963099631,0.43911439114391143,0.8223684210526315
15m,development,HIGH,3,79,35,4,40,0.4430379746835443,0.05063291139240506,0.5063291139240507,0.8974358974358975
15m,development,HIGH,4,19,6,0,13,0.3157894736842105,0.0,0.6842105263157895,1.0
15m,development,LOW,1,681,379,124,178,0.5565345080763583,0.18208516886930984,0.26138032305433184,0.7534791252485089
15m,development,LOW,2,211,96,28,87,0.4549763033175355,0.13270142180094788,0.41232227488151657,0.7741935483870968
15m,development,LOW,3,76,23,8,45,0.3026315789473684,0.10526315789473684,0.5921052631578947,0.7419354838709677
15m,development,LOW,4,16,5,1,10,0.3125,0.0625,0.625,0.8333333333333334
15m,reference_validation,HIGH,1,392,225,78,89,0.5739795918367347,0.1989795918367347,0.22704081632653061,0.7425742574257426
15m,reference_validation,HIGH,2,122,63,13,46,0.5163934426229508,0.10655737704918032,0.3770491803278688,0.8289473684210527
15m,reference_validation,HIGH,3,32,14,2,16,0.4375,0.0625,0.5,0.875
15m,reference_validation,HIGH,4,12,5,1,6,0.4166666666666667,0.08333333333333333,0.5,0.8333333333333334
15m,reference_validation,LOW,1,382,235,66,81,0.6151832460732984,0.17277486910994763,0.21204188481675393,0.7807308970099668
15m,reference_validation,LOW,2,120,60,23,37,0.5,0.19166666666666668,0.30833333333333335,0.7228915662650602
15m,reference_validation,LOW,3,35,18,2,15,0.5142857142857142,0.05714285714285714,0.42857142857142855,0.9
15m,reference_validation,LOW,4,9,6,0,3,0.6666666666666666,0.0,0.3333333333333333,1.0
1h,external,HIGH,1,375,185,41,149,0.49333333333333335,0.10933333333333334,0.3973333333333333,0.8185840707964602
1h,external,HIGH,2,51,14,0,37,0.27450980392156865,0.0,0.7254901960784313,1.0
1h,external,HIGH,3,3,0,0,3,0.0,0.0,1.0,
1h,external,HIGH,4,0,0,0,0,,,,
1h,external,LOW,1,318,136,35,147,0.4276729559748428,0.11006289308176101,0.46226415094339623,0.7953216374269005
1h,external,LOW,2,51,7,0,44,0.13725490196078433,0.0,0.8627450980392157,1.0
1h,external,LOW,3,1,0,0,1,0.0,0.0,1.0,
1h,external,LOW,4,0,0,0,0,,,,
1h,development,HIGH,1,637,253,113,271,0.39717425431711145,0.17739403453689167,0.42543171114599687,0.6912568306010929
1h,development,HIGH,2,106,28,4,74,0.2641509433962264,0.03773584905660377,0.6981132075471698,0.875
1h,development,HIGH,3,3,0,0,3,0.0,0.0,1.0,
1h,development,HIGH,4,0,0,0,0,,,,
1h,development,LOW,1,600,226,115,259,0.37666666666666665,0.19166666666666668,0.43166666666666664,0.6627565982404692
1h,development,LOW,2,76,9,2,65,0.11842105263157894,0.02631578947368421,0.8552631578947368,0.8181818181818182
1h,development,LOW,3,3,0,0,3,0.0,0.0,1.0,
1h,development,LOW,4,0,0,0,0,,,,
1h,reference_validation,HIGH,1,344,153,69,122,0.44476744186046513,0.2005813953488372,0.3546511627906977,0.6891891891891891
1h,reference_validation,HIGH,2,42,15,2,25,0.35714285714285715,0.047619047619047616,0.5952380952380952,0.8823529411764706
1h,reference_validation,HIGH,3,1,1,0,0,1.0,0.0,0.0,1.0
1h,reference_validation,HIGH,4,0,0,0,0,,,,
1h,reference_validation,LOW,1,328,152,64,112,0.4634146341463415,0.1951219512195122,0.34146341463414637,0.7037037037037037
1h,reference_validation,LOW,2,37,7,8,22,0.1891891891891892,0.21621621621621623,0.5945945945945946,0.4666666666666667
1h,reference_validation,LOW,3,0,0,0,0,,,,
1h,reference_validation,LOW,4,0,0,0,0,,,,
