partition,exec_min,execution_start,entry_bar_start,exit_ts,entry_px,pnl_0,pnl_5,k1_ts,leave_bar,k1_episode_bars,single_bar_episode,range_completion_ts,range_completion_elapsed_min
external,300,2020-03-09 05:00:00+00:00,2020-03-09 06:35:00+00:00,2020-03-09 11:00:00+00:00,204.595,-2.856071751509081,-3.3533670321171822,2020-03-09 06:15:00+00:00,2020-03-09 06:20:00+00:00,1,True,2020-03-09 04:20:00+00:00,260.0
external,300,2020-03-24 05:00:00+00:00,2020-03-24 07:25:00+00:00,2020-03-24 08:20:00+00:00,135.9425,8.261750372400135,8.007546599100591,2020-03-24 07:05:00+00:00,2020-03-24 07:15:00+00:00,2,False,2020-03-24 04:45:00+00:00,285.0
external,300,2020-04-24 05:00:00+00:00,2020-04-24 08:15:00+00:00,2020-04-24 11:00:00+00:00,188.33749999999998,-0.7384880865466844,-1.237899892557059,2020-04-24 07:55:00+00:00,2020-04-24 08:00:00+00:00,1,True,2020-04-24 03:30:00+00:00,210.0
external,300,2020-05-06 05:00:00+00:00,2020-05-06 08:40:00+00:00,2020-05-06 11:00:00+00:00,207.2875,3.9237049990955124,3.4196333299310715,2020-05-06 08:00:00+00:00,2020-05-06 08:10:00+00:00,2,False,2020-05-06 03:45:00+00:00,225.0
external,300,2020-05-12 05:00:00+00:00,2020-05-12 05:45:00+00:00,2020-05-12 09:05:00+00:00,188.35500000000002,4.829486873191469,4.576998374004448,2020-05-12 05:35:00+00:00,2020-05-12 05:40:00+00:00,1,True,2020-05-12 02:50:00+00:00,170.0
external,300,2020-05-19 05:00:00+00:00,2020-05-19 10:10:00+00:00,2020-05-19 11:00:00+00:00,213.57999999999998,0.349133814027636,-0.1513650703442334,2020-05-19 08:20:00+00:00,2020-05-19 08:25:00+00:00,1,True,2020-05-19 04:10:00+00:00,250.0
external,300,2020-06-10 05:00:00+00:00,2020-06-10 06:00:00+00:00,2020-06-10 07:25:00+00:00,244.485,-2.6394011902571175,-3.1369130331453827,2020-06-10 05:45:00+00:00,2020-06-10 05:50:00+00:00,1,True,2020-06-10 04:40:00+00:00,280.0
external,300,2020-06-19 05:00:00+00:00,2020-06-19 09:25:00+00:00,2020-06-19 11:00:00+00:00,230.04749999999999,0.21400362968522246,-0.2863601920334743,2020-06-19 09:15:00+00:00,2020-06-19 09:20:00+00:00,1,True,2020-06-19 02:10:00+00:00,130.0
external,300,2020-07-01 05:00:00+00:00,2020-07-01 06:00:00+00:00,2020-07-01 08:25:00+00:00,225.5025,1.806183966918296,1.5552063637364726,2020-07-01 05:30:00+00:00,2020-07-01 05:45:00+00:00,3,False,2020-07-01 04:45:00+00:00,285.0
external,300,2020-07-03 05:00:00+00:00,2020-07-03 08:20:00+00:00,2020-07-03 09:45:00+00:00,227.43,-4.159398496240629,-4.655391101441686,2020-07-03 08:05:00+00:00,2020-07-03 08:10:00+00:00,1,True,2020-07-03 01:30:00+00:00,90.0
external,300,2020-08-28 05:00:00+00:00,2020-08-28 05:20:00+00:00,2020-08-28 06:40:00+00:00,386.58500000000004,5.329658419235006,5.076919959255477,2020-08-28 05:00:00+00:00,2020-08-28 05:05:00+00:00,1,True,2020-08-28 03:15:00+00:00,195.0
external,300,2020-10-15 05:00:00+00:00,2020-10-15 06:00:00+00:00,2020-10-15 06:40:00+00:00,378.29999999999995,2.1905366111552698,1.9393669276914332,2020-10-15 05:50:00+00:00,2020-10-15 05:55:00+00:00,1,True,2020-10-15 04:15:00+00:00,255.0
external,300,2020-12-21 05:00:00+00:00,2020-12-21 08:15:00+00:00,2020-12-21 09:00:00+00:00,645.04,-7.329802802926933,-7.8226265882312855,2020-12-21 08:00:00+00:00,2020-12-21 08:05:00+00:00,1,True,2020-12-21 04:20:00+00:00,260.0
external,300,2020-12-25 05:00:00+00:00,2020-12-25 07:00:00+00:00,2020-12-25 08:10:00+00:00,613.3425,4.405634698394456,4.153358019384723,2020-12-25 06:40:00+00:00,2020-12-25 06:45:00+00:00,1,True,2020-12-25 03:50:00+00:00,230.0
external,300,2020-12-31 05:00:00+00:00,2020-12-31 07:35:00+00:00,2020-12-31 11:00:00+00:00,749.6324999999999,1.5793031918974303,1.0775747529249817,2020-12-31 07:10:00+00:00,2020-12-31 07:15:00+00:00,1,True,2020-12-31 01:05:00+00:00,65.0
