i,date,period,parent_pnl,win,rel_last_red,rel_last_upper_gt_lower,rel_upper_gt_prev1,rel_upper_gt_prev2max,rel_upper_localmax4,rel_body_lt_prev1,rel_body_contract3median,rel_upper_share_gt_prev3median,rel_rejection_expansion_composite,rel_wick_dominant,rel_f636_morphology,balance_gate
92,2025-09-12,validation,-0.46446923873230617,False,True,False,False,False,False,False,False,False,False,False,False,False
93,2025-09-19,validation,-4.25,False,True,True,True,True,True,False,False,True,False,False,False,True
94,2025-09-26,validation,0.9153334236399475,True,False,False,False,False,False,False,False,False,False,False,False,False
95,2025-10-03,validation,2.1964111800608928,True,False,True,True,True,True,True,True,False,True,True,True,True
96,2025-10-10,validation,2.2404182532152213,True,True,False,False,False,False,False,False,False,False,False,False,False
97,2025-10-17,validation,-4.25,False,True,False,False,False,False,False,True,False,False,True,True,True
98,2025-10-24,validation,-1.3314597657766152,False,False,True,False,False,False,True,True,True,False,True,True,True
99,2025-10-31,validation,2.544789762339989,True,False,True,True,True,True,False,True,False,True,True,True,True
100,2025-11-07,validation,-4.25,False,False,False,False,False,False,True,True,False,False,True,True,True
101,2025-11-14,validation,-4.25,False,True,True,True,True,True,True,True,False,True,True,True,True
102,2025-11-21,validation,-4.25,False,False,False,False,False,False,False,True,False,False,True,True,True
103,2025-11-28,validation,7.2779343503150145,True,True,True,False,False,False,True,True,False,False,True,True,True
104,2025-12-05,validation,-4.25,False,False,False,False,False,False,True,True,False,False,True,False,True
105,2025-12-12,validation,-1.4416370366762403,False,True,False,False,False,False,False,False,False,False,True,True,False
106,2025-12-19,validation,-0.4178409777305374,False,False,True,True,False,False,True,True,False,False,True,True,True
107,2025-12-26,validation,2.2245683172571757,True,True,False,True,False,False,True,True,False,False,True,True,True
108,2026-01-02,validation,1.9647574054957602,True,True,True,True,False,False,True,True,False,False,True,True,True
109,2026-01-09,validation,-4.25,False,True,False,False,False,False,False,False,False,False,False,False,False
110,2026-01-16,validation,-1.8388164638253595,False,False,True,True,True,True,True,True,True,True,True,True,True
111,2026-01-23,validation,-4.25,False,True,True,True,True,True,True,True,True,True,True,True,True
112,2026-01-30,validation,-4.25,False,True,True,True,True,True,True,True,True,True,True,True,True
113,2026-02-06,validation,9.25,True,False,True,True,True,False,True,True,False,False,True,True,True
114,2026-02-13,validation,9.25,True,True,False,True,False,False,True,True,True,False,False,False,True
115,2026-02-20,validation,-4.25,False,True,False,False,False,False,False,False,False,False,True,False,False
116,2026-02-27,validation,-4.25,False,True,True,True,True,True,True,True,True,True,True,True,True
