hour_utc,hour_wib,direction,hold_min,year,N,WR,net,exp,PF,DD,LS
0,7,LONG,60,2022,365,39.726027397260275,-312.2657106867945,-0.8555224950323136,0.5952488790513044,325.4951870307955,11
0,7,LONG,60,2023,365,35.89041095890411,-113.0580561806957,-0.3097480991251937,0.7269223069470199,169.48715691683518,14
0,7,LONG,60,2024,366,39.07103825136612,-232.6609475424234,-0.6356856490230147,0.5821747555592091,242.738625892016,7
0,7,LONG,120,2022,365,40.0,-417.93410277714383,-1.1450249391154625,0.6113710278007024,423.6734757657919,13
0,7,LONG,120,2023,365,35.89041095890411,-173.53301854446596,-0.47543292751908484,0.6740680506311837,207.44255610691076,11
0,7,LONG,120,2024,366,42.89617486338798,-331.54062156494126,-0.9058486928003859,0.5904461440605405,355.26792273975957,9
0,7,LONG,240,2022,365,41.369863013698634,-553.0045817133488,-1.5150810457899966,0.6090320582120111,576.1651234822859,7
0,7,LONG,240,2023,365,37.534246575342465,-146.36924605085377,-0.40101163301603776,0.7613614337971165,201.29727301341654,17
0,7,LONG,240,2024,366,46.44808743169399,-174.95925345407846,-0.4780307471422909,0.8030470801423817,305.8065779400206,6
0,7,LONG,360,2022,365,43.28767123287671,-471.8375674388136,-1.2927056642159276,0.6957142538659081,502.328063397117,7
0,7,LONG,360,2023,365,39.45205479452055,-167.54039071187336,-0.45901476907362565,0.7622053973409412,218.21650800161578,8
0,7,LONG,360,2024,366,47.540983606557376,-91.62850947643376,-0.25035111878807037,0.9077997384783887,274.98484897375715,8
0,7,LONG,720,2022,365,47.12328767123288,-448.0284970917756,-1.2274753344980154,0.7796211993749897,470.4172047152985,8
0,7,LONG,720,2023,365,42.19178082191781,-118.27298196427442,-0.32403556702540937,0.8691728251242977,206.6221750061481,7
0,7,LONG,720,2024,366,52.732240437158474,76.40690244483531,0.2087620285378014,1.0594095163503439,191.99532129768534,6
0,7,LONG,960,2022,365,48.21917808219178,-435.99339365194857,-1.194502448361503,0.8223117975562576,569.2786386574561,9
0,7,LONG,960,2023,365,43.83561643835616,-156.8618187661429,-0.4297584075784737,0.8743706850009046,319.59664233239266,7
0,7,LONG,960,2024,366,48.63387978142077,-165.85581201650024,-0.4531579563292356,0.9076924835754956,441.1938401095143,9
0,7,SHORT,60,2022,365,42.465753424657535,-217.62339756711208,-0.5962284864852385,0.6965154132088106,218.93814342389743,8
0,7,SHORT,60,2023,365,30.958904109589042,-426.7077657571967,-1.169062371937525,0.2627181590269747,427.0433285262933,15
0,7,SHORT,60,2024,366,38.52459016393443,-306.5011801421521,-0.8374349184211807,0.4892029868288643,310.68010148979135,10
0,7,SHORT,120,2022,365,44.38356164383562,-93.75583296549928,-0.25686529579588846,0.8959575258951367,193.3462755022049,8
0,7,SHORT,120,2023,365,34.794520547945204,-361.84500316084757,-0.9913561730434179,0.42532392834130134,362.5843739525377,10
0,7,SHORT,120,2024,366,39.34426229508197,-190.47565298290033,-0.5204252813740446,0.7482623086390028,207.4618631188612,12
0,7,SHORT,240,2022,365,46.57534246575342,64.718086965792,0.17730982730353972,1.0588363382741495,219.75883341836462,5
0,7,SHORT,240,2023,365,35.61643835616438,-385.01449244884395,-1.0548342258872436,0.4710841434895184,404.6041847168956,9
0,7,SHORT,240,2024,366,41.2568306010929,-337.1405340872758,-0.9211490002384585,0.6588193326848544,340.5932902606774,11
0,7,SHORT,360,2022,365,46.57534246575342,11.56982611722674,0.031698153745826685,1.0088373761787734,260.0720001455258,9
0,7,SHORT,360,2023,365,40.54794520547945,-360.76042667152217,-0.98838473060691,0.5413108020653838,385.84519029896836,13
