arm_ext,arm,partition,stress_bps,candidates,accepted,blocked,trades_per_week,armed,floor_exits,gap_exits,buffer_f20_exits,time_exits,scheduled_updates,activations,n,wins,wr,pf,expectancy,net,max_ls
0.1,E10,external,0,167,147,20,1.4076607387140903,87,83,23,0,40,169,165,147,100,0.6802721088435374,1.855129648015251,1.4844767053298051,218.21807568348135,3
0.1,E10,external,5,167,147,20,1.4076607387140903,87,83,23,0,40,169,165,147,91,0.6190476190476191,1.5151164790920755,0.982843045454466,144.4779276818065,3
0.1,E10,development,0,288,238,50,1.5200729927007297,146,141,60,0,50,240,227,238,152,0.6386554621848739,1.160428700412033,0.2652837470941803,63.137531808414906,5
0.1,E10,development,5,288,238,50,1.5200729927007297,146,141,60,0,50,240,227,238,138,0.5798319327731093,0.8726647126948305,-0.23513132911475734,-55.96125632931225,6
0.1,E10,reference_validation,0,120,102,18,1.2417391304347827,61,59,31,0,25,96,91,102,69,0.6764705882352942,1.1789865713918557,0.27970833711613025,28.530250385845285,4
0.1,E10,reference_validation,5,120,102,18,1.2417391304347827,61,59,31,0,25,96,91,102,61,0.5980392156862745,0.8732550515255406,-0.22072115647413654,-22.513557960361926,4
0.1,E10,POOLED_MAJOR,0,575,487,88,1.4192339716902582,294,283,114,0,115,505,483,487,321,0.6591375770020534,1.3834551641605413,0.6363159299337607,309.8858578777415,5
0.1,E10,POOLED_MAJOR,5,575,487,88,1.4192339716902582,294,283,114,0,115,505,483,487,290,0.5954825462012321,1.0735341395073217,0.1355300069653641,66.00311339213232,6
0.15,E15,external,0,167,146,21,1.3980848153214773,78,73,17,0,46,145,141,146,94,0.6438356164383562,1.7313459117957255,1.4482291634555777,211.44145786451435,3
0.15,E15,external,5,167,146,21,1.3980848153214773,78,73,17,0,46,145,141,146,86,0.589041095890411,1.4361164433480957,0.9466317330073999,138.20823301908038,4
0.15,E15,development,0,288,236,52,1.5072992700729926,135,131,64,0,54,236,227,236,149,0.6313559322033898,1.1180685302777824,0.20892332980789138,49.30590583466237,5
0.15,E15,development,5,288,236,52,1.5072992700729926,135,131,64,0,54,236,227,236,138,0.5847457627118644,0.8515127749107511,-0.2914354141498813,-68.77875773937198,5
0.15,E15,reference_validation,0,120,102,18,1.2417391304347827,54,51,23,0,31,83,77,102,66,0.6470588235294118,1.2193473419222658,0.38392622004205607,39.16047444428972,4
0.15,E15,reference_validation,5,120,102,18,1.2417391304347827,54,51,23,0,31,83,77,102,58,0.5686274509803921,0.9399310986285392,-0.11660743934823237,-11.893958813519701,5
0.15,E15,POOLED_MAJOR,0,575,484,91,1.4104912572855954,267,255,104,0,131,464,445,484,309,0.6384297520661157,1.3387837035261398,0.6196442936848481,299.90783814346645,5
0.15,E15,POOLED_MAJOR,5,575,484,91,1.4104912572855954,267,255,104,0,131,464,445,484,282,0.5826446280991735,1.058823248285945,0.1188750340210509,57.53551646618864,5
0.2,E20,external,0,167,144,23,1.3789329685362517,74,69,22,0,48,156,149,144,92,0.6388888888888888,1.8918074234242295,1.7889886727766715,257.6143688798407,3
0.2,E20,external,5,167,144,23,1.3789329685362517,74,69,22,0,48,156,149,144,85,0.5902777777777778,1.5853956952642996,1.2870506531137815,185.33529404838455,4
0.2,E20,development,0,288,234,54,1.4945255474452555,130,126,60,0,57,221,206,234,146,0.6239316239316239,1.1564587323226247,0.283650765631769,66.37427915783394,5
0.2,E20,development,5,288,234,54,1.4945255474452555,130,126,60,0,57,221,206,234,138,0.5897435897435898,0.8920507991798198,-0.21678266841678737,-50.72714440952824,5
0.2,E20,reference_validation,0,120,101,19,1.2295652173913043,52,49,26,0,32,78,72,101,64,0.6336633663366337,1.2936570181039586,0.5228733475967386,52.810208107270604,4
0.2,E20,reference_validation,5,120,101,19,1.2295652173913043,52,49,26,0,32,78,72,101,60,0.594059405940594,1.011274984640774,0.022200810517740567,2.2422818622917973,4
0.2,E20,POOLED_MAJOR,0,575,479,96,1.3959200666111575,256,244,108,0,137,455,427,479,302,0.6304801670146137,1.4219789941581453,0.7866364428913264,376.7988561449453,5
0.2,E20,POOLED_MAJOR,5,575,479,96,1.3959200666111575,256,244,108,0,137,455,427,479,283,0.5908141962421712,1.1388798254422696,0.2857002745326683,136.8504315011481,5
0.25,E25,external,0,167,144,23,1.3789329685362517,68,66,18,0,50,136,133,144,90,0.625,1.7929746893496488,1.6333251366031094,235.19881967084777,3
0.25,E25,external,5,167,144,23,1.3789329685362517,68,66,18,0,50,136,133,144,82,0.5694444444444444,1.5004954894585354,1.1315427026835227,162.9421491864273,4
0.25,E25,development,0,288,233,55,1.4881386861313868,122,118,54,0,61,198,185,233,139,0.5965665236051502,1.1415223813098918,0.27125648310383393,63.2027605631933,5
0.25,E25,development,5,288,233,55,1.4881386861313868,122,118,54,0,61,198,185,233,134,0.575107296137339,0.8919512225540488,-0.2291645628562346,-53.395343145502665,5
0.25,E25,reference_validation,0,120,101,19,1.2295652173913043,50,46,28,0,35,76,65,101,64,0.6336633663366337,1.4271471004011569,0.766912045713109,77.458116617024,4
0.25,E25,reference_validation,5,120,101,19,1.2295652173913043,50,46,28,0,35,76,65,101,61,0.6039603960396039,1.134224947499412,0.2659955918943663,26.865554781330992,4
0.25,E25,POOLED_MAJOR,0,575,478,97,1.3930058284762699,240,230,100,0,146,410,383,478,293,0.6129707112970711,1.4065398626050918,0.7863173574290062,375.859696851065,5
0.25,E25,POOLED_MAJOR,5,575,478,97,1.3930058284762699,240,230,100,0,146,410,383,478,277,0.5794979079497908,1.1337516365758051,0.2853815079963506,136.41236082225558,5
0.3,E30,external,0,167,144,23,1.3789329685362517,66,65,20,0,51,126,122,144,89,0.6180555555555556,1.8304873805368012,1.7119843390020213,246.52574481629105,3
0.3,E30,external,5,167,144,23,1.3789329685362517,66,65,20,0,51,126,122,144,81,0.5625,1.5340365331303991,1.21012328518998,174.2577530673571,4
