partition,probe,field,fast,original,pass
external,F90,n,61.0,61.0,True
external,F90,wins,32.0,32.0,True
external,F90,wr,0.5245901639344263,0.5245901639344263,True
external,F90,pf,0.9278640389161608,0.9278640389161608,True
external,F90,expectancy,-0.19880273764916154,-0.19880273764916154,True
external,F90,net,-12.126966996598854,-12.126966996598854,True
external,F90,max_ls,4.0,4.0,True
external,F85,n,60.0,60.0,True
external,F85,wins,35.0,35.0,True
external,F85,wr,0.5833333333333334,0.5833333333333334,True
external,F85,pf,1.252773532769427,1.252773532769427,True
external,F85,expectancy,0.5775479820342455,0.5775479820342455,True
external,F85,net,34.65287892205473,34.65287892205473,True
external,F85,max_ls,5.0,5.0,True
external,F80,n,54.0,54.0,True
external,F80,wins,31.0,31.0,True
external,F80,wr,0.5740740740740741,0.5740740740740741,True
external,F80,pf,1.5674499403920985,1.5674499403920985,True
external,F80,expectancy,1.1812713073074372,1.1812713073074372,True
external,F80,net,63.788650594601606,63.788650594601606,True
external,F80,max_ls,5.0,5.0,True
development,F90,n,60.0,60.0,True
development,F90,wins,42.0,42.0,True
development,F90,wr,0.7,0.7,True
development,F90,pf,1.6882314869111616,1.6882314869111616,True
development,F90,expectancy,0.9208350518431128,0.9208350518431128,True
development,F90,net,55.250103110586764,55.250103110586764,True
development,F90,max_ls,4.0,4.0,True
development,F85,n,60.0,60.0,True
development,F85,wins,37.0,37.0,True
development,F85,wr,0.6166666666666667,0.6166666666666667,True
development,F85,pf,1.3028584188748753,1.3028584188748753,True
development,F85,expectancy,0.5776078565905937,0.5776078565905937,True
development,F85,net,34.65647139543562,34.65647139543562,True
development,F85,max_ls,4.0,4.0,True
development,F80,n,55.0,55.0,True
development,F80,wins,32.0,32.0,True
development,F80,wr,0.5818181818181818,0.5818181818181818,True
development,F80,pf,0.846936237006286,0.846936237006286,True
development,F80,expectancy,-0.41955484906261264,-0.41955484906261264,True
development,F80,net,-23.075516698443696,-23.075516698443696,True
development,F80,max_ls,4.0,4.0,True
reference_validation,F90,n,40.0,40.0,True
reference_validation,F90,wins,25.0,25.0,True
reference_validation,F90,wr,0.625,0.625,True
reference_validation,F90,pf,1.5650578891245017,1.5650578891245017,True
reference_validation,F90,expectancy,0.9032668198306701,0.9032668198306701,True
reference_validation,F90,net,36.13067279322681,36.13067279322681,True
reference_validation,F90,max_ls,3.0,3.0,True
reference_validation,F85,n,36.0,36.0,True
reference_validation,F85,wins,20.0,20.0,True
reference_validation,F85,wr,0.5555555555555556,0.5555555555555556,True
reference_validation,F85,pf,1.4479516507101569,1.4479516507101569,True
reference_validation,F85,expectancy,0.8392369641478432,0.8392369641478432,True
reference_validation,F85,net,30.212530709322355,30.212530709322355,True
reference_validation,F85,max_ls,4.0,4.0,True
reference_validation,F80,n,29.0,29.0,True
reference_validation,F80,wins,15.0,15.0,True
reference_validation,F80,wr,0.5172413793103449,0.5172413793103449,True
reference_validation,F80,pf,1.3358023555806553,1.3358023555806553,True
reference_validation,F80,expectancy,0.6283646615052279,0.6283646615052279,True
reference_validation,F80,net,18.222575183651607,18.222575183651607,True
reference_validation,F80,max_ls,4.0,4.0,True
august,F90,n,1.0,1.0,True
august,F90,wins,0.0,0.0,True
august,F90,wr,0.0,0.0,True
august,F90,pf,0.0,0.0,True
august,F90,expectancy,-3.3041763548320886,-3.3041763548320886,True
august,F90,net,-3.3041763548320886,-3.3041763548320886,True
august,F90,max_ls,1.0,1.0,True
august,F85,n,1.0,1.0,True
august,F85,wins,0.0,0.0,True
august,F85,wr,0.0,0.0,True
august,F85,pf,0.0,0.0,True
august,F85,expectancy,-2.8023331826101834,-2.8023331826101834,True
august,F85,net,-2.8023331826101834,-2.8023331826101834,True
august,F85,max_ls,1.0,1.0,True
august,F80,n,1.0,1.0,True
august,F80,wins,0.0,0.0,True
august,F80,wr,0.0,0.0,True
august,F80,pf,0.0,0.0,True
august,F80,expectancy,-2.299475714688459,-2.299475714688459,True
august,F80,net,-2.299475714688459,-2.299475714688459,True
august,F80,max_ls,1.0,1.0,True
