feature,dev_unique_entry_n,q33,q67,selection_basis
rv_60,126,0.008602679584765429,0.01420464507767078,2022 unique-entry distribution only; no outcome optimization
atr_pct_60,126,0.004258005507182081,0.006809539433861252,2022 unique-entry distribution only; no outcome optimization
