n,wins,wr,pf,expectancy,net,max_ls,partition,exec_min,execution_utc,arm_ext,arm,armed_trades,ratchet_raises,reasons,positive
58,34,0.5862068965517241,0.8406934993499574,-0.23703600461596372,-13.748088267725896,4,development,300,05:00,0.1,E10,29,9,"{'TIME_EXIT_UNARMED': 19, 'RUNNER_FLOOR_TOUCH': 17, 'RUNNER_GAP_OPEN': 9, 'PREARM_CLOSE_F35': 10, 'RUNNER_TIME_EXIT': 3}",False
36,25,0.6944444444444444,5.529675629683854,2.3807923770645854,85.70852557432508,3,external,300,05:00,0.1,E10,24,16,"{'RUNNER_GAP_OPEN': 12, 'RUNNER_FLOOR_TOUCH': 11, 'TIME_EXIT_UNARMED': 9, 'PREARM_CLOSE_F35': 3, 'RUNNER_TIME_EXIT': 1}",True
28,19,0.6785714285714286,1.1064467382539238,0.1470120040406661,4.116336113138651,2,reference_validation,300,05:00,0.1,E10,15,9,"{'TIME_EXIT_UNARMED': 7, 'RUNNER_GAP_OPEN': 7, 'RUNNER_FLOOR_TOUCH': 7, 'RUNNER_TIME_EXIT': 1, 'PREARM_CLOSE_F35': 6}",True
96,62,0.6458333333333334,1.6036638837071246,0.667636599156033,64.09311351897917,4,development,540,09:00,0.1,E10,66,34,"{'RUNNER_FLOOR_TOUCH': 39, 'TIME_EXIT_UNARMED': 10, 'RUNNER_TIME_EXIT': 3, 'PREARM_CLOSE_F35': 20, 'RUNNER_GAP_OPEN': 24}",True
56,36,0.6428571428571429,1.2808591189105893,0.7319291779318594,40.988033964184126,3,external,540,09:00,0.1,E10,36,35,"{'PREARM_CLOSE_F35': 17, 'RUNNER_FLOOR_TOUCH': 25, 'RUNNER_GAP_OPEN': 10, 'TIME_EXIT_UNARMED': 3, 'RUNNER_TIME_EXIT': 1}",True
35,26,0.7428571428571429,2.162638974032393,0.8240558995048708,28.84195648267048,2,reference_validation,540,09:00,0.1,E10,27,12,"{'RUNNER_FLOOR_TOUCH': 9, 'TIME_EXIT_UNARMED': 3, 'PREARM_CLOSE_F35': 5, 'RUNNER_GAP_OPEN': 17, 'RUNNER_TIME_EXIT': 1}",True
102,68,0.6666666666666666,1.3906553455434671,0.4811782543774287,49.08018194649773,5,development,600,10:00,0.1,E10,69,35,"{'RUNNER_FLOOR_TOUCH': 38, 'RUNNER_GAP_OPEN': 30, 'PREARM_CLOSE_F35': 27, 'TIME_EXIT_UNARMED': 6, 'RUNNER_TIME_EXIT': 1}",True
43,31,0.7209302325581395,1.776002508721597,1.21523633318581,52.25516232698983,3,external,600,10:00,0.1,E10,31,19,"{'PREARM_CLOSE_F35': 8, 'RUNNER_FLOOR_TOUCH': 23, 'TIME_EXIT_UNARMED': 4, 'RUNNER_GAP_OPEN': 7, 'RUNNER_TIME_EXIT': 1}",True
46,27,0.5869565217391305,0.7565234508070088,-0.4199639235536029,-19.318340483465732,4,reference_validation,600,10:00,0.1,E10,29,11,"{'RUNNER_FLOOR_TOUCH': 9, 'RUNNER_GAP_OPEN': 20, 'PREARM_CLOSE_F35': 14, 'TIME_EXIT_UNARMED': 3}",False
58,34,0.5862068965517241,0.6995192138203155,-0.8060170144098843,-46.74898683577329,4,development,960,16:00,0.1,E10,33,25,"{'RUNNER_FLOOR_TOUCH': 22, 'PREARM_CLOSE_F35': 15, 'TIME_EXIT_UNARMED': 10, 'RUNNER_GAP_OPEN': 11}",False
57,35,0.6140350877192983,1.6529524526810295,0.9976722752182524,56.867319687440386,5,external,960,16:00,0.1,E10,32,17,"{'RUNNER_FLOOR_TOUCH': 23, 'TIME_EXIT_UNARMED': 20, 'RUNNER_GAP_OPEN': 7, 'RUNNER_TIME_EXIT': 2, 'PREARM_CLOSE_F35': 5}",True
28,15,0.5357142857142857,0.7328407415846541,-0.5963639183833386,-16.69818971473348,5,reference_validation,960,16:00,0.1,E10,13,8,"{'TIME_EXIT_UNARMED': 9, 'PREARM_CLOSE_F35': 6, 'RUNNER_FLOOR_TOUCH': 10, 'RUNNER_GAP_OPEN': 3}",False
58,34,0.5862068965517241,0.8801124699100157,-0.17415569183098206,-10.10103012619696,4,development,300,05:00,0.15,E15,28,8,"{'TIME_EXIT_UNARMED': 20, 'RUNNER_FLOOR_TOUCH': 13, 'RUNNER_GAP_OPEN': 11, 'PREARM_CLOSE_F35': 10, 'RUNNER_TIME_EXIT': 4}",False
36,21,0.5833333333333334,2.072809378430464,1.5453705187040105,55.633338673344376,4,external,300,05:00,0.15,E15,18,19,"{'TIME_EXIT_UNARMED': 13, 'RUNNER_FLOOR_TOUCH': 13, 'PREARM_CLOSE_F35': 5, 'RUNNER_GAP_OPEN': 5}",True
28,19,0.6785714285714286,1.1088608080002058,0.15034603979522584,4.2096891142663235,2,reference_validation,300,05:00,0.15,E15,13,5,"{'TIME_EXIT_UNARMED': 9, 'RUNNER_GAP_OPEN': 8, 'RUNNER_FLOOR_TOUCH': 5, 'PREARM_CLOSE_F35': 6}",True
96,63,0.65625,1.592133666274938,0.707780068615543,67.94688658709212,4,development,540,09:00,0.15,E15,64,41,"{'RUNNER_FLOOR_TOUCH': 22, 'TIME_EXIT_UNARMED': 11, 'RUNNER_GAP_OPEN': 38, 'RUNNER_TIME_EXIT': 4, 'PREARM_CLOSE_F35': 21}",True
56,36,0.6428571428571429,1.4315803488204921,1.124714238045764,62.98399733056279,3,external,540,09:00,0.15,E15,36,40,"{'PREARM_CLOSE_F35': 17, 'RUNNER_FLOOR_TOUCH': 25, 'RUNNER_GAP_OPEN': 9, 'TIME_EXIT_UNARMED': 3, 'RUNNER_TIME_EXIT': 2}",True
35,25,0.7142857142857143,1.7897884654411382,0.7337978706726467,25.682925473542635,3,reference_validation,540,09:00,0.15,E15,23,12,"{'RUNNER_FLOOR_TOUCH': 12, 'TIME_EXIT_UNARMED': 5, 'PREARM_CLOSE_F35': 7, 'RUNNER_GAP_OPEN': 10, 'RUNNER_TIME_EXIT': 1}",True
102,63,0.6176470588235294,1.1393519262070688,0.20333387750089052,20.740055505090833,5,development,600,10:00,0.15,E15,62,39,"{'RUNNER_FLOOR_TOUCH': 31, 'RUNNER_GAP_OPEN': 30, 'PREARM_CLOSE_F35': 31, 'TIME_EXIT_UNARMED': 9, 'RUNNER_TIME_EXIT': 1}",True
