local_date,candidate,duration_regime,entry_ts,entry_px,H,L,R,leave_ts,upstream_terminal,b27eo_outcome,b27eo_h2,entry_depth_R,minutes_leave_to_entry,session_close_px,mfe_R,mae_R,mfe_pct,mae_pct,max_extension_above_H_R,session_close_gross_return,session_close_net_return
2022-01-03,E0_NEXT_OPEN,NORMAL_6H30,2022-01-03 14:45:00+00:00,531.56,532.54,524.0,8.539999999999964,2022-01-03 14:45:00+00:00,OPPOSITE_BREAK_BEFORE_H2,OPPOSITE_BREAK_BEFORE_H2,False,0.11475409836065836,0.0,512.29,0.016393442622962603,2.4765807962529287,0.00026337572428336564,0.039788546918503864,0.0,-0.03625178719241473,-0.03775178719241473
2022-01-11,E0_NEXT_OPEN,NORMAL_6H30,2022-01-11 16:25:00+00:00,456.94,458.0,442.36,15.639999999999986,2022-01-11 16:25:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.06777493606138128,0.0,460.16,0.6687979539641936,0.08312020460358137,0.0228914080623277,0.00284501247428548,0.6010230179028123,0.0070468770516918244,0.005546877051691825
2022-01-12,E0_NEXT_OPEN,NORMAL_6H30,2022-01-12 14:40:00+00:00,481.93,482.69,457.8,24.889999999999986,2022-01-12 14:40:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.03053435114503782,0.0,485.62,0.22740056247488835,0.12575331458417024,0.01174444421388987,0.0064947191500840384,0.19686621132985055,0.007656713630610268,0.006156713630610268
2022-01-27,E0_NEXT_OPEN,NORMAL_6H30,2022-01-27 14:40:00+00:00,374.21,376.94,364.77,12.170000000000016,2022-01-27 14:40:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.22432210353327975,0.0,361.16,0.25061626951520194,1.1018898931799466,0.008150503727853309,0.035835493439512534,0.026294165981922166,-0.034873466769995365,-0.036373466769995366
2022-02-01,E0_NEXT_OPEN,NORMAL_6H30,2022-02-01 17:15:00+00:00,385.97,387.66,378.94,8.720000000000027,2022-02-01 17:15:00+00:00,NO_H2_BY_END,NO_H2_BY_END,False,0.19380733944954043,0.0,383.89,0.15711009174311277,0.42316513761468383,0.0035494986656992022,0.009560328522942307,0.0,-0.005389019872010903,-0.006889019872010902
2022-02-14,E0_NEXT_OPEN,NORMAL_6H30,2022-02-14 14:40:00+00:00,401.89,404.03,392.72,11.309999999999945,2022-02-14 14:40:00+00:00,NO_H2_BY_END,NO_H2_BY_END,False,0.1892130857648096,0.0,398.72,0.17506631299734993,0.5543766578249347,0.004926721242130894,0.015601283933414534,0.0,-0.007887730473512544,-0.009387730473512544
2022-03-18,E0_NEXT_OPEN,DST_MISMATCH_5H30,2022-03-18 14:40:00+00:00,388.53,389.54,384.01,5.53000000000003,2022-03-18 14:40:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.18264014466546877,0.0,399.1,2.023508137432187,0.06690777576852545,0.0288008647980853,0.0009523074151286393,1.8408679927667184,0.027205106426788195,0.025705106426788193
2022-04-18,E0_NEXT_OPEN,NORMAL_6H30,2022-04-18 13:40:00+00:00,404.56,406.59,396.01,10.579999999999984,2022-04-18 13:40:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.19187145557655724,0.0,414.94,1.1568998109640858,0.16824196597353802,0.030255091951750135,0.004399841803440885,0.9650283553875285,0.025657504449278168,0.024157504449278167
2022-04-25,E0_NEXT_OPEN,NORMAL_6H30,2022-04-25 13:50:00+00:00,393.47,394.29,381.79,12.5,2022-04-25 13:50:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.06559999999999945,0.0,402.1,0.7223999999999978,0.23040000000000418,0.02294965308663932,0.007319490685439911,0.6567999999999984,0.021933057158106006,0.020433057158106005
2022-05-19,E0_NEXT_OPEN,NORMAL_6H30,2022-05-19 13:45:00+00:00,301.34,303.76,293.23,10.529999999999973,2022-05-19 13:45:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.2298195631528986,0.0,303.49,0.7207977207977256,0.2526115859449169,0.025187495851861863,0.008827238335434973,0.4909781576448271,0.00713479790270144,0.00563479790270144
2022-06-20,E0_NEXT_OPEN,NORMAL_6H30,2022-06-20 14:45:00+00:00,216.77,217.46,204.51,12.950000000000017,2022-06-20 14:45:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.05328185328185304,0.0,213.67,0.21698841698841687,0.4455598455598458,0.01296304839230511,0.026618074456797536,0.16370656370656383,-0.014300871891867017,-0.01580087189186702
2022-06-22,E0_NEXT_OPEN,NORMAL_6H30,2022-06-22 13:40:00+00:00,216.79,217.29,211.0,6.289999999999992,2022-06-22 13:40:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.0794912559618443,0.0,216.03,0.6375198728139944,0.6406995230524652,0.01849716315328198,0.018589418331103835,0.55802861685215,-0.0035056967572304476,-0.005005696757230447
2022-07-06,E0_NEXT_OPEN,NORMAL_6H30,2022-07-06 13:40:00+00:00,236.93,238.99,233.46,5.530000000000001,2022-07-06 13:40:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.37251356238698047,0.0,237.63,0.4882459312839038,0.27305605786618786,0.011395770902798308,0.006373190393787254,0.11573236889692337,0.0029544591229475614,0.0014544591229475614
2022-07-08,E0_NEXT_OPEN,NORMAL_6H30,2022-07-08 14:55:00+00:00,241.63,242.28,236.8,5.47999999999999,2022-07-08 14:55:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.11861313868613264,0.0,241.99,0.21715328467153283,0.47810218978102365,0.004924885154989012,0.01084302445888341,0.09854014598540019,0.001489881223358136,-1.0118776641864034e-05
2022-07-11,E0_NEXT_OPEN,NORMAL_6H30,2022-07-11 13:40:00+00:00,231.83,233.37,227.79,5.5800000000000125,2022-07-11 13:40:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.2759856630824352,0.0,231.79,0.3351254480286688,0.4534050179211461,0.00806625544580064,0.010913169132554024,0.05913978494623357,-0.00017254022343970998,-0.00167254022343971
2022-07-19,E0_NEXT_OPEN,NORMAL_6H30,2022-07-19 13:40:00+00:00,263.99,264.71,257.09,7.6200000000000045,2022-07-19 13:40:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.09448818897637402,0.0,271.11,1.4146981627296544,0.4750656167979006,0.04083488010909497,0.013712640630326955,1.3202099737532804,0.026970718587825404,0.025470718587825403
2022-07-20,E0_NEXT_OPEN,NORMAL_6H30,2022-07-20 13:50:00+00:00,269.73,270.92,263.51,7.410000000000025,2022-07-20 13:50:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.1605937921727387,0.0,263.62,0.29014844804318085,0.9878542510121415,0.007970933896859655,0.0271382493604716,0.12955465587044215,-0.022652281911541228,-0.02415228191154123
2022-07-28,E0_NEXT_OPEN,NORMAL_6H30,2022-07-28 13:45:00+00:00,267.12,269.97,263.6,6.3700000000000045,2022-07-28 13:45:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.4474097331240221,0.0,276.44,1.8665620094191488,0.39403453689167806,0.044511829889188226,0.009396525905959852,1.4191522762951267,0.03489068583408206,0.03339068583408206
2022-08-10,E0_NEXT_OPEN,NORMAL_6H30,2022-08-10 14:35:00+00:00,333.89,335.0,315.08,19.920000000000016,2022-08-10 14:35:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.0557228915662657,0.0,327.12,0.15110441767068217,0.39558232931726856,0.009014945041780242,0.023600587019677155,0.09538152610441646,-0.020276138848123626,-0.021776138848123627
2022-08-19,E0_NEXT_OPEN,NORMAL_6H30,2022-08-19 16:20:00+00:00,285.05,285.33,278.11,7.21999999999997,2022-08-19 16:20:00+00:00,H2_ARRIVAL,H2_ARRIVAL,True,0.03878116343489943,0.0,286.11,0.40027700831024904,0.2631578947368479,0.010138572180319105,0.006665497281178823,0.36149584487534964,0.0037186458516049736,0.0022186458516049736
