character_rule,lookback_min,hold_min,manhattan_distance,trades,wr,net,exp,pf,dd,ls,wr_change_pp,exp_retention,pf_retention,dd_cap,ls_warning_threshold,risk_clustering_warning,economically_viable,performance_stable
DRIVE_DOWN__STR_B80_100,120,120,0,91,0.3516483516483517,-121.47943106160258,-1.3349388028747537,0.38807835518564693,127.31392968815382,7,-30.05255613951266,-0.2946714621364591,0.11776337296897188,72.17021539211366,12,False,False,False
DRIVE_DOWN__STR_B80_100,60,120,1,111,0.3333333333333333,-171.69796395018867,-1.5468285040557537,0.3731947353385497,180.95351880110775,8,-31.884057971014496,-0.3414435298328992,0.11324690032430805,72.17021539211366,12,False,False,False
DRIVE_DOWN__STR_B80_100,120,240,1,91,0.34065934065934067,-159.2158954357115,-1.7496252245682582,0.44466468874319065,162.9339541736911,14,-31.15145723841376,-0.3862084329289891,0.13493464112819678,72.17021539211366,12,True,False,False
DRIVE_DOWN__STR_B80_100,180,120,1,85,0.32941176470588235,-111.15514474084355,-1.3077075851863948,0.43926306603479787,130.15872011436795,8,-32.27621483375959,-0.28866050289645134,0.13329550485289013,72.17021539211366,12,False,False,False
