role,partition,dev_block,execution_start,parent_entry_ts,parent_exit_ts,loss_class,H,L,R,parent_pnl,parent_pnl_5bps,h2_eligible,h2_recovery_entry_ts,h2_recovery_exit_ts,h2_recovery_reason,h2_recovery_pnl,h2_recovery_pnl_5bps,episode_pnl,episode_pnl_5bps,episode_class,latent_target_recovered,latent_recovery_min,latent_target_visit
CENTRAL,development,0.0,2022-02-02 18:00:00+00:00,2022-02-02 18:55:00+00:00,2022-02-02 20:05:00+00:00,L5_BREAK_FAIL_LATE,109.63,103.54,6.089999999999989,-3.146948827875584,-3.396948827875584,False,,,NONE,0.0,0.0,-3.146948827875584,-3.396948827875584,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CENTRAL,development,0.0,2022-02-03 18:00:00+00:00,2022-02-03 21:15:00+00:00,2022-02-03 21:20:00+00:00,WIN,99.2,95.76,3.4399999999999977,6.935483870967762,6.685483870967762,False,,,NONE,0.0,0.0,6.935483870967762,6.685483870967762,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-02-04 18:00:00+00:00,2022-02-04 23:45:00+00:00,2022-02-05 00:05:00+00:00,WIN,111.3,101.98,9.319999999999991,0.0449236298293298,-0.2050763701706701,False,,,NONE,0.0,0.0,0.0449236298293298,-0.2050763701706701,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-02-06 18:00:00+00:00,2022-02-07 03:15:00+00:00,2022-02-07 03:35:00+00:00,WIN,115.94,111.11,4.829999999999998,8.331895808176615,8.081895808176615,False,,,NONE,0.0,0.0,8.331895808176615,8.081895808176615,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-02-08 18:00:00+00:00,2022-02-08 20:40:00+00:00,2022-02-08 23:30:00+00:00,WIN,113.19,110.11,3.0799999999999983,5.442176870748328,5.192176870748328,False,,,NONE,0.0,0.0,5.442176870748328,5.192176870748328,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-02-09 18:00:00+00:00,2022-02-09 19:45:00+00:00,2022-02-09 20:00:00+00:00,L3_BREAK_FAST_FAIL_10M,115.12,112.36,2.760000000000005,-0.5211952744961779,-0.7711952744961779,False,,,NONE,0.0,0.0,-0.5211952744961779,-0.7711952744961779,RESIDUAL_LATENT_RECOVERABLE,True,35.0,1.0
CENTRAL,development,0.0,2022-02-12 18:00:00+00:00,2022-02-12 18:00:00+00:00,2022-02-12 18:10:00+00:00,WIN,97.74,93.45,4.289999999999992,8.778391651319772,8.528391651319772,False,,,NONE,0.0,0.0,8.778391651319772,8.528391651319772,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-02-14 18:00:00+00:00,2022-02-15 01:25:00+00:00,2022-02-15 01:30:00+00:00,WIN,97.92,95.23,2.6899999999999977,5.494281045751559,5.244281045751559,False,,,NONE,0.0,0.0,5.494281045751559,5.244281045751559,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-02-15 18:00:00+00:00,2022-02-15 22:40:00+00:00,2022-02-15 23:35:00+00:00,WIN,103.2,100.76,2.4399999999999977,4.728682170542675,4.478682170542675,False,,,NONE,0.0,0.0,4.728682170542675,4.478682170542675,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-02-16 18:00:00+00:00,2022-02-16 19:00:00+00:00,2022-02-16 19:15:00+00:00,WIN,100.23,98.11,2.1200000000000045,4.230270378130285,3.980270378130285,False,,,NONE,0.0,0.0,4.230270378130285,3.980270378130285,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-02-20 18:00:00+00:00,2022-02-20 18:10:00+00:00,2022-02-20 18:40:00+00:00,WIN,91.5,87.37,4.129999999999996,9.02732240437154,8.77732240437154,False,,,NONE,0.0,0.0,9.02732240437154,8.77732240437154,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-02-22 18:00:00+00:00,2022-02-23 00:15:00+00:00,2022-02-23 00:25:00+00:00,L2_BREAK_FAST_FAIL_5M,87.6,83.71,3.890000000000001,-0.5136986301369495,-0.7636986301369495,True,2022-02-23 00:50:00+00:00,2022-02-23 02:25:00+00:00,FAILED_BREAK,-0.171232876712335,-0.421232876712335,-0.6849315068492845,-1.1849315068492845,RESIDUAL_LATENT_RECOVERABLE,True,275.0,5.0
CENTRAL,development,0.0,2022-02-24 18:00:00+00:00,2022-02-24 18:50:00+00:00,2022-02-24 19:35:00+00:00,WIN,86.8,80.17,6.629999999999996,15.276497695852488,15.026497695852486,False,,,NONE,0.0,0.0,15.276497695852488,15.026497695852486,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-03-01 18:00:00+00:00,2022-03-02 03:25:00+00:00,2022-03-02 03:40:00+00:00,WIN,102.02,96.03,5.989999999999995,11.74279553028823,11.49279553028823,False,,,NONE,0.0,0.0,11.74279553028823,11.49279553028823,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-03-08 18:00:00+00:00,2022-03-08 18:05:00+00:00,2022-03-08 18:25:00+00:00,L4_BREAK_FAIL_30M,84.37,81.3,3.0700000000000074,-1.185255422543552,-1.435255422543552,True,2022-03-09 02:25:00+00:00,2022-03-09 03:20:00+00:00,TARGET,7.277468294417444,7.027468294417444,6.092212871873892,5.592212871873892,H2_ECONOMIC_RESCUE,True,535.0,3.0
CENTRAL,development,0.0,2022-03-10 18:00:00+00:00,2022-03-10 22:35:00+00:00,2022-03-10 22:45:00+00:00,L2_BREAK_FAST_FAIL_5M,83.4,81.08,2.3200000000000074,-1.0191846522781822,-1.2691846522781822,False,,,NONE,0.0,0.0,-1.0191846522781822,-1.2691846522781822,RESIDUAL_TRUE_FAILURE_PROXY,False,,
CENTRAL,development,0.0,2022-03-12 18:00:00+00:00,2022-03-13 03:50:00+00:00,2022-03-13 04:05:00+00:00,WIN,82.38,80.83,1.5499999999999972,3.763049283806774,3.513049283806774,False,,,NONE,0.0,0.0,3.763049283806774,3.513049283806774,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-03-14 18:00:00+00:00,2022-03-14 22:50:00+00:00,2022-03-15 05:55:00+00:00,L1_NEVER_BREAK_TIME,81.44,78.86,2.5799999999999983,-9.82318271119842,-10.07318271119842,False,,,NONE,0.0,0.0,-9.82318271119842,-10.07318271119842,RESIDUAL_LATENT_RECOVERABLE,True,715.0,4.0
CENTRAL,development,0.0,2022-03-15 18:00:00+00:00,2022-03-15 18:00:00+00:00,2022-03-15 18:50:00+00:00,WIN,82.84,79.9,2.9399999999999977,7.098020280057904,6.848020280057904,False,,,NONE,0.0,0.0,7.098020280057904,6.848020280057904,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-03-16 18:00:00+00:00,2022-03-16 19:10:00+00:00,2022-03-16 19:15:00+00:00,WIN,84.97,83.32,1.6500000000000057,3.883723667176597,3.633723667176597,False,,,NONE,0.0,0.0,3.883723667176597,3.633723667176597,PARENT_WIN,False,,
CENTRAL,development,0.0,2022-03-17 18:00:00+00:00,2022-03-17 19:45:00+00:00,2022-03-17 20:05:00+00:00,L2_BREAK_FAST_FAIL_5M,90.76,88.65,2.1099999999999994,-1.7078007933010175,-1.9578007933010175,False,,,NONE,0.0,0.0,-1.7078007933010175,-1.9578007933010175,RESIDUAL_TRUE_FAILURE_PROXY,False,,
