partition,view,bucket,n,wr,pf,exp,total,mean_win,mean_loss,max_value,giveback,runner_delta
external,ALL,ALL,50,0.54,1.592776203409881,0.9077880495287718,45.38940247643859,4.517047932635848,-3.3291692045534487,,,
external,ACTIVATED,ALL,28,0.9285714285714286,83.44361045618226,4.23254791748109,118.51134168947051,4.613416359029274,-0.7187418226452965,,,
external,NOT_ACTIVATED,ALL,22,0.045454545454545456,0.026771963343064573,-3.3237245096832693,-73.12193921303192,2.011468846406806,-3.5777813361637487,,,
external,EXIT_REASON,PRE_ACT_CLOSE_INVALIDATION_F65,7,0.0,0.0,-6.101198763098224,-42.708391341687566,,-6.101198763098224,,,
external,EXIT_REASON,PROFIT_CEILING_GAP_OPEN,20,0.9,45.059072519082655,3.1667098086426764,63.334196172853524,3.5984266565635625,-0.7187418226452965,,,
external,EXIT_REASON,PROFIT_CEILING_HIT,8,1.0,inf,6.897143189577124,55.17714551661699,6.897143189577124,,,,
external,EXIT_REASON,TIME_EXIT_SESSION_END,15,0.06666666666666667,0.06203447368789239,-2.027569858089624,-30.41354787134436,2.011468846406806,-2.3160726226965123,,,
external,PRE_INVALID_OVERSHOOT,F65_OVERSHOOT_R,7,,,0.1116665685870678,-42.708391341687566,0.12743781461715262,0.174341502059498,0.2337658752070668,,
external,PATH,ACTIVATED_ALL,28,0.9285714285714286,83.44361045618226,4.23254791748109,118.51134168947051,0.5847701149425287,0.17483100918324462,0.2832502465620357,0.4097811432121736,4.503894843654358
external,PATH,ACTIVATED_WIN,26,1.0,inf,4.613416359029274,119.94882533476111,0.5997710822368195,0.17867245680356042,0.3133995997270093,0.4097811432121736,9.21131212769857
external,PATH,ACTIVATED_LOSS,2,0.0,0.0,-0.7187418226452965,-1.437483645290593,0.3108322026232388,-0.2038387607417444,0.0,0.5146709633649833,-4.707417284044213
development,ALL,ALL,79,0.5443037974683544,0.8416761507252304,-0.2719510917972668,-21.484136251984076,2.656122640039339,-3.7693724937132123,,,
development,ACTIVATED,ALL,47,0.9148936170212766,50.1691150570814,2.3816320868328997,111.93670808114629,2.656122640039339,-0.5691413601363211,,,
development,NOT_ACTIVATED,ALL,32,0.0,0.0,-4.169401385410325,-133.4208443331304,,-4.169401385410325,,,
development,EXIT_REASON,PRE_ACT_CLOSE_INVALIDATION_F65,22,0.0,0.0,-5.170188488805565,-113.74414675372245,,-5.170188488805565,,,
development,EXIT_REASON,PROFIT_CEILING_GAP_OPEN,33,0.8787878787878788,23.61627717905392,1.560225303625065,51.48743501962715,1.8539310503507735,-0.5691413601363211,,,
development,EXIT_REASON,PROFIT_CEILING_HIT,14,1.0,inf,4.317805218679939,60.44927306151915,4.317805218679939,,,,
