feature,cohort,n,median,q25,q75,dev_q33,dev_q67,psi_vs_development,median_displacement_dev_iqr,low_share,mid_share,high_share
ret_24h,external,951,0.01085166451005759,-0.04878831793290328,0.07478477891670188,-0.030599369085173467,0.032217704097591504,0.026546272953576387,0.11421746331388354,0.3249211356466877,0.27129337539432175,0.4037854889589905
ret_24h,development,865,-0.00031167212092875207,-0.045862994515112554,0.05187456948863467,-0.030599369085173467,0.032217704097591504,0.0,0.0,0.33410404624277457,0.3329479768786127,0.3329479768786127
ret_24h,reference_validation,221,-0.014644993099217851,-0.058658031638178065,0.018554763955217934,-0.030599369085173467,0.032217704097591504,0.15054930562591645,0.14665109699009446,0.42081447963800905,0.4117647058823529,0.167420814479638
ret_24h,2020,111,-0.001430679125497436,-0.0541758366300511,0.03787279740967564,-0.030599369085173467,0.032217704097591504,0.02151722172287214,0.011449098573049986,0.34234234234234234,0.38738738738738737,0.2702702702702703
ret_24h,2021,840,0.013507532564172253,-0.048287087117802496,0.07978793020068542,-0.030599369085173467,0.032217704097591504,0.04150288743062337,0.1413909260575717,0.32261904761904764,0.25595238095238093,0.42142857142857143
ret_24h,2022,392,-0.014659403068889298,-0.05874213072586895,0.05138627845769134,-0.030599369085173467,0.032217704097591504,0.02472864847318053,0.14679853231670947,0.40816326530612246,0.28316326530612246,0.3086734693877551
ret_24h,2023,224,0.007331792885760247,-0.026989711080152023,0.0675367921369533,-0.030599369085173467,0.032217704097591504,0.05247599107003152,0.07820396471510126,0.23660714285714285,0.3482142857142857,0.41517857142857145
ret_24h,2024,249,0.0025289368738448115,-0.035453489490467116,0.03940817054130141,-0.030599369085173467,0.032217704097591504,0.01814432525693913,0.029063636112975515,0.30522088353413657,0.39759036144578314,0.2971887550200803
ret_24h,2025,170,-0.016134139263783376,-0.06120664438979889,0.021427980173304273,-0.030599369085173467,0.032217704097591504,0.1468342741570024,0.1618872672358398,0.4411764705882353,0.38823529411764707,0.17058823529411765
ret_24h,2026,51,-0.0064471879286693845,-0.05336591323082124,0.01307606099941605,-0.030599369085173467,0.032217704097591504,0.1943841825529864,0.06277541158592206,0.35294117647058826,0.49019607843137253,0.1568627450980392
ret_72h,external,951,0.035504082020125116,-0.053409184933152776,0.14220062334468841,-0.04554895601792808,0.05649346945759404,0.0589398717251179,0.23614150704463424,0.2733964248159832,0.2754994742376446,0.45110410094637227
